dataset,dev_accuracy,elapsed_time,epoch,learning_rate,max_ball_size,mean_ball_purity,mean_ball_radius,min_ball_size,mode,number_of_balls,selected_ball_count,subcentroid_loss,train_ce_loss,uniform_subcentroid_loss,theoretical_minimum_subcentroid_loss,subcentroid_improvement_from_uniform
stackoverflow,10.8,24.25,1,2e-05,20,1.0,0.8919734716415405,10,official_fixed,2212,10,2.29681134223938,2.306987321123164,2.302585092994046,2.203157371383621,0.005773750754666018
stackoverflow,17.9,22.358,2,2e-05,74,1.0,0.9003685057163239,10,official_fixed,2451,10,2.296407461166382,2.2971997768320938,2.302585092994046,2.203157371383621,0.006177631827664065
stackoverflow,26.3,21.434,3,2e-05,38,1.0,0.943195326761766,10,official_fixed,2116,11,2.296241283416748,2.2745881537173656,2.302585092994046,2.203157371383621,0.006343809577297854
stackoverflow,44.7,21.046,4,2e-05,102,1.0,1.132328674197197,10,official_fixed,2051,16,2.294206142425537,2.228768211729983,2.302585092994046,2.203157371383621,0.008378950568508792
stackoverflow,59.5,20.646,5,2e-05,62,1.0,1.482120898462111,10,official_fixed,1727,31,2.290822982788086,2.1052165158251497,2.302585092994046,2.203157371383621,0.011762110205959964
stackoverflow,73.5,19.695,6,2e-05,161,1.0,2.083833395517789,10,official_fixed,1277,65,2.284491777420044,1.788272890638798,2.302585092994046,2.203157371383621,0.018093315574001956
stackoverflow,84.2,17.6,7,2e-05,245,1.0,2.573029690522414,10,official_fixed,699,65,2.2773327827453613,1.263339322932223,2.302585092994046,2.203157371383621,0.025252310248684573
stackoverflow,86.8,16.388,8,2e-05,430,1.0,2.991082856288323,11,official_fixed,429,52,2.270820617675781,0.7702818310007136,2.302585092994046,2.203157371383621,0.031764475318265095
stackoverflow,87.7,16.032,9,2e-05,501,1.0,3.266393789430944,10,official_fixed,345,41,2.268751621246338,0.512138897434194,2.302585092994046,2.203157371383621,0.03383347174770801
stackoverflow,88.5,16.047,10,2e-05,535,1.0,3.483750973428999,10,official_fixed,349,42,2.267019033432007,0.4176593105843726,2.302585092994046,2.203157371383621,0.035566059562039065
stackoverflow,88.8,15.772,11,2e-05,526,1.0,3.548324940251369,10,official_fixed,247,51,2.266068696975708,0.3661739911804808,2.302585092994046,2.203157371383621,0.03651639601833789
stackoverflow,89.4,15.944,12,2e-05,540,1.0,3.614263473238264,10,official_fixed,276,35,2.265691041946411,0.3343548143797732,2.302585092994046,2.203157371383621,0.03689405104763477
stackoverflow,89.8,15.733,13,2e-05,538,1.0,3.703984812453941,10,official_fixed,232,54,2.262979030609131,0.3169677729936356,2.302585092994046,2.203157371383621,0.03960606238491504
stackoverflow,90.0,15.68,14,2e-05,487,1.0,3.722215082910326,10,official_fixed,268,36,2.26488995552063,0.2960114222257695,2.302585092994046,2.203157371383621,0.03769513747341602
stackoverflow,90.3,15.496,15,2e-05,531,1.0,3.809878594947584,10,official_fixed,230,33,2.26405668258667,0.280706616475227,2.302585092994046,2.203157371383621,0.03852841040737598
stackoverflow,90.3,15.459,16,2e-05,514,1.0,3.899041082177843,10,official_fixed,200,28,2.2623212337493896,0.266532707404583,2.302585092994046,2.203157371383621,0.04026385924465625
stackoverflow,90.8,15.264,17,2e-05,541,1.0,3.944074966013432,10,official_fixed,115,32,2.2618091106414795,0.2556402881411796,2.302585092994046,2.203157371383621,0.04077598235256641
stackoverflow,90.6,15.685,18,2e-05,501,1.0,3.865439909696579,10,official_fixed,205,40,2.2620837688446045,0.2438854998413552,2.302585092994046,2.203157371383621,0.04050132414944141
stackoverflow,91.0,15.376,19,2e-05,506,1.0,3.9763043978635,10,official_fixed,140,34,2.261425733566284,0.2325102734438916,2.302585092994046,2.203157371383621,0.04115935942776172
stackoverflow,90.4,15.611,20,2e-05,521,1.0,3.92953863243262,10,official_fixed,179,48,2.262350082397461,0.2209940073972052,2.302585092994046,2.203157371383621,0.040235010596584964
stackoverflow,91.2,15.775,21,2e-05,538,1.0,4.018422806964201,10,official_fixed,194,34,2.261823892593384,0.2161557110066109,2.302585092994046,2.203157371383621,0.04076120040066211
stackoverflow,91.4,15.437,22,2e-05,531,1.0,4.009453875677926,10,official_fixed,106,35,2.2584362030029297,0.2037030352239913,2.302585092994046,2.203157371383621,0.044148889991116214
stackoverflow,91.2,15.527,23,2e-05,530,1.0,4.015901578100104,10,official_fixed,213,38,2.2620656490325928,0.2015663786454403,2.302585092994046,2.203157371383621,0.04051944396145313
stackoverflow,91.0,15.566,24,2e-05,545,1.0,4.103578042984009,10,official_fixed,188,30,2.261151075363159,0.1894380842593122,2.302585092994046,2.203157371383621,0.04143401763088672
stackoverflow,91.4,15.44,25,2e-05,509,1.0,4.177001512967623,10,official_fixed,126,39,2.259849786758423,0.1836549401917356,2.302585092994046,2.203157371383621,0.04273530623562305
stackoverflow,91.1,15.379,26,2e-05,501,1.0,4.194843867550725,10,official_fixed,159,46,2.26020622253418,0.1790502577068957,2.302585092994046,2.203157371383621,0.04237887045986577
stackoverflow,91.0,15.252,27,2e-05,510,1.0,4.24334242939949,10,official_fixed,145,32,2.260517835617065,0.1713032042409511,2.302585092994046,2.203157371383621,0.042067257376980915
stackoverflow,91.6,15.615,28,2e-05,542,1.0,4.184043811427222,10,official_fixed,149,36,2.259297132492065,0.1673701072626925,2.302585092994046,2.203157371383621,0.043287960501980915
stackoverflow,91.5,15.248,29,2e-05,531,1.0,4.318703460693359,12,official_fixed,155,25,2.260824680328369,0.1628397390880483,2.302585092994046,2.203157371383621,0.04176041266567676
stackoverflow,91.3,15.588,30,2e-05,525,1.0,4.255048320406959,10,official_fixed,169,42,2.260908365249634,0.1595389058298253,2.302585092994046,2.203157371383621,0.04167672774441211
stackoverflow,91.5,15.436,31,2e-05,500,1.0,4.300021695155723,10,official_fixed,103,51,2.2575137615203857,0.1487408862944613,2.302585092994046,2.203157371383621,0.04507133147366016
stackoverflow,91.1,15.245,32,2e-05,539,1.0,4.380327100555102,10,official_fixed,41,48,2.252812385559082,0.1428992905198259,2.302585092994046,2.203157371383621,0.04977270743496387
stackoverflow,91.2,15.269,33,2e-05,548,1.0,4.379261304592264,10,official_fixed,117,29,2.259934186935425,0.1435857943080841,2.302585092994046,2.203157371383621,0.042650906058621096
stackoverflow,91.4,15.161,34,2e-05,496,1.0,4.451090445885291,10,official_fixed,44,39,2.2515454292297363,0.1358702301662019,2.302585092994046,2.203157371383621,0.05103966376430957
stackoverflow,91.6,15.314,35,2e-05,543,1.0,4.53933100864805,10,official_fixed,172,29,2.259941339492798,0.1272857380991286,2.302585092994046,2.203157371383621,0.04264375350124805
stackoverflow,91.5,15.182,36,2e-05,551,1.0,4.529549212069125,10,official_fixed,129,37,2.2596027851104736,0.1277044474127444,2.302585092994046,2.203157371383621,0.04298230788357227
stackoverflow,91.5,15.093,37,2e-05,533,1.0,4.497938200831413,10,official_fixed,68,32,2.257795810699463,0.1286522535250542,2.302585092994046,2.203157371383621,0.04478928229458301
