dataset,kir,comparison_method,metric,left,right,n_seeds,mean_left_minus_right,ci95_low,ci95_high,wins,ties,losses,bootstrap_seed,bootstrap_samples
banking77,0.5,energy,oos_f1,Trainable native,Trainable Gate K=1,3,-0.15253570798589397,-0.16235539581955882,-0.14507453534365355,0,0,3,20260725,10000
banking77,0.5,energy,f1_all,Trainable native,Trainable Gate K=1,3,-0.04239487604767889,-0.05103139741399754,-0.037715215181232886,0,0,3,20260725,10000
banking77,0.5,energy,known_recall,Trainable native,Trainable Gate K=1,3,0.10942982456140353,0.10855263157894735,0.1105263157894737,3,0,0,20260725,10000
banking77,0.5,energy,false_accept_rate,Trainable native,Trainable Gate K=1,3,0.2955128205128205,0.2826923076923077,0.3121794871794873,3,0,0,20260725,10000
banking77,0.5,energy,auroc,Trainable native,Trainable Gate K=1,3,-0.01921066689158805,-0.023405870445344146,-0.015489625506073024,0,0,3,20260725,10000
banking77,0.5,energy,aupr_oos,Trainable native,Trainable Gate K=1,3,-0.010355884617467614,-0.0237947900843819,0.001512138083199721,1,0,2,20260725,10000
clinc150,0.5,energy,oos_f1,Trainable native,Trainable Gate K=1,3,-0.021290962290450948,-0.029435947907423654,-0.014081669410202613,0,0,3,20260725,10000
clinc150,0.5,energy,f1_all,Trainable native,Trainable Gate K=1,3,0.036856728415895636,0.033580166579063375,0.04012761301025536,3,0,0,20260725,10000
clinc150,0.5,energy,known_recall,Trainable native,Trainable Gate K=1,3,0.20755555555555558,0.20044444444444443,0.2142222222222222,3,0,0,20260725,10000
clinc150,0.5,energy,false_accept_rate,Trainable native,Trainable Gate K=1,3,0.147536231884058,0.1330434782608696,0.1652173913043479,3,0,0,20260725,10000
clinc150,0.5,energy,auroc,Trainable native,Trainable Gate K=1,3,0.011527128287708003,0.0091032528180357,0.013206956521738977,3,0,0,20260725,10000
clinc150,0.5,energy,aupr_oos,Trainable native,Trainable Gate K=1,3,0.010988330146437594,0.00611385799116182,0.013691927530890435,3,0,0,20260725,10000
stackoverflow,0.5,energy,oos_f1,Trainable native,Trainable Gate K=1,3,-0.43761614406446253,-0.4548405002952198,-0.4122780968092314,0,0,3,20260725,10000
stackoverflow,0.5,energy,f1_all,Trainable native,Trainable Gate K=1,3,-0.15850483841195043,-0.1595817031645952,-0.15773319067952363,0,0,3,20260725,10000
stackoverflow,0.5,energy,known_recall,Trainable native,Trainable Gate K=1,3,0.11733333333333336,0.11266666666666669,0.1243333333333334,3,0,0,20260725,10000
stackoverflow,0.5,energy,false_accept_rate,Trainable native,Trainable Gate K=1,3,0.6028888888888889,0.5933333333333334,0.6103333333333334,3,0,0,20260725,10000
stackoverflow,0.5,energy,auroc,Trainable native,Trainable Gate K=1,3,-0.034569333333333264,-0.05233455555555555,-0.025401555555555455,0,0,3,20260725,10000
stackoverflow,0.5,energy,aupr_oos,Trainable native,Trainable Gate K=1,3,-0.047204419372523954,-0.06516717160849783,-0.023894844179881747,0,0,3,20260725,10000
banking77,0.5,knn,oos_f1,Trainable native,Trainable Gate K=1,3,-0.17422582163687936,-0.18495772604167215,-0.16021052975894778,0,0,3,20260725,10000
banking77,0.5,knn,f1_all,Trainable native,Trainable Gate K=1,3,-0.047559615037076876,-0.0574382604353737,-0.03563850341844588,0,0,3,20260725,10000
banking77,0.5,knn,known_recall,Trainable native,Trainable Gate K=1,3,0.1287280701754386,0.12565789473684208,0.13421052631578956,3,0,0,20260725,10000
banking77,0.5,knn,false_accept_rate,Trainable native,Trainable Gate K=1,3,0.3318376068376068,0.3141025641025641,0.3429487179487179,3,0,0,20260725,10000
banking77,0.5,knn,auroc,Trainable native,Trainable Gate K=1,3,0.0005921052631578568,-0.0061209514170040835,0.010998228744939276,1,0,2,20260725,10000
banking77,0.5,knn,aupr_oos,Trainable native,Trainable Gate K=1,3,0.004558218291320896,-0.0014067210894105342,0.0150107346864089,2,0,1,20260725,10000
clinc150,0.5,knn,oos_f1,Trainable native,Trainable Gate K=1,3,-0.036245777905708675,-0.04579292539778901,-0.027273834536098107,0,0,3,20260725,10000
clinc150,0.5,knn,f1_all,Trainable native,Trainable Gate K=1,3,0.017668660690555393,0.015452875390290055,0.018868519159681907,3,0,0,20260725,10000
clinc150,0.5,knn,known_recall,Trainable native,Trainable Gate K=1,3,0.2034074074074074,0.1968888888888889,0.2088888888888889,3,0,0,20260725,10000
clinc150,0.5,knn,false_accept_rate,Trainable native,Trainable Gate K=1,3,0.1698550724637681,0.15333333333333332,0.18666666666666673,3,0,0,20260725,10000
clinc150,0.5,knn,auroc,Trainable native,Trainable Gate K=1,3,0.006398196457326939,-0.0031152334943637117,0.012044959742351091,2,0,1,20260725,10000
clinc150,0.5,knn,aupr_oos,Trainable native,Trainable Gate K=1,3,0.008149918876607801,-6.264072808714882e-05,0.014704053332891598,2,0,1,20260725,10000
stackoverflow,0.5,knn,oos_f1,Trainable native,Trainable Gate K=1,3,-0.1787590949382429,-0.2606526201935846,-0.13666004810046883,0,0,3,20260725,10000
stackoverflow,0.5,knn,f1_all,Trainable native,Trainable Gate K=1,3,-0.08434065738563368,-0.10815024245857185,-0.07224853100314266,0,0,3,20260725,10000
stackoverflow,0.5,knn,known_recall,Trainable native,Trainable Gate K=1,3,0.11244444444444446,0.09933333333333338,0.126,3,0,0,20260725,10000
stackoverflow,0.5,knn,false_accept_rate,Trainable native,Trainable Gate K=1,3,0.3344444444444445,0.28166666666666673,0.42333333333333334,3,0,0,20260725,10000
stackoverflow,0.5,knn,auroc,Trainable native,Trainable Gate K=1,3,0.01207407407407409,0.005949444444444452,0.017418333333333424,3,0,0,20260725,10000
stackoverflow,0.5,knn,aupr_oos,Trainable native,Trainable Gate K=1,3,0.019401992668494666,0.01483866500830977,0.02664221697446112,3,0,0,20260725,10000
banking77,0.5,lof,oos_f1,Trainable native,Trainable Gate K=1,3,-0.2711101202873519,-0.29550155488617835,-0.2379983530540789,0,0,3,20260725,10000
banking77,0.5,lof,f1_all,Trainable native,Trainable Gate K=1,3,-0.07717975340575263,-0.08135718823787819,-0.0704200441117413,0,0,3,20260725,10000
banking77,0.5,lof,known_recall,Trainable native,Trainable Gate K=1,3,0.13135964912280704,0.12171052631578949,0.1434210526315789,3,0,0,20260725,10000
banking77,0.5,lof,false_accept_rate,Trainable native,Trainable Gate K=1,3,0.439957264957265,0.4064102564102565,0.4596153846153846,3,0,0,20260725,10000
banking77,0.5,lof,auroc,Trainable native,Trainable Gate K=1,3,-0.02278051900584806,-0.0341091008771931,-0.013382464574898778,0,0,3,20260725,10000
banking77,0.5,lof,aupr_oos,Trainable native,Trainable Gate K=1,3,-0.026610575063490922,-0.033388299293197865,-0.020010298086636014,0,0,3,20260725,10000
clinc150,0.5,lof,oos_f1,Trainable native,Trainable Gate K=1,3,-0.11728976181501534,-0.15211424471325763,-0.09330293382928645,0,0,3,20260725,10000
clinc150,0.5,lof,f1_all,Trainable native,Trainable Gate K=1,3,-0.02989567802406305,-0.03853424292283214,-0.017439342903139088,0,0,3,20260725,10000
clinc150,0.5,lof,known_recall,Trainable native,Trainable Gate K=1,3,0.21377777777777776,0.20711111111111113,0.21733333333333327,3,0,0,20260725,10000
clinc150,0.5,lof,false_accept_rate,Trainable native,Trainable Gate K=1,3,0.2959420289855073,0.26057971014492753,0.34666666666666673,3,0,0,20260725,10000
clinc150,0.5,lof,auroc,Trainable native,Trainable Gate K=1,3,-0.00945631776704233,-0.016792141706924002,-0.003666215780998461,0,0,3,20260725,10000
clinc150,0.5,lof,aupr_oos,Trainable native,Trainable Gate K=1,3,-0.00895742631278366,-0.016922205981018568,-0.003387975378402519,0,0,3,20260725,10000
stackoverflow,0.5,lof,oos_f1,Trainable native,Trainable Gate K=1,3,-0.23174891027050368,-0.3136946627040609,-0.1691915183372874,0,0,3,20260725,10000
stackoverflow,0.5,lof,f1_all,Trainable native,Trainable Gate K=1,3,-0.09590653219405527,-0.11129614412924282,-0.07874921285585301,0,0,3,20260725,10000
stackoverflow,0.5,lof,known_recall,Trainable native,Trainable Gate K=1,3,0.11011111111111116,0.10333333333333339,0.1173333333333334,3,0,0,20260725,10000
stackoverflow,0.5,lof,false_accept_rate,Trainable native,Trainable Gate K=1,3,0.3955555555555556,0.3226666666666667,0.47666666666666674,3,0,0,20260725,10000
stackoverflow,0.5,lof,auroc,Trainable native,Trainable Gate K=1,3,-0.022912759259259174,-0.029968888888888823,-0.017808388888888804,0,0,3,20260725,10000
stackoverflow,0.5,lof,aupr_oos,Trainable native,Trainable Gate K=1,3,-0.009847077061375257,-0.014443695532209366,-0.004414937917335493,0,0,3,20260725,10000
banking77,0.5,msp,oos_f1,Trainable native,Trainable Gate K=1,3,-0.12210509922390782,-0.13196170818935538,-0.11703691600079169,0,0,3,20260725,10000
banking77,0.5,msp,f1_all,Trainable native,Trainable Gate K=1,3,-0.020606244990554152,-0.026831113056863587,-0.01733621108379635,0,0,3,20260725,10000
banking77,0.5,msp,known_recall,Trainable native,Trainable Gate K=1,3,0.11951754385964915,0.11644736842105274,0.125,3,0,0,20260725,10000
banking77,0.5,msp,false_accept_rate,Trainable native,Trainable Gate K=1,3,0.261965811965812,0.25064102564102564,0.27692307692307705,3,0,0,20260725,10000
