dataset,kir,comparison_method,metric,left,right,n_seeds,mean_left_minus_right,ci95_low,ci95_high,wins,ties,losses,bootstrap_seed,bootstrap_samples
banking77,0.5,energy,oos_f1,Trainable native,Frozen native,3,0.06597910543670964,0.024682599561245633,0.13641209508483298,3,0,0,20260725,10000
banking77,0.5,energy,f1_all,Trainable native,Frozen native,3,0.030372377976958503,0.01945185082891876,0.05161294790655946,3,0,0,20260725,10000
banking77,0.5,energy,known_recall,Trainable native,Frozen native,3,-0.003289473684210509,-0.023684210526315752,0.007894736842105288,2,0,1,20260725,10000
banking77,0.5,energy,false_accept_rate,Trainable native,Frozen native,3,-0.07777777777777778,-0.16474358974358977,-0.027564102564102577,0,0,3,20260725,10000
banking77,0.5,energy,auroc,Trainable native,Frozen native,3,0.0177710301394511,0.015240806342779911,0.02045883940620774,3,0,0,20260725,10000
banking77,0.5,energy,aupr_oos,Trainable native,Frozen native,3,0.024048564304658848,0.02090999770515667,0.02713631439660069,3,0,0,20260725,10000
clinc150,0.5,energy,oos_f1,Trainable native,Frozen native,3,0.04015911016595208,0.026684597800860632,0.05070856077058017,3,0,0,20260725,10000
clinc150,0.5,energy,f1_all,Trainable native,Frozen native,3,0.03751060586638899,0.022721799170662305,0.04722212342439913,3,0,0,20260725,10000
clinc150,0.5,energy,known_recall,Trainable native,Frozen native,3,-0.00637037037037036,-0.009333333333333305,-0.003555555555555534,0,0,3,20260725,10000
clinc150,0.5,energy,false_accept_rate,Trainable native,Frozen native,3,-0.06724637681159419,-0.08521739130434784,-0.04724637681159419,0,0,3,20260725,10000
clinc150,0.5,energy,auroc,Trainable native,Frozen native,3,0.0116387332259796,0.00945584541062805,0.012995297906602254,3,0,0,20260725,10000
clinc150,0.5,energy,aupr_oos,Trainable native,Frozen native,3,0.006978861677578589,0.005684660748255577,0.008076576044331651,3,0,0,20260725,10000
stackoverflow,0.5,energy,oos_f1,Trainable native,Frozen native,3,-0.021873605388832578,-0.07568694780541357,0.006689829687970217,2,0,1,20260725,10000
stackoverflow,0.5,energy,f1_all,Trainable native,Frozen native,3,-0.008361014444172588,-0.02404644807331513,0.0030919027695331947,1,0,2,20260725,10000
stackoverflow,0.5,energy,known_recall,Trainable native,Frozen native,3,0.002555555555555533,0.0003333333333332966,0.0050000000000000044,3,0,0,20260725,10000
