dataset,kir,method,metric,n_seeds,mean_trainable_minus_baseline,ci95_low,ci95_high,wins,ties,losses,bootstrap_seed,bootstrap_samples
banking77,0.25,energy,oos_f1,5,0.23639885751920126,0.1887833109689576,0.2840144040694449,5,0,0,20260725,10000
banking77,0.25,energy,f1_all,5,0.1815565133277655,0.16113109106698836,0.20365169972403838,5,0,0,20260725,10000
banking77,0.25,energy,known_recall,5,-0.12315789473684209,-0.12973684210526315,-0.11657894736842103,0,0,5,20260725,10000
banking77,0.25,energy,false_accept_rate,5,-0.36750000000000005,-0.4161206896551725,-0.31887931034482764,0,0,5,20260725,10000
banking77,0.25,energy,auroc,5,0.027062613430127058,0.020438294010889434,0.032879310344827606,5,0,0,20260725,10000
banking77,0.25,energy,aupr_oos,5,0.010730449744743242,0.006897717279204629,0.014116820709523293,5,0,0,20260725,10000
banking77,0.25,knn,oos_f1,5,0.1929247399317338,0.151353743772127,0.24288874057540272,5,0,0,20260725,10000
banking77,0.25,knn,f1_all,5,0.16408494672976504,0.15063013843283965,0.1799561771909698,5,0,0,20260725,10000
banking77,0.25,knn,known_recall,5,-0.1228947368421053,-0.13157894736842107,-0.1131578947368421,0,0,5,20260725,10000
banking77,0.25,knn,false_accept_rate,5,-0.314396551724138,-0.36465517241379325,-0.2687931034482759,0,0,5,20260725,10000
banking77,0.25,knn,auroc,5,0.0055513838475498515,-0.0006218239564428574,0.013667536297640503,4,0,1,20260725,10000
banking77,0.25,knn,aupr_oos,5,0.001290113835316986,-0.001685676458920904,0.0050794220007784885,3,0,2,20260725,10000
banking77,0.25,lof,oos_f1,5,0.33051080129182897,0.26303950545086247,0.3979820971327954,5,0,0,20260725,10000
banking77,0.25,lof,f1_all,5,0.2339279257599392,0.21510872478693832,0.2529660803202606,5,0,0,20260725,10000
banking77,0.25,lof,known_recall,5,-0.1486842105263158,-0.15342105263157899,-0.14342105263157892,0,0,5,20260725,10000
banking77,0.25,lof,false_accept_rate,5,-0.47137931034482766,-0.5304310344827587,-0.4074137931034484,0,0,5,20260725,10000
banking77,0.25,lof,auroc,5,0.024474648366606132,0.013846926043557129,0.03544249092558975,5,0,0,20260725,10000
banking77,0.25,lof,aupr_oos,5,0.009905830860912767,0.0037876351775223637,0.017233676374850716,5,0,0,20260725,10000
banking77,0.25,msp,oos_f1,5,0.19244429492465642,0.15449355542858106,0.2343300419754903,5,0,0,20260725,10000
banking77,0.25,msp,f1_all,5,0.15278688954606673,0.11306542862771081,0.19859541232016137,5,0,0,20260725,10000
banking77,0.25,msp,known_recall,5,-0.11763157894736845,-0.12763157894736846,-0.10894736842105264,0,0,5,20260725,10000
banking77,0.25,msp,false_accept_rate,5,-0.31517241379310346,-0.3746551724137931,-0.2631896551724139,0,0,5,20260725,10000
banking77,0.25,msp,auroc,5,0.020141901088929215,0.009914133393829561,0.03036966878402887,5,0,0,20260725,10000
banking77,0.25,msp,aupr_oos,5,0.007920546703170083,0.003803134078349224,0.011697611014858911,5,0,0,20260725,10000
banking77,0.5,energy,oos_f1,5,0.22450197970012517,0.18294897751271996,0.2660549818875303,5,0,0,20260725,10000
banking77,0.5,energy,f1_all,5,0.07156104499510485,0.059882379356246254,0.08323971063396345,5,0,0,20260725,10000
banking77,0.5,energy,known_recall,5,-0.11000000000000001,-0.12171052631578945,-0.10197368421052636,0,0,5,20260725,10000
banking77,0.5,energy,false_accept_rate,5,-0.37064102564102563,-0.4173076923076923,-0.3252564102564103,0,0,5,20260725,10000
banking77,0.5,energy,auroc,5,0.040855431848852916,0.035354588394062136,0.0463562753036437,5,0,0,20260725,10000
banking77,0.5,energy,aupr_oos,5,0.03774828987487022,0.02646618260826159,0.04937292023418871,5,0,0,20260725,10000
banking77,0.5,knn,oos_f1,5,0.2271034410333911,0.2052439901234278,0.24896289194335441,5,0,0,20260725,10000
banking77,0.5,knn,f1_all,5,0.07138272739467788,0.06282505981115014,0.08146765472786585,5,0,0,20260725,10000
banking77,0.5,knn,known_recall,5,-0.11828947368421054,-0.12565789473684214,-0.10960526315789479,0,0,5,20260725,10000
banking77,0.5,knn,false_accept_rate,5,-0.3794871794871796,-0.41076923076923083,-0.3482051282051282,0,0,5,20260725,10000
banking77,0.5,knn,auroc,5,0.010224780701754432,0.0023968454790822768,0.017379976383265938,4,0,1,20260725,10000
banking77,0.5,knn,aupr_oos,5,0.012367866734014998,0.0053056886888687375,0.018772370223891575,5,0,0,20260725,10000
banking77,0.5,lof,oos_f1,5,0.39456035078984825,0.3635765560368113,0.42359816392843763,5,0,0,20260725,10000
banking77,0.5,lof,f1_all,5,0.10759534120385157,0.10300537760766419,0.11223954417364654,5,0,0,20260725,10000
banking77,0.5,lof,known_recall,5,-0.1439473684210526,-0.15013157894736834,-0.13855263157894734,0,0,5,20260725,10000
banking77,0.5,lof,false_accept_rate,5,-0.5491025641025642,-0.5717948717948719,-0.5255128205128206,0,0,5,20260725,10000
banking77,0.5,lof,auroc,5,0.03948633603238867,0.035028213562752986,0.04627758097165997,5,0,0,20260725,10000
