dataset,transition,rate_within_gold_type,mean_delta_score
banking77,baseline_only_correct,0.017307692307692267,-0.0654664688016549
banking77,both_correct,0.7480769230769231,0.09118643065351967
banking77,both_wrong,0.11730769230769227,0.0269423808385711
banking77,trainable_only_correct,0.11730769230769227,0.12775802395775943
clinc150,baseline_only_correct,0.0036714975845410004,-0.0661948361877883
clinc150,both_correct,0.9315942028985508,0.16282233009527539
clinc150,both_wrong,0.032463768115942,0.021907729435310764
clinc150,trainable_only_correct,0.03227053140096613,0.1311703143919681
stackoverflow,baseline_only_correct,0.036555555555555536,-0.07602046919994844
stackoverflow,both_correct,0.698,0.20093703652906802
stackoverflow,both_wrong,0.07488888888888887,-0.06317357328804803
stackoverflow,trainable_only_correct,0.1905555555555555,0.17816749443188126
