dataset,kir,representation,threshold,oos_f1,oos_precision,oos_recall,known_recall,false_accept_rate,false_reject_rate,oos_f1_std,oos_precision_std,oos_recall_std,known_recall_std,false_accept_rate_std,false_reject_rate_std
banking77,0.25,frozen,0.75,0.8959480048414623,0.8181173049191741,0.9901724137931034,0.32789473684210524,0.6721052631578948,0.009827586206896551,0.002927429020005308,0.004739421203688873,0.004260487514879874,0.022318054750964236,0.022318054750964243,0.004260487514879851
banking77,0.25,frozen,0.85,0.9159309645329253,0.870380949567477,0.9665517241379311,0.5605263157894738,0.4394736842105263,0.033448275862068964,0.006112178256312677,0.0060728289856834955,0.009227561401440805,0.022656809681213936,0.022656809681213908,0.00922756140144081
banking77,0.25,frozen,0.9,0.9191793085164515,0.8938855046792664,0.9460344827586207,0.6571052631578947,0.34289473684210525,0.05396551724137931,0.0073587568187479455,0.0053542977906096394,0.013669298901602695,0.019507438740259727,0.01950743874025973,0.013669298901602654
banking77,0.25,frozen,0.95,0.9133636382192982,0.9170851320387413,0.9098275862068965,0.7489473684210527,0.25105263157894736,0.09017241379310345,0.010595756488350217,0.0019100828715301458,0.019844913718019122,0.005535706307358627,0.005535706307358599,0.01984491371801914
banking77,0.25,frozen,1.0,0.8918193469989266,0.9387173541824378,0.8499137931034483,0.8305263157894738,0.1694736842105263,0.15008620689655172,0.018062352938356844,0.0015565311100309144,0.033424493856097,0.01020903407435306,0.010209034074353068,0.033424493856097005
banking77,0.25,frozen,1.05,0.8413622046708753,0.9516083525307233,0.7546551724137931,0.8828947368421053,0.11710526315789474,0.2453448275862069,0.023559644718047903,0.001388127098794299,0.03742238301200591,0.005735393346764063,0.0057353933467640455,0.03742238301200585
banking77,0.25,frozen,1.1,0.762515476640689,0.9633277215233225,0.6319827586206896,0.9265789473684212,0.07342105263157894,0.36801724137931036,0.032885534072353874,0.0034158117617958685,0.04473880465650314,0.008394283109335012,0.008394283109335042,0.04473880465650312
banking77,0.25,frozen,1.2,0.5523537421052109,0.9781207762425085,0.3864655172413793,0.9736842105263157,0.02631578947368421,0.6135344827586207,0.05469147096907251,0.0042850205706677505,0.05276045185012396,0.0061715996839782055,0.006171599683978197,0.052760451850123964
banking77,0.25,frozen,1.3,0.3180594440324564,0.9838891723133223,0.19120689655172413,0.9905263157894737,0.009473684210526315,0.8087931034482759,0.0659952291034468,0.00415192550611559,0.047707359206659576,0.003141404312187734,0.003141404312187716,0.047707359206659555
banking77,0.25,trainable,0.75,0.8980037292988026,0.8219694727381229,0.9895689655172413,0.3455263157894737,0.6544736842105263,0.01043103448275862,0.0054167493365682275,0.007499102167569066,0.004194565733001009,0.03270471430772846,0.03270471430772846,0.004194565733000988
banking77,0.25,trainable,0.85,0.9197206920915779,0.8725494377955295,0.9723275862068966,0.5663157894736842,0.4336842105263158,0.027672413793103444,0.007676636545535338,0.00843333150195759,0.009716936071168567,0.03089444543931433,0.030894445439314303,0.009716936071168584
banking77,0.25,trainable,0.9,0.92709453059365,0.8974129787493215,0.9588793103448277,0.6652631578947369,0.3347368421052631,0.04112068965517242,0.0071334357522729284,0.007129355890405434,0.011672203685777762,0.02569329541656503,0.02569329541656502,0.011672203685777717
banking77,0.25,trainable,0.95,0.9268080671654255,0.9196569286890568,0.9342241379310344,0.7507894736842106,0.24921052631578947,0.06577586206896552,0.008752563335339759,0.0035921401326201195,0.017778800887540504,0.01372463664253189,0.013724636642531877,0.0177788008875405
banking77,0.25,trainable,1.0,0.9165382964914104,0.9377864199848244,0.8967241379310344,0.8184210526315789,0.18157894736842106,0.10327586206896551,0.017976090268549377,0.0016270181840716067,0.033607700850852365,0.007784315504078432,0.00778431550407845,0.03360770085085234
banking77,0.25,trainable,1.05,0.8916670235233205,0.9503724512688126,0.8413793103448276,0.8657894736842104,0.13421052631578947,0.15862068965517243,0.03344879844541319,0.002198599864421535,0.05857392277499343,0.012413133068495553,0.012413133068495534,0.05857392277499341
banking77,0.25,trainable,1.1,0.8470968895619855,0.9605313555590419,0.7613793103448276,0.9039473684210527,0.09605263157894736,0.2386206896551724,0.0549346395793252,0.0039519814434164175,0.08685296697051544,0.018421052631578942,0.018421052631578946,0.08685296697051545
banking77,0.25,trainable,1.2,0.6979231491701969,0.9749218636230005,0.5518965517241379,0.9563157894736843,0.043684210526315784,0.44810344827586207,0.1053659215123972,0.006335404867057386,0.12329944614048086,0.015551941386413047,0.015551941386413033,0.12329944614048086
banking77,0.25,trainable,1.3,0.5072825563549573,0.981509489911183,0.3531896551724138,0.9797368421052631,0.02026315789473684,0.6468103448275861,0.15274246193474073,0.0013305565482560474,0.1331996285742519,0.007762042738817148,0.007762042738817172,0.1331996285742519
banking77,0.5,frozen,0.75,0.7463051779212008,0.5994558814187348,0.9884615384615385,0.3221052631578948,0.6778947368421052,0.011538461538461539,0.0036715878068781234,0.003986427855231351,0.0032998814554445395,0.010272431707516726,0.010272431707516752,0.0032998814554445516
banking77,0.5,frozen,0.85,0.796203066714278,0.6847496123460844,0.951025641025641,0.5506578947368421,0.4493421052631579,0.04897435897435897,0.007652642656721078,0.005453357781917747,0.01264787612786012,0.00778431550407841,0.007784315504078436,0.012647876127860114
banking77,0.5,frozen,0.9,0.8126152204388539,0.7330731417827961,0.9116666666666667,0.6593421052631578,0.3406578947368421,0.08833333333333333,0.01082209308792404,0.0063330572711755,0.020514823620145548,0.009297055948389197,0.00929705594838921,0.020514823620145516
banking77,0.5,frozen,0.95,0.8102533225342569,0.7793451488188929,0.8441025641025641,0.7547368421052632,0.24526315789473685,0.1558974358974359,0.013920642578264789,0.003921916983482999,0.028918712163839354,0.008794652587079503,0.008794652587079493,0.028918712163839354
banking77,0.5,frozen,1.0,0.7884855089381205,0.8305510962507716,0.7511538461538462,0.8426315789473684,0.15736842105263157,0.24884615384615386,0.018371217903947797,0.0027222556909680786,0.03499729960466484,0.009606164341286296,0.009606164341286307,0.034997299604664814
banking77,0.5,frozen,1.05,0.7108075700245211,0.8536935827378003,0.6096153846153847,0.8927631578947368,0.10723684210526316,0.3903846153846154,0.02467729956999274,0.0032382398090917627,0.036162596686072634,0.006993516982062273,0.0069935169820622665,0.03616259668607267
banking77,0.5,frozen,1.1,0.6009289744775572,0.8749407327596799,0.45807692307692305,0.9327631578947368,0.06723684210526315,0.541923076923077,0.023409881710159022,0.005468357242844422,0.02710409233252947,0.005609493091392647,0.005609493091392684,0.027104092332529504
banking77,0.5,frozen,1.2,0.3430485635369664,0.9086888415337013,0.2117948717948718,0.9781578947368421,0.021842105263157895,0.7882051282051281,0.02954598483350492,0.006330351018647894,0.022525462252840495,0.002844966882952544,0.002844966882952586,0.022525462252840484
banking77,0.5,frozen,1.3,0.14577341983851524,0.9224349640288164,0.07935897435897436,0.993421052631579,0.006578947368421052,0.9206410256410257,0.030838075290049,0.019676120476060606,0.018257418583505537,0.0009304036594560012,0.0009304036594559835,0.018257418583505533
banking77,0.5,trainable,0.75,0.7474682209181032,0.6006000083556966,0.9894871794871796,0.32447368421052636,0.6755263157894736,0.010512820512820513,0.006185050414177718,0.007574179634106143,0.0029929788538278768,0.020832525376761377,0.020832525376761377,0.002992978853827885
banking77,0.5,trainable,0.85,0.8049931184956108,0.6891603028912876,0.9676923076923076,0.5519736842105263,0.4480263157894736,0.03230769230769231,0.007968051919015038,0.007695142519616966,0.011364428279142264,0.014421256721567762,0.014421256721567766,0.011364428279142273
banking77,0.5,trainable,0.9,0.8291825861323975,0.7402189348579882,0.9425641025641026,0.6605263157894737,0.3394736842105263,0.05743589743589743,0.009093178623788363,0.00503352234161142,0.01788335166935022,0.00762987730575211,0.007629877305752102,0.01788335166935023
banking77,0.5,trainable,0.95,0.840724215405662,0.7868249440653095,0.9028205128205128,0.7489473684210527,0.25105263157894736,0.09717948717948718,0.01099633108203102,0.004449447535331524,0.023850116847423736,0.008894970411134554,0.008894970411134519,0.023850116847423747
banking77,0.5,trainable,1.0,0.8356406184886493,0.8293112589134074,0.8425641025641026,0.8221052631578948,0.17789473684210527,0.15743589743589742,0.01825114454581141,0.002750525996435247,0.03434605574205232,0.004803082170643177,0.004803082170643156,0.03434605574205226
banking77,0.5,trainable,1.05,0.8069434905755323,0.8610275959023852,0.7601282051282052,0.8742105263157894,0.1257894736842105,0.23987179487179486,0.0275634796445506,0.008884321161676893,0.044909324964538776,0.008941077509786581,0.008941077509786566,0.04490932496453879
banking77,0.5,trainable,1.1,0.7538242965460716,0.884672389490834,0.6582051282051282,0.9119736842105264,0.08802631578947369,0.34179487179487184,0.03698341194273311,0.008714840639466545,0.05448981894059504,0.009740397643853548,0.009740397643853555,0.05448981894059502
banking77,0.5,trainable,1.2,0.558907846257108,0.9143317108052239,0.40435897435897433,0.9610526315789473,0.03894736842105263,0.5956410256410256,0.0528845560382112,0.010081609075658348,0.056113364989461297,0.007663838351801804,0.007663838351801822,0.056113364989461297
banking77,0.5,trainable,1.3,0.3401223561036322,0.942410198022807,0.20910256410256411,0.9867105263157894,0.013289473684210526,0.7908974358974359,0.06286506327265898,0.012577723269678017,0.04726319914505765,0.004543762276271577,0.004543762276271581,0.04726319914505764
banking77,0.75,frozen,0.75,0.483834493460257,0.32076088504831207,0.9842105263157895,0.31724137931034485,0.6827586206896552,0.015789473684210527,0.0028152867849263862,0.002133300667256603,0.00446205919942451,0.005163426099444385,0.005163426099444383,0.0044620591994245186
banking77,0.75,frozen,0.85,0.5636307002070863,0.40485449293652775,0.9273684210526316,0.5533620689655173,0.4466379310344828,0.07263157894736842,0.008779151197747343,0.006825661218283999,0.014274951426437366,0.008872402736634954,0.008872402736634899,0.014274951426437385
banking77,0.75,frozen,0.9,0.6026525333503419,0.4607892783870602,0.8707894736842106,0.666206896551724,0.33379310344827584,0.12921052631578947,0.013695850317988726,0.010091254381330891,0.022854623055606305,0.007060286935049579,0.007060286935049577,0.022854623055606288
banking77,0.75,frozen,0.95,0.6199461907743788,0.5176834481158978,0.7728947368421053,0.7643103448275863,0.23568965517241378,0.22710526315789475,0.019894893827976608,0.011190145492634668,0.03816469993763399,0.004293068826892703,0.004293068826892669,0.03816469993763399
banking77,0.75,frozen,1.0,0.6171174731147959,0.5902597232024394,0.6468421052631579,0.853103448275862,0.14689655172413793,0.35315789473684206,0.02429110515362035,0.01501431650254605,0.03619736602957769,0.003274160174971243,0.003274160174971192,0.036197366029577675
banking77,0.75,frozen,1.05,0.5467819683724049,0.6240266099877271,0.48684210526315785,0.9042241379310345,0.09577586206896552,0.5131578947368421,0.03371417383481734,0.02494472776950693,0.03828246454204252,0.002913869617440636,0.002913869617440614,0.038282464542042496
banking77,0.75,frozen,1.1,0.4323070167824934,0.6460861191986036,0.325,0.9418965517241379,0.05810344827586207,0.675,0.030313498084596095,0.028622013040513337,0.02717352161587289,0.002749851363402847,0.002749851363402862,0.027173521615872876
banking77,0.75,frozen,1.2,0.2271737476679337,0.7122455975397152,0.13526315789473684,0.9822413793103448,0.017758620689655173,0.8647368421052631,0.024956136732176417,0.030846217133160127,0.016834908001644174,0.0011565868849136966,0.0011565868849136836,0.016834908001644163
banking77,0.75,frozen,1.3,0.09891294298989048,0.7349625281076921,0.053157894736842105,0.9937931034482759,0.006206896551724138,0.9468421052631578,0.02182258727541095,0.025687589583866095,0.012503462124425893,0.0011240004146901052,0.0011240004146901117,0.012503462124425858
banking77,0.75,trainable,0.75,0.4845541514928036,0.3208164760273598,0.9897368421052631,0.31344827586206897,0.686551724137931,0.010263157894736842,0.006395045298461251,0.005131641366933264,0.005213582304252381,0.013604584542379393,0.01360458454237941,0.0052135823042523555
banking77,0.75,trainable,0.85,0.5781983774608505,0.41262282384799426,0.9657894736842104,0.5495689655172413,0.4504310344827586,0.034210526315789476,0.007181459239693611,0.005804481073419515,0.011583432145828281,0.008663685880276667,0.008663685880276642,0.011583432145828295
banking77,0.75,trainable,0.9,0.6285911419317843,0.473948951498381,0.9331578947368421,0.6607758620689654,0.33922413793103445,0.0668421052631579,0.009292276876203412,0.004621347518451588,0.023691519340106937,0.0034884513052238415,0.00348845130522386,0.023691519340106902
banking77,0.75,trainable,0.95,0.6657798890499315,0.5358154908772822,0.8792105263157894,0.750603448275862,0.24939655172413794,0.12078947368421052,0.014452226549591954,0.0074045044914652315,0.03129532723786748,0.0030570040045684714,0.0030570040045684904,0.03129532723786744
banking77,0.75,trainable,1.0,0.6865343253584566,0.5992579910432573,0.8039473684210525,0.8241379310344827,0.17586206896551723,0.19605263157894737,0.027084540089959874,0.01625070887963803,0.045807618909287404,0.004054932698755789,0.004054932698755775,0.04580761890928739
banking77,0.75,trainable,1.05,0.678603461688574,0.656997314550332,0.703421052631579,0.8803448275862069,0.11965517241379311,0.29657894736842105,0.04654292945336294,0.02101669103344903,0.07481278572936087,0.003814107207867042,0.003814107207867054,0.07481278572936084
banking77,0.75,trainable,1.1,0.6273488644176904,0.7010684453754197,0.5718421052631579,0.9211206896551725,0.07887931034482758,0.4281578947368422,0.07149028159788125,0.024062733218380514,0.09689876060143483,0.00611096848222314,0.006110968482223203,0.09689876060143487
banking77,0.75,trainable,1.2,0.4364165041203458,0.7642341737149944,0.30842105263157893,0.9689655172413794,0.03103448275862069,0.6915789473684211,0.06881501708862503,0.016109709151670128,0.06401285362614982,0.006429497366455327,0.006429497366455302,0.06401285362614982
banking77,0.75,trainable,1.3,0.2358260438377632,0.8245355039301613,0.13842105263157894,0.9902586206896551,0.009741379310344828,0.861578947368421,0.04453984864991076,0.01642749724939277,0.03051099887961027,0.002667542835649329,0.002667542835649276,0.030510998879610285
clinc150,0.25,frozen,0.75,0.9042262965450515,0.825919308273642,0.9989473684210527,0.15771929824561404,0.8422807017543861,0.0010526315789473684,0.0021822122812316376,0.0036882341771651197,0.0010788047259867454,0.021730674684008834,0.021730674684008813,0.0010788047259867408
clinc150,0.25,frozen,0.85,0.9221835674071596,0.8591141922205523,0.9952631578947368,0.3470175438596491,0.6529824561403508,0.004736842105263158,0.0035849510868804636,0.005422626493439419,0.0026840528562796905,0.028717856762203998,0.02871785676220397,0.002684052856279692
clinc150,0.25,frozen,0.9,0.9337597848123927,0.8844555614377567,0.9889035087719298,0.4831578947368421,0.5168421052631579,0.011096491228070177,0.0032465484141531967,0.004407848300199407,0.004498554878932706,0.022220875613246916,0.02222087561324693,0.004498554878932661
clinc150,0.25,frozen,0.95,0.9421836847649926,0.9105647163193729,0.9760964912280702,0.6164912280701754,0.3835087719298246,0.023903508771929823,0.0039919107646089295,0.0032924767542618144,0.006727132302709673,0.015058621472106801,0.015058621472106832,0.006727132302709634
clinc150,0.25,frozen,1.0,0.9471329806114899,0.9385476314422444,0.9559210526315789,0.7496491228070176,0.25035087719298244,0.04407894736842105,0.005975844575828722,0.002836180532743242,0.010884574108533645,0.011663698342873431,0.011663698342873454,0.010884574108533657
clinc150,0.25,frozen,1.05,0.9372902448955678,0.9612578284735596,0.9146052631578947,0.8526315789473685,0.14736842105263157,0.08539473684210526,0.010340793246353527,0.0029514500143918033,0.018040263311231507,0.010323335347315667,0.010323335347315629,0.018040263311231507
clinc150,0.25,frozen,1.1,0.8964342172010028,0.9758429215104574,0.8292543859649122,0.9180701754385965,0.0819298245614035,0.17074561403508773,0.01678623821962504,0.0031019521396741774,0.026905669491481866,0.009128709291752806,0.009128709291752772,0.026905669491481852
clinc150,0.25,frozen,1.2,0.5772176912541209,0.9858915958124657,0.411359649122807,0.9770175438596491,0.022982456140350875,0.588640350877193,0.077221673554558,0.004056272526127676,0.076903895738432,0.006090019283406896,0.006090019283406941,0.07690389573843198
clinc150,0.25,frozen,1.3,0.03753068792890849,0.7941061755146263,0.019342105263157897,0.9996491228070175,0.00035087719298245617,0.9806578947368421,0.031841324217211996,0.44398021490914613,0.016688582082664324,0.0004804583837764613,0.00048045838377646147,0.016688582082664365
clinc150,0.25,trainable,0.75,0.9088344330771874,0.8340769125431612,0.9983333333333334,0.20543859649122806,0.7945614035087719,0.0016666666666666666,0.003013461419328753,0.005300797858717972,0.0014513501848925033,0.030953852206974403,0.030953852206974403,0.0014513501848924823
clinc150,0.25,trainable,0.85,0.9302928757635621,0.8741283149496917,0.9942105263157895,0.4270175438596491,0.5729824561403509,0.005789473684210527,0.00493567560008112,0.008374990611974588,0.002415269281097933,0.04370322984825008,0.04370322984825004,0.0024152692810979585
clinc150,0.25,trainable,0.9,0.9412072193682886,0.897120151535568,0.9898684210526316,0.5457894736842105,0.4542105263157895,0.010131578947368422,0.004277703967271732,0.006369912547721069,0.002980359169928831,0.03099111758289181,0.030991117582891817,0.002980359169928854
clinc150,0.25,trainable,0.95,0.948884133577427,0.9183797945221871,0.9814912280701755,0.6510526315789473,0.3489473684210526,0.018508771929824565,0.004821042019715265,0.0050759415090053375,0.00531227085215433,0.022350353900619093,0.022350353900619062,0.005312270852154303
clinc150,0.25,trainable,1.0,0.9516427437131565,0.9362038008306388,0.9676315789473684,0.7363157894736843,0.2636842105263158,0.03236842105263158,0.006493831244299032,0.002468761340995676,0.011023527540387035,0.008358687192681824,0.008358687192681822,0.011023527540387056
clinc150,0.25,trainable,1.05,0.9503839520847313,0.953722864735837,0.9472368421052633,0.8161403508771929,0.183859649122807,0.052763157894736845,0.01022968580513352,0.0025400982793651818,0.020063452553017485,0.010913916501751452,0.010913916501751426,0.020063452553017485
clinc150,0.25,trainable,1.1,0.9405517206322351,0.9678065814567651,0.9153070175438597,0.8780701754385966,0.12192982456140351,0.08469298245614035,0.017567399996539317,0.0034720063431945055,0.03391204699459315,0.015231364345776599,0.01523136434577662,0.03391204699459319
clinc150,0.25,trainable,1.2,0.8769142694951245,0.984104935038706,0.7952631578947369,0.9480701754385965,0.05192982456140351,0.20473684210526316,0.06031831378603741,0.002337230224305772,0.09765639215902241,0.012868154962029617,0.012868154962029648,0.09765639215902243
clinc150,0.25,trainable,1.3,0.7287787114119247,0.9921410905072896,0.5963157894736841,0.9810526315789474,0.018947368421052633,0.4036842105263158,0.16249351054584102,0.0031665173082160293,0.19707644094737728,0.010966666526338213,0.01096666652633824,0.19707644094737725
clinc150,0.5,frozen,0.75,0.7831140994702454,0.6442919578707642,0.9982028985507247,0.1549333333333333,0.8450666666666666,0.0017971014492753623,0.002072774869714874,0.0030419801519284743,0.0012534346846631746,0.011731986454681893,0.011731986454681915,0.0012534346846631683
clinc150,0.5,frozen,0.85,0.8195685322782976,0.6986030490338495,0.9912463768115941,0.3440888888888889,0.6559111111111111,0.008753623188405796,0.005049456822900899,0.007196545662429021,0.0018491754095926165,0.022084909098217788,0.022084909098217788,0.001849175409592647
clinc150,0.5,frozen,0.9,0.8470103621625285,0.7450946662968805,0.9812753623188406,0.4850666666666667,0.5149333333333334,0.01872463768115942,0.005425154445169721,0.008131215118577768,0.0018400661157222204,0.021783672671561345,0.021783672671561328,0.0018400661157221888
clinc150,0.5,frozen,0.95,0.8724931474241824,0.7978222722828043,0.9626086956521739,0.6258666666666667,0.3741333333333333,0.03739130434782609,0.005064029725800121,0.007204424832332331,0.002568122485024549,0.016065913613825814,0.0160659136138258,0.0025681224850245435
