dataset,kir,seed,variant,selection,checkpoint,gate_config,threshold,known_f1,oos_f1,overall_accuracy,f1_all,known_recall,false_accept_rate
clinc150,0.25,13,Ours,locked Known-only Gate config,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_known_training/clinc150_kir25_seed13_last4/checkpoint.pt,"{'k': 2, 'distance': 'euclidean', 'boundary': 'mean_std_0.0', 'rule': 'nearest_sphere', 'fusion': 'ratio', 'fusion_weight': 1.0, 'threshold': 2.0913229501416652}",2.0913229501416652,78.80430897879333,95.84007395424081,92.05454545454546,79.24112346534328,87.10526315789474,4.885321100917431
clinc150,0.25,13,Frozen MiniLM,Known validation 90% coverage quantile,pretrained all-MiniLM-L6-v2,"{'k': 2, 'distance': 'euclidean', 'boundary': 'mean_std_0.0', 'rule': 'nearest_sphere', 'fusion': 'ratio', 'fusion_weight': 1.0, 'threshold': 2.0913229501416652}",2.124010428770383,69.96264857341444,91.30329457364341,85.45454545454545,70.50984462470235,88.85964912280701,13.555045871559631
clinc150,0.25,13,Without Gate,Known validation 90% coverage quantile,fixed Router/Expert,intent confidence rejection,0.4566953182220459,48.39450816043325,66.65677840403441,57.945454545454545,48.862771500012755,88.1578947368421,48.46330275229358
clinc150,0.25,13,Cascade-MiniLM,Known validation 90% coverage quantile for frozen MiniLM Gate,Known-only MiniLM logistic heads,"{'k': 2, 'distance': 'euclidean', 'boundary': 'mean_std_0.0', 'rule': 'nearest_sphere', 'fusion': 'ratio', 'fusion_weight': 1.0, 'threshold': 2.124010428770383}",2.124010428770383,77.05557170124315,91.30329457364341,86.61818181818181,77.4208979287406,88.85964912280701,13.555045871559631
clinc150,0.25,13,Cascade-SmolLM,Known validation 90% coverage quantile,pretrained/fixed SmolLM prototype Gate,SmolLM prototype cosine support,0.3042250871658325,53.589574878278476,78.30787944316799,69.18181818181817,54.22337755942949,87.54385964912281,33.555045871559635
clinc150,0.25,42,Ours,locked Known-only Gate config,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_known_training/clinc150_kir25_seed42_last4/checkpoint.pt,"{'k': 2, 'distance': 'euclidean', 'boundary': 'mean_std_0.0', 'rule': 'nearest_sphere', 'fusion': 'ratio', 'fusion_weight': 1.0, 'threshold': 2.2714813870433166}",2.2714813870433166,76.24891470736678,95.00937207122774,90.5090909090909,76.72995207567091,89.3859649122807,6.9954128440366965
clinc150,0.25,42,Frozen MiniLM,Known validation 90% coverage quantile,pretrained all-MiniLM-L6-v2,"{'k': 2, 'distance': 'euclidean', 'boundary': 'mean_std_0.0', 'rule': 'nearest_sphere', 'fusion': 'ratio', 'fusion_weight': 1.0, 'threshold': 2.2714813870433166}",2.1312358301232934,64.27542327779811,89.1581159599456,82.0,64.91344103887882,89.21052631578948,17.293577981651374
clinc150,0.25,42,Without Gate,Known validation 90% coverage quantile,fixed Router/Expert,intent confidence rejection,0.4936375617980957,46.01443215401931,53.81865453363665,47.090909090909086,46.214540420163345,87.89473684210526,62.018348623853214
clinc150,0.25,42,Cascade-MiniLM,Known validation 90% coverage quantile for frozen MiniLM Gate,Known-only MiniLM logistic heads,"{'k': 2, 'distance': 'euclidean', 'boundary': 'mean_std_0.0', 'rule': 'nearest_sphere', 'fusion': 'ratio', 'fusion_weight': 1.0, 'threshold': 2.1312358301232934}",2.1312358301232934,72.08093267131588,89.1581159599456,83.6,72.51880916589613,89.21052631578948,17.293577981651374
clinc150,0.25,42,Cascade-SmolLM,Known validation 90% coverage quantile,pretrained/fixed SmolLM prototype Gate,SmolLM prototype cosine support,0.3274061679840088,52.767442896965676,73.96950875211745,64.56363636363636,53.31108561120034,90.87719298245615,39.908256880733944
clinc150,0.25,87,Ours,locked Known-only Gate config,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_known_training/clinc150_kir25_seed87_last4/checkpoint.pt,"{'k': 2, 'distance': 'euclidean', 'boundary': 'mean_std_0.0', 'rule': 'nearest_sphere', 'fusion': 'ratio', 'fusion_weight': 1.0, 'threshold': 2.103917860350272}",2.103917860350272,80.17165780739673,94.70485096434832,90.98181818181818,80.5443037857801,87.36842105263159,7.087155963302752
clinc150,0.25,87,Frozen MiniLM,Known validation 90% coverage quantile,pretrained all-MiniLM-L6-v2,"{'k': 2, 'distance': 'euclidean', 'boundary': 'mean_std_0.0', 'rule': 'nearest_sphere', 'fusion': 'ratio', 'fusion_weight': 1.0, 'threshold': 2.103917860350272}",2.105407464674188,72.63820966514591,91.0989678202793,85.70909090909092,73.11156243835445,89.12280701754386,13.96788990825688
clinc150,0.25,87,Without Gate,Known validation 90% coverage quantile,fixed Router/Expert,intent confidence rejection,0.44606029987335205,51.5080307736144,65.41409890275064,57.418181818181814,51.86459662307943,89.73684210526316,50.091743119266056
clinc150,0.25,87,Cascade-MiniLM,Known validation 90% coverage quantile for frozen MiniLM Gate,Known-only MiniLM logistic heads,"{'k': 2, 'distance': 'euclidean', 'boundary': 'mean_std_0.0', 'rule': 'nearest_sphere', 'fusion': 'ratio', 'fusion_weight': 1.0, 'threshold': 2.105407464674188}",2.105407464674188,76.9630624661701,91.0989678202793,86.50909090909092,77.32552157781392,89.12280701754386,13.96788990825688
clinc150,0.25,87,Cascade-SmolLM,Known validation 90% coverage quantile,pretrained/fixed SmolLM prototype Gate,SmolLM prototype cosine support,0.3065088987350464,58.05472034588608,79.45902517407606,71.27272727272728,58.603548674814036,87.63157894736841,31.949541284403672
clinc150,0.5,13,Ours,locked Known-only Gate config,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_known_training/clinc150_kir50_seed13_all6/checkpoint.pt,"{'k': 2, 'distance': 'euclidean', 'boundary': 'intent_quantile_0.7', 'rule': 'nearest_sphere', 'fusion': 'inverse_margin', 'fusion_weight': 0.5, 'threshold': 3.0612127760871277}",3.0612127760871277,82.25059817981555,91.63591635916359,87.63636363636364,82.3740892084912,87.82222222222222,8.307692307692308
clinc150,0.5,13,Frozen MiniLM,Known validation 90% coverage quantile,pretrained all-MiniLM-L6-v2,"{'k': 2, 'distance': 'euclidean', 'boundary': 'intent_quantile_0.7', 'rule': 'nearest_sphere', 'fusion': 'inverse_margin', 'fusion_weight': 0.5, 'threshold': 3.0612127760871277}",6.4532215112485805,76.17273195730188,85.04014419138129,80.61818181818182,76.28940843406608,88.53333333333333,20.153846153846153
clinc150,0.5,13,Without Gate,Known validation 90% coverage quantile,fixed Router/Expert,intent confidence rejection,0.4072341322898865,69.90830264621252,69.66746279625207,68.41818181818182,69.9051337008183,86.8,41.66153846153846
clinc150,0.5,13,Cascade-MiniLM,Known validation 90% coverage quantile for frozen MiniLM Gate,Known-only MiniLM logistic heads,"{'k': 2, 'distance': 'euclidean', 'boundary': 'intent_quantile_0.7', 'rule': 'nearest_sphere', 'fusion': 'inverse_margin', 'fusion_weight': 0.5, 'threshold': 6.4532215112485805}",6.4532215112485805,81.51905977391642,85.04014419138129,82.81818181818181,81.56538983204096,88.53333333333333,20.153846153846153
clinc150,0.5,13,Cascade-SmolLM,Known validation 90% coverage quantile,pretrained/fixed SmolLM prototype Gate,SmolLM prototype cosine support,0.309637188911438,65.49888064450415,61.339693897833435,62.0,65.44415450310058,89.42222222222223,52.52307692307693
clinc150,0.5,42,Ours,locked Known-only Gate config,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_known_training/clinc150_kir50_seed42_all6/checkpoint.pt,"{'k': 2, 'distance': 'euclidean', 'boundary': 'intent_quantile_0.7', 'rule': 'nearest_sphere', 'fusion': 'inverse_margin', 'fusion_weight': 0.5, 'threshold': 2.403394441294548}",2.403394441294548,82.62675337621135,91.48107771375176,87.6,82.74325764381058,89.60000000000001,9.63076923076923
clinc150,0.5,42,Frozen MiniLM,Known validation 90% coverage quantile,pretrained all-MiniLM-L6-v2,"{'k': 2, 'distance': 'euclidean', 'boundary': 'intent_quantile_0.7', 'rule': 'nearest_sphere', 'fusion': 'inverse_margin', 'fusion_weight': 0.5, 'threshold': 2.403394441294548}",7.0001581780393245,75.74297371282555,83.80920389654014,79.72727272727272,75.84910832050599,90.71111111111111,23.23076923076923
clinc150,0.5,42,Without Gate,Known validation 90% coverage quantile,fixed Router/Expert,intent confidence rejection,0.4522842764854431,67.17522258595436,64.25233644859813,64.61818181818182,67.13676355783126,89.5111111111111,49.23076923076923
clinc150,0.5,42,Cascade-MiniLM,Known validation 90% coverage quantile for frozen MiniLM Gate,Known-only MiniLM logistic heads,"{'k': 2, 'distance': 'euclidean', 'boundary': 'intent_quantile_0.7', 'rule': 'nearest_sphere', 'fusion': 'inverse_margin', 'fusion_weight': 0.5, 'threshold': 7.0001581780393245}",7.0001581780393245,81.16018240667847,83.80920389654014,81.72727272727272,81.1950379525977,90.71111111111111,23.23076923076923
