dataset,kir,seed,variant,known_f1,oos_f1,overall_accuracy,f1_all,known_recall,false_accept_rate
banking77_oos,0.25,42,Ours,65.77004887193092,96.5686944634313,93.40686274509804,68.1391754558925,61.875,1.8888888888888888
banking77_oos,0.25,42,Without Gate,51.5918705500211,89.80553918680023,82.72058823529412,54.531383522081036,70.83333333333334,15.333333333333332
banking77_oos,0.25,42,Cascade-MiniLM,67.5489748967936,96.5686944634313,93.57843137254902,69.78126101730419,61.875,1.8888888888888888
banking77_oos,0.25,42,Cascade-SmolLM,26.833952714249204,64.40554339897885,51.15196078431372,29.724075074613022,75.41666666666667,50.94444444444445
banking77_oos,0.5,42,Ours,66.70969354341103,91.46341463414635,85.51470588235294,67.66175973920855,69.8,7.467532467532467
banking77_oos,0.5,42,Without Gate,65.23784684195894,88.74875539329572,82.42647058823529,66.14211255547188,72.8,13.18181818181818
banking77_oos,0.5,42,Cascade-MiniLM,68.88778782221836,91.46341463414635,85.9313725490196,69.75608116113867,69.8,7.467532467532467
banking77_oos,0.5,42,Cascade-SmolLM,40.43667691503247,55.37981733125418,47.8921568627451,41.01141308488715,83.39999999999999,59.64285714285714
banking77_oos,0.75,42,Ours,70.22055701619288,88.48934922806332,81.47058823529412,70.68898758572803,80.72368421052632,11.5625
banking77_oos,0.75,42,Without Gate,67.47059121070167,82.31919688588404,76.00490196078431,67.85132468955251,79.47368421052632,21.5234375
banking77_oos,0.75,42,Cascade-MiniLM,73.77491146593142,88.48934922806332,82.69607843137254,74.15220474188352,80.72368421052632,11.5625
banking77_oos,0.75,42,Cascade-SmolLM,51.306853931214334,42.07119741100323,45.88235294117647,51.07004222556789,91.84210526315789,72.0703125
clinc150,0.25,42,Ours,72.85503120577891,95.20723941459055,91.01818181818182,73.4281647495946,71.05263157894737,2.2706422018348627
clinc150,0.25,42,Without Gate,53.27362772457285,81.75109443402127,73.0,54.003819178661274,67.80701754385964,25.045871559633028
clinc150,0.25,42,Cascade-MiniLM,78.40458625846631,95.20723941459055,92.05454545454546,78.83542351887975,71.05263157894737,2.2706422018348627
clinc150,0.25,42,Cascade-SmolLM,61.19160971401575,88.08603189946834,80.85454545454546,61.88121028287351,76.2280701754386,16.399082568807337
clinc150,0.5,42,Ours,82.56154091870508,91.6438772409602,87.92727272727274,82.68104534399791,85.95555555555555,7.199999999999999
clinc150,0.5,42,Without Gate,70.95292187068948,76.03027754415476,73.0,71.01972918218243,80.66666666666666,30.461538461538463
clinc150,0.5,42,Cascade-MiniLM,87.04163837615818,91.6438772409602,89.67272727272727,87.10219415069504,85.95555555555555,7.199999999999999
clinc150,0.5,42,Cascade-SmolLM,67.39676259604143,69.70577551761714,67.65454545454546,67.42714434500951,85.02222222222223,40.95384615384615
clinc150,0.75,42,Ours,78.1127867364655,81.33123276880661,79.81818181818183,78.14126855976055,74.01785714285715,3.5046728971962615
clinc150,0.75,42,Without Gate,77.49416335254534,61.75902950096499,71.65454545454546,77.35491438040746,89.07738095238096,47.66355140186916
clinc150,0.75,42,Cascade-MiniLM,81.99026992535758,81.33123276880661,81.89090909090909,81.98443773813146,74.01785714285715,3.5046728971962615
clinc150,0.75,42,Cascade-SmolLM,75.28227958629911,55.02020516008703,68.43636363636364,75.10296919314679,94.28571428571428,58.64485981308412
stackoverflow,0.25,42,Ours,80.10416007922336,95.98596183373547,92.17028380634392,82.75112703830871,83.36673346693387,2.6040507456042734
stackoverflow,0.25,42,Without Gate,60.788787624317685,74.94747899159664,66.84474123539232,63.148569518864186,82.03072812291249,36.47896728243935
stackoverflow,0.25,42,Cascade-MiniLM,82.4042440397031,95.98596183373547,92.73789649415693,84.66786367204183,83.36673346693387,2.6040507456042734
stackoverflow,0.25,42,Cascade-SmolLM,42.02476467249208,45.10054261091606,40.3338898163606,42.53739432889608,75.95190380761522,68.55107945693301
stackoverflow,0.5,42,Ours,85.2352338762859,91.85441941074524,88.76460767946578,85.83697801578222,85.46608753758771,2.7360694027360695
stackoverflow,0.5,42,Without Gate,76.91057536338386,80.16488046166529,78.36393989983306,77.20642128140945,78.71700634814567,18.88555221888555
stackoverflow,0.5,42,Cascade-MiniLM,87.47444245871453,91.85441941074524,89.79966611018364,87.87262218162643,85.46608753758771,2.7360694027360695
stackoverflow,0.5,42,Cascade-SmolLM,60.66366533540239,6.376262626262625,44.40734557595994,55.72844690729878,97.66120948880722,96.62996329662997
stackoverflow,0.75,42,Ours,85.03827619714828,78.4524449220849,83.03839732888146,84.6266617424568,83.01046537519483,2.601734489659773
stackoverflow,0.75,42,Without Gate,82.0864564597738,65.94161419576416,77.3956594323873,81.0774038182732,81.22912491649966,23.14876584389593
stackoverflow,0.75,42,Cascade-MiniLM,87.54595806327326,78.4524449220849,84.75792988313856,86.97761349194897,83.01046537519483,2.601734489659773
stackoverflow,0.75,42,Cascade-SmolLM,74.96582748686122,0.132890365448505,64.85809682804674,70.28876891677291,99.88866622133156,99.93328885923948
