dataset,kir,seed,component,oos_f1,f1_all,id_recall,false_accept_rate,effective_cluster_count,base_oos_f1,base_f1_all,base_id_recall,base_false_accept_rate,base_effective_cluster_count,delta_oos_vs_mogb_default,delta_f1_all_vs_mogb_default,delta_id_recall_vs_mogb_default,delta_false_accept_vs_mogb_default
banking77,0.25,13,euclidean_mean,0.8975725281231498,0.5220544414587288,0.3776315789473684,0.0198275862068965,47.0,0.8958088523305915,0.4962407516734247,0.3434210526315789,0.0142241379310344,47.0,0.0017636757925583169,0.025813689785304128,0.03421052631578947,0.005603448275862101
banking77,0.25,13,euclidean_mean_std,0.9074614422676116,0.6690541384392134,0.6039473684210526,0.0616379310344827,47.0,0.8958088523305915,0.4962407516734247,0.3434210526315789,0.0142241379310344,47.0,0.01165258993702012,0.17281338676578867,0.26052631578947366,0.0474137931034483
banking77,0.25,13,mahalanobis_diag_mean,0.8958088523305915,0.4962407516734247,0.3434210526315789,0.0142241379310344,47.0,0.8958088523305915,0.4962407516734247,0.3434210526315789,0.0142241379310344,47.0,0.0,0.0,0.0,0.0
banking77,0.25,13,mahalanobis_diag_mean_std,0.916837361736993,0.6757053325275224,0.5736842105263158,0.0353448275862069,47.0,0.8958088523305915,0.4962407516734247,0.3434210526315789,0.0142241379310344,47.0,0.021028509406401552,0.17946458085409772,0.2302631578947369,0.021120689655172498
banking77,0.25,42,euclidean_mean,0.9093069306930692,0.6009923308051042,0.4289473684210526,0.0103448275862068,40.0,0.9068396226415094,0.5701726028777389,0.3934210526315789,0.005603448275862,40.0,0.0024673080515598134,0.030819727927365315,0.035526315789473684,0.004741379310344799
banking77,0.25,42,euclidean_mean_std,0.9174078780177892,0.7426745717255754,0.6894736842105262,0.0663793103448275,40.0,0.9068396226415094,0.5701726028777389,0.3934210526315789,0.005603448275862,40.0,0.010568255376279811,0.17250196884783653,0.29605263157894735,0.0607758620689655
banking77,0.25,42,mahalanobis_diag_mean,0.9068396226415094,0.5701726028777389,0.3934210526315789,0.005603448275862,40.0,0.9068396226415094,0.5701726028777389,0.3934210526315789,0.005603448275862,40.0,0.0,0.0,0.0,0.0
banking77,0.25,42,mahalanobis_diag_mean_std,0.9243557772236076,0.7414261021053612,0.6473684210526316,0.0413793103448275,40.0,0.9068396226415094,0.5701726028777389,0.3934210526315789,0.005603448275862,40.0,0.01751615458209821,0.17125349922762234,0.2539473684210527,0.035775862068965505
banking77,0.25,87,euclidean_mean,0.9025600317523318,0.5704707487833717,0.4144736842105263,0.0198275862068965,35.0,0.9010077059869592,0.5528220152084544,0.3934210526315789,0.0172413793103448,35.0,0.0015523257653725642,0.017648733574917252,0.021052631578947434,0.0025862068965517016
banking77,0.25,87,euclidean_mean_std,0.921107847251364,0.7440072131557327,0.6697368421052632,0.0538793103448275,35.0,0.9010077059869592,0.5528220152084544,0.3934210526315789,0.0172413793103448,35.0,0.020100141264404736,0.19118519794727828,0.2763157894736843,0.0366379310344827
banking77,0.25,87,mahalanobis_diag_mean,0.9010077059869592,0.5528220152084544,0.3934210526315789,0.0172413793103448,35.0,0.9010077059869592,0.5528220152084544,0.3934210526315789,0.0172413793103448,35.0,0.0,0.0,0.0,0.0
banking77,0.25,87,mahalanobis_diag_mean_std,0.9256026600166252,0.7446154701985688,0.6513157894736843,0.0400862068965517,35.0,0.9010077059869592,0.5528220152084544,0.3934210526315789,0.0172413793103448,35.0,0.02459495402966594,0.19179345499011435,0.2578947368421054,0.0228448275862069
banking77,0.25,100,euclidean_mean,0.9044910766817024,0.5420944839644022,0.3776315789473684,0.0060344827586206,47.0,0.8993367147873585,0.501596371100617,0.3407894736842105,0.0064655172413793,47.0,0.005154361894343817,0.04049811286378524,0.0368421052631579,-0.0004310344827586996
banking77,0.25,100,euclidean_mean_std,0.9105417891642168,0.68999714008061,0.6394736842105263,0.0655172413793103,47.0,0.8993367147873585,0.501596371100617,0.3407894736842105,0.0064655172413793,47.0,0.011205074376858248,0.18840076897999303,0.29868421052631583,0.05905172413793099
banking77,0.25,100,mahalanobis_diag_mean,0.8993367147873585,0.501596371100617,0.3407894736842105,0.0064655172413793,47.0,0.8993367147873585,0.501596371100617,0.3407894736842105,0.0064655172413793,47.0,0.0,0.0,0.0,0.0
banking77,0.25,100,mahalanobis_diag_mean_std,0.9207003089598352,0.6937340322158583,0.6052631578947368,0.0366379310344827,47.0,0.8993367147873585,0.501596371100617,0.3407894736842105,0.0064655172413793,47.0,0.021363594172476685,0.19213766111524133,0.26447368421052636,0.0301724137931034
banking77,0.25,123,euclidean_mean,0.9010292953285828,0.5581741558238851,0.4,0.0189655172413793,48.0,0.9000786782061369,0.5358531719953024,0.3736842105263158,0.0137931034482758,48.0,0.0009506171224459292,0.02232098382858272,0.026315789473684237,0.0051724137931035
