dataset,kir,baseline,metric,n_seeds,mean_delta,median_delta,ci95_low,ci95_high,wins,ties,losses,effect_size_d
banking77,0.25,mogb_partition_ours_boundary,oos_f1,5,-0.004021600184011742,-0.0013506360732762346,-0.01718786494075535,0.005733817838510369,2,0,3,-0.26979779620976324
banking77,0.25,mogb_partition_ours_boundary,f1_all,5,0.07360488878673092,0.07029449507271113,0.05420872358040496,0.09300105399305689,5,0,0,2.985306279596705
banking77,0.25,mogb_partition_ours_boundary,id_recall,5,0.201578947368421,0.20394736842105265,0.17342105263157892,0.22999999999999998,5,0,0,5.3756040531481295
banking77,0.25,mogb_partition_ours_boundary,false_accept_rate,5,0.06310344827586206,0.0573275862068966,0.04146551724137933,0.08844827586206896,5,0,0,2.0825646591433196
banking77,0.25,mogb_partition_ours_boundary,accuracy,5,0.0009740259740259827,0.0051948051948051965,-0.015974025974025974,0.013571428571428568,3,0,2,0.05121288632822174
banking77,0.25,mogb_partition_ours_boundary,auroc,5,0.031328153357531696,0.034462908348457444,0.017068511796733143,0.04445905172413787,5,0,0,1.7872397044545536
banking77,0.5,mogb_partition_ours_boundary,oos_f1,5,0.04166585883096015,0.048132883637863055,0.027767778858110347,0.052354409998875376,5,0,0,2.6359782388586095
banking77,0.5,mogb_partition_ours_boundary,f1_all,5,0.16863831395599443,0.1711582019841157,0.1535740781700775,0.18243896918920804,5,0,0,9.077497167289632
banking77,0.5,mogb_partition_ours_boundary,id_recall,5,0.3002631578947369,0.3013157894736842,0.28578947368421054,0.31473684210526315,5,0,0,15.90620509807063
banking77,0.5,mogb_partition_ours_boundary,false_accept_rate,5,0.12243589743589745,0.11282051282051281,0.10256410256410256,0.1441025641025642,5,0,0,4.637206492642753
banking77,0.5,mogb_partition_ours_boundary,accuracy,5,0.07785714285714287,0.07857142857142863,0.06590909090909089,0.08792207792207793,5,0,0,5.360483106262015
banking77,0.5,mogb_partition_ours_boundary,auroc,5,0.046827766531713964,0.05262651821862363,0.038032135627530404,0.0536573886639677,5,0,0,4.6220378783318505
banking77,0.75,mogb_partition_ours_boundary,oos_f1,5,0.15520265696899074,0.1551941025126723,0.13654789376200294,0.1778568775713598,5,0,0,5.6018968778308675
banking77,0.75,mogb_partition_ours_boundary,f1_all,5,0.25523982364564174,0.2547110866636074,0.23697984466095418,0.2734998026303293,5,0,0,10.90624446958535
banking77,0.75,mogb_partition_ours_boundary,id_recall,5,0.36551724137931035,0.3599137931034483,0.34655172413793106,0.3847413793103448,5,0,0,14.229509919714705
banking77,0.75,mogb_partition_ours_boundary,false_accept_rate,5,0.15552631578947368,0.1447368421052632,0.11736842105263154,0.19368421052631576,5,0,0,3.2221321654242687
banking77,0.75,mogb_partition_ours_boundary,accuracy,5,0.2187012987012987,0.21980519480519478,0.205,0.23279220779220777,5,0,0,11.965212146343324
banking77,0.75,mogb_partition_ours_boundary,auroc,5,0.07858541288566245,0.08633847549909257,0.05762375226860261,0.09367740471869328,5,0,0,3.28733527159384
clinc150,0.25,mogb_partition_ours_boundary,oos_f1,5,0.01032880531290301,0.008633265599209627,0.0069844013223247185,0.013717154133126819,5,0,0,2.3689642275205847
clinc150,0.25,mogb_partition_ours_boundary,f1_all,5,0.09527641905276044,0.09207783788078783,0.07272266189729396,0.11901151747053444,5,0,0,3.1641439665727003
clinc150,0.25,mogb_partition_ours_boundary,id_recall,5,0.13456140350877194,0.14210526315789473,0.10456140350877194,0.1649122807017544,5,0,0,3.2743709894182853
clinc150,0.25,mogb_partition_ours_boundary,false_accept_rate,5,0.01,0.010964912280701799,0.004385964912280681,0.015526315789473721,5,0,0,1.3918879594564528
clinc150,0.25,mogb_partition_ours_boundary,accuracy,5,0.01912280701754381,0.015789473684210353,0.013333333333333286,0.02491228070175433,5,0,0,2.5263584942505473
clinc150,0.25,mogb_partition_ours_boundary,auroc,5,0.03139188981225001,0.033011311172668534,0.02463446445060018,0.037251308094798465,5,0,0,3.91821013558155
clinc150,0.5,mogb_partition_ours_boundary,oos_f1,5,0.04883975328188104,0.04901625498090545,0.04764431571393981,0.05008211316601048,5,0,0,31.55723003674001
clinc150,0.5,mogb_partition_ours_boundary,f1_all,5,0.1721844564526416,0.16562604200726727,0.1633151195490073,0.1835299804380468,5,0,0,13.24959099811742
clinc150,0.5,mogb_partition_ours_boundary,id_recall,5,0.21102222222222222,0.20399999999999996,0.19777777777777777,0.22426666666666667,5,0,0,12.307789507850192
clinc150,0.5,mogb_partition_ours_boundary,false_accept_rate,5,0.011942028985507261,0.006956521739130396,0.0062608695652173986,0.019072463768115964,5,0,0,1.4501290055732132
clinc150,0.5,mogb_partition_ours_boundary,accuracy,5,0.07487719298245617,0.07526315789473681,0.074,0.07575438596491232,5,0,0,66.09313971590244
clinc150,0.5,mogb_partition_ours_boundary,auroc,5,0.047990492753623104,0.048501513687600584,0.04025110466988726,0.05533147826086946,5,0,0,4.855579390525175
clinc150,0.75,mogb_partition_ours_boundary,oos_f1,5,0.10874981752645278,0.11025462066827685,0.10570382310411888,0.11177854825514774,5,0,0,27.099525345689482
clinc150,0.75,mogb_partition_ours_boundary,f1_all,5,0.2331106491564773,0.23043101192222093,0.2178721957464509,0.24692409574677,5,0,0,12.232408281608036
clinc150,0.75,mogb_partition_ours_boundary,id_recall,5,0.27029761904761906,0.27142857142857146,0.2586904761904762,0.2801785714285715,5,0,0,20.1936935038965
clinc150,0.75,mogb_partition_ours_boundary,false_accept_rate,5,0.02128205128205128,0.0192307692307692,0.016153846153846164,0.026495726495726502,5,0,0,3.1999432282329847
clinc150,0.75,mogb_partition_ours_boundary,accuracy,5,0.14792982456140352,0.14877192982456144,0.14192982456140352,0.1536842105263158,5,0,0,19.508277019857005
clinc150,0.75,mogb_partition_ours_boundary,auroc,5,0.05328607041107043,0.05673929080179074,0.04482783882783896,0.06108407102157094,5,0,0,5.092229090826985
stackoverflow,0.25,mogb_partition_ours_boundary,oos_f1,5,0.028800829501088976,0.02989177302997381,0.019282228458535843,0.03811839745763661,5,0,0,2.3559585454883667
stackoverflow,0.25,mogb_partition_ours_boundary,f1_all,5,0.14186338138724225,0.14453776314309053,0.10823071269196231,0.17549605008252217,5,0,0,3.3043860149861852
stackoverflow,0.25,mogb_partition_ours_boundary,id_recall,5,0.2518666666666666,0.2366666666666667,0.21239999999999998,0.2910666666666667,5,0,0,4.820391376058538
stackoverflow,0.25,mogb_partition_ours_boundary,false_accept_rate,5,0.0181777777777778,0.0151111111111111,-0.0005333333333333009,0.036133333333333365,4,0,1,0.7748873974622634
stackoverflow,0.25,mogb_partition_ours_boundary,accuracy,5,0.04843333333333322,0.05166666666666653,0.03419999999999992,0.06233333333333317,5,0,0,2.6722135641676528
stackoverflow,0.25,mogb_partition_ours_boundary,auroc,5,0.036505185185185286,0.04033407407407419,0.023337185185185304,0.045267348148148215,5,0,0,2.513792924630499
