dataset,kir,distance,seed,best_k,best_k_oos_f1,k1_oos_f1,delta_oos_f1_vs_k1,selection_note
banking77,0.10,euclidean,13,4,0.944630248978075,0.927134724857685,0.017495524120390016,test-set oracle for sensitivity analysis only
banking77,0.10,euclidean,42,5,0.9675288937809577,0.9240191387559809,0.04350975502497689,test-set oracle for sensitivity analysis only
banking77,0.10,euclidean,87,5,0.9659590043923865,0.9537947671182037,0.01216423727418281,test-set oracle for sensitivity analysis only
banking77,0.10,euclidean,100,2,0.95948670944088,0.9408450704225352,0.018641639018344813,test-set oracle for sensitivity analysis only
banking77,0.10,euclidean,123,5,0.9503231763619575,0.9378062570674707,0.012516919294486839,test-set oracle for sensitivity analysis only
banking77,0.10,mahalanobis_diag,13,5,0.9638597759306108,0.9510929974064467,0.01276677852416408,test-set oracle for sensitivity analysis only
banking77,0.10,mahalanobis_diag,42,5,0.972277586519297,0.9432330827067669,0.029044503812530098,test-set oracle for sensitivity analysis only
banking77,0.10,mahalanobis_diag,87,5,0.9723976186180768,0.9619415333701049,0.010456085247971925,test-set oracle for sensitivity analysis only
banking77,0.10,mahalanobis_diag,100,5,0.9672190201729107,0.9662385321100918,0.0009804880628189183,test-set oracle for sensitivity analysis only
banking77,0.10,mahalanobis_diag,123,5,0.9650805138411435,0.9523809523809524,0.012699561460191022,test-set oracle for sensitivity analysis only
banking77,0.20,euclidean,13,4,0.9294845360824742,0.8873543375053949,0.042130198577079225,test-set oracle for sensitivity analysis only
banking77,0.20,euclidean,42,5,0.924896265560166,0.870784056066579,0.05411220949358697,test-set oracle for sensitivity analysis only
banking77,0.20,euclidean,87,5,0.9313322368421052,0.8954010695187166,0.035931167323388635,test-set oracle for sensitivity analysis only
banking77,0.20,euclidean,100,4,0.9361269324654191,0.9168596085034729,0.019267323961946192,test-set oracle for sensitivity analysis only
banking77,0.20,euclidean,123,5,0.9061784897025171,0.851586946803755,0.05459154289876211,test-set oracle for sensitivity analysis only
banking77,0.20,mahalanobis_diag,13,5,0.9449632425988476,0.9250624479600333,0.019900794638814223,test-set oracle for sensitivity analysis only
banking77,0.20,mahalanobis_diag,42,5,0.9392042011714805,0.9020859940400171,0.03711820713146341,test-set oracle for sensitivity analysis only
banking77,0.20,mahalanobis_diag,87,5,0.9454545454545454,0.9256644518272424,0.019790093627302996,test-set oracle for sensitivity analysis only
banking77,0.20,mahalanobis_diag,100,5,0.9464744222792811,0.9428395820528581,0.0036348402264230195,test-set oracle for sensitivity analysis only
banking77,0.20,mahalanobis_diag,123,5,0.923605497170574,0.882531426094495,0.04107407107607908,test-set oracle for sensitivity analysis only
banking77,0.25,euclidean,13,5,0.8958934517203108,0.8406072106261859,0.05528624109412483,test-set oracle for sensitivity analysis only
banking77,0.25,euclidean,42,5,0.9099756690997568,0.8386023294509153,0.07137333964884152,test-set oracle for sensitivity analysis only
banking77,0.25,euclidean,87,5,0.914210870988867,0.8788294467306813,0.03538142425818569,test-set oracle for sensitivity analysis only
banking77,0.25,euclidean,100,5,0.9107491856677525,0.8778467908902692,0.03290239477748336,test-set oracle for sensitivity analysis only
banking77,0.25,euclidean,123,5,0.8955026455026455,0.82273276904474,0.07276987645790545,test-set oracle for sensitivity analysis only
banking77,0.25,mahalanobis_diag,13,5,0.923534409515718,0.8895941963273634,0.03394021318835461,test-set oracle for sensitivity analysis only
banking77,0.25,mahalanobis_diag,42,5,0.9239991436523228,0.8845276129621177,0.03947153069020515,test-set oracle for sensitivity analysis only
banking77,0.25,mahalanobis_diag,87,5,0.9263336155800169,0.9068681929317626,0.01946542264825435,test-set oracle for sensitivity analysis only
banking77,0.25,mahalanobis_diag,100,5,0.9215189873417722,0.9114710450410473,0.010047942300724921,test-set oracle for sensitivity analysis only
banking77,0.25,mahalanobis_diag,123,5,0.9085860743272105,0.866635687732342,0.041950386594868494,test-set oracle for sensitivity analysis only
banking77,0.30,euclidean,13,5,0.890295358649789,0.818881477680862,0.07141388096892709,test-set oracle for sensitivity analysis only
banking77,0.30,euclidean,42,5,0.8978532672800189,0.8212461695607763,0.07660709771924257,test-set oracle for sensitivity analysis only
banking77,0.30,euclidean,87,5,0.8818224964404366,0.8453300124533002,0.03649248398713645,test-set oracle for sensitivity analysis only
banking77,0.30,euclidean,100,4,0.8936667445664874,0.8537924151696606,0.03987432939682678,test-set oracle for sensitivity analysis only
banking77,0.30,euclidean,123,5,0.8775076705215954,0.7916885849552868,0.08581908556630857,test-set oracle for sensitivity analysis only
banking77,0.30,mahalanobis_diag,13,5,0.9119101123595507,0.875365141187926,0.036544971171624696,test-set oracle for sensitivity analysis only
banking77,0.30,mahalanobis_diag,42,5,0.9094631483166514,0.8726207906295753,0.03684235768707611,test-set oracle for sensitivity analysis only
banking77,0.30,mahalanobis_diag,87,5,0.8992494882874686,0.8818443804034581,0.017405107884010507,test-set oracle for sensitivity analysis only
banking77,0.30,mahalanobis_diag,100,2,0.9077849860982392,0.8922929631402584,0.0154920229579808,test-set oracle for sensitivity analysis only
banking77,0.30,mahalanobis_diag,123,5,0.8925244262667575,0.843585237258348,0.048939189008409545,test-set oracle for sensitivity analysis only
banking77,0.40,euclidean,13,5,0.8469108802624384,0.7530864197530863,0.09382446050935211,test-set oracle for sensitivity analysis only
banking77,0.40,euclidean,42,5,0.8535311898873317,0.7561945549097584,0.09733663497757328,test-set oracle for sensitivity analysis only
banking77,0.40,euclidean,87,4,0.8401548672566371,0.77973174366617,0.06042312359046709,test-set oracle for sensitivity analysis only
banking77,0.40,euclidean,100,5,0.83206106870229,0.7733333333333333,0.0587277353689567,test-set oracle for sensitivity analysis only
banking77,0.40,euclidean,123,5,0.8453885453078784,0.7592364532019705,0.08615209210590791,test-set oracle for sensitivity analysis only
banking77,0.40,mahalanobis_diag,13,5,0.8681688681688682,0.8166715243369279,0.05149734383194027,test-set oracle for sensitivity analysis only
banking77,0.40,mahalanobis_diag,42,4,0.8668796592119276,0.8213872832369943,0.045492375974933275,test-set oracle for sensitivity analysis only
banking77,0.40,mahalanobis_diag,87,4,0.8694267515923566,0.8396946564885497,0.02973209510380692,test-set oracle for sensitivity analysis only
banking77,0.40,mahalanobis_diag,100,4,0.8587987355110644,0.8250863060989643,0.033712429412100176,test-set oracle for sensitivity analysis only
banking77,0.40,mahalanobis_diag,123,5,0.8502715283165244,0.81531268264173,0.03495884567479446,test-set oracle for sensitivity analysis only
banking77,0.50,euclidean,13,5,0.8047783715812639,0.6906422018348624,0.1141361697464015,test-set oracle for sensitivity analysis only
banking77,0.50,euclidean,42,5,0.8176656151419559,0.7456445993031359,0.07202101583882003,test-set oracle for sensitivity analysis only
banking77,0.50,euclidean,87,4,0.8138582677165356,0.7539627842866987,0.05989548342983686,test-set oracle for sensitivity analysis only
banking77,0.50,euclidean,100,5,0.8051058530510586,0.7304534094966083,0.07465244355445033,test-set oracle for sensitivity analysis only
banking77,0.50,euclidean,123,5,0.8089053803339518,0.700697759823724,0.10820762051022781,test-set oracle for sensitivity analysis only
banking77,0.50,mahalanobis_diag,13,5,0.8258443465491923,0.773972602739726,0.05187174380946624,test-set oracle for sensitivity analysis only
banking77,0.50,mahalanobis_diag,42,4,0.8389626055488542,0.7993366500829188,0.03962595546593539,test-set oracle for sensitivity analysis only
banking77,0.50,mahalanobis_diag,87,4,0.8399280575539569,0.8142344107084558,0.025693646845501128,test-set oracle for sensitivity analysis only
banking77,0.50,mahalanobis_diag,100,4,0.8203266787658803,0.7850151873101586,0.035311491455721655,test-set oracle for sensitivity analysis only
banking77,0.50,mahalanobis_diag,123,4,0.8138395590936927,0.7698686938493434,0.04397086524434923,test-set oracle for sensitivity analysis only
banking77,0.60,euclidean,13,5,0.7542468856172141,0.5967213114754099,0.15752557414180424,test-set oracle for sensitivity analysis only
banking77,0.60,euclidean,42,4,0.7761307487647283,0.6896849374190763,0.08644581134565199,test-set oracle for sensitivity analysis only
banking77,0.60,euclidean,87,4,0.7516365036580669,0.6851932262266609,0.06644327743140599,test-set oracle for sensitivity analysis only
banking77,0.60,euclidean,100,5,0.7527123082678638,0.6559571619812584,0.09675514628660542,test-set oracle for sensitivity analysis only
banking77,0.60,euclidean,123,5,0.7642698295033358,0.6524307133121309,0.1118391161912049,test-set oracle for sensitivity analysis only
banking77,0.60,mahalanobis_diag,13,5,0.7671328671328671,0.69479121825226,0.07234164888060712,test-set oracle for sensitivity analysis only
banking77,0.60,mahalanobis_diag,42,4,0.7925206760158215,0.7539650264335096,0.038555649582311946,test-set oracle for sensitivity analysis only
banking77,0.60,mahalanobis_diag,87,4,0.7704137678506042,0.7470274702747028,0.023386297575901382,test-set oracle for sensitivity analysis only
banking77,0.60,mahalanobis_diag,100,4,0.7659420289855072,0.7259073842302879,0.04003464475521934,test-set oracle for sensitivity analysis only
banking77,0.60,mahalanobis_diag,123,4,0.7654411764705882,0.7329401853411963,0.032500991129391865,test-set oracle for sensitivity analysis only
banking77,0.70,euclidean,13,5,0.6748932130991931,0.494478527607362,0.18041468549183115,test-set oracle for sensitivity analysis only
banking77,0.70,euclidean,42,5,0.7185011709601875,0.6048109965635738,0.11369017439661366,test-set oracle for sensitivity analysis only
banking77,0.70,euclidean,87,4,0.7029369282619162,0.6454849498327759,0.057451978429140294,test-set oracle for sensitivity analysis only
banking77,0.70,euclidean,100,5,0.6978250809810272,0.5943775100401606,0.10344757094086665,test-set oracle for sensitivity analysis only
banking77,0.70,euclidean,123,5,0.6812674743709226,0.5700598802395209,0.11120759413140169,test-set oracle for sensitivity analysis only
banking77,0.70,mahalanobis_diag,13,5,0.6824440619621343,0.6070430408049189,0.07540102115721536,test-set oracle for sensitivity analysis only
banking77,0.70,mahalanobis_diag,42,4,0.7220216606498194,0.6784,0.04362166064981943,test-set oracle for sensitivity analysis only
banking77,0.70,mahalanobis_diag,87,4,0.7092651757188498,0.6984631690514043,0.010802006667445574,test-set oracle for sensitivity analysis only
banking77,0.70,mahalanobis_diag,100,4,0.6974037600716204,0.6613076098606644,0.036096150210956024,test-set oracle for sensitivity analysis only
banking77,0.70,mahalanobis_diag,123,4,0.6844526218951242,0.6615720524017467,0.02288056949337758,test-set oracle for sensitivity analysis only
banking77,0.75,euclidean,13,5,0.6226312939902545,0.4677533664068037,0.15487792758345081,test-set oracle for sensitivity analysis only
banking77,0.75,euclidean,42,5,0.6733721545791423,0.5716180371352786,0.10175411744386376,test-set oracle for sensitivity analysis only
banking77,0.75,euclidean,87,4,0.6505228398458999,0.5678524374176548,0.08267040242824508,test-set oracle for sensitivity analysis only
banking77,0.75,euclidean,100,5,0.6356837606837606,0.5380434782608695,0.09764028242289113,test-set oracle for sensitivity analysis only
banking77,0.75,euclidean,123,5,0.6284796573875803,0.5377685377685377,0.09071111961904255,test-set oracle for sensitivity analysis only
banking77,0.75,mahalanobis_diag,13,5,0.6292352371732817,0.5827984595635429,0.046436777609738744,test-set oracle for sensitivity analysis only
banking77,0.75,mahalanobis_diag,42,4,0.6755237608584568,0.6482504604051565,0.02727330045330023,test-set oracle for sensitivity analysis only
banking77,0.75,mahalanobis_diag,87,4,0.6559751681324367,0.6253101736972705,0.030664994435166237,test-set oracle for sensitivity analysis only
banking77,0.75,mahalanobis_diag,100,4,0.6366427840327533,0.6064434617814276,0.03019932225132571,test-set oracle for sensitivity analysis only
banking77,0.75,mahalanobis_diag,123,4,0.6416275430359937,0.6227848101265823,0.018842732909411408,test-set oracle for sensitivity analysis only
banking77,0.80,euclidean,13,4,0.5584158415841584,0.42265426880811496,0.1357615727760434,test-set oracle for sensitivity analysis only
banking77,0.80,euclidean,42,5,0.6019656019656019,0.5498442367601246,0.05212136520547728,test-set oracle for sensitivity analysis only
banking77,0.80,euclidean,87,4,0.5652741514360314,0.5345911949685535,0.030682956467477984,test-set oracle for sensitivity analysis only
banking77,0.80,euclidean,100,5,0.5848241826033312,0.48264729620661817,0.10217688639671307,test-set oracle for sensitivity analysis only
banking77,0.80,euclidean,123,5,0.5673494723774053,0.47068676716917923,0.09666270520822606,test-set oracle for sensitivity analysis only
banking77,0.80,mahalanobis_diag,13,4,0.5610200364298725,0.5338403041825094,0.027179732247363142,test-set oracle for sensitivity analysis only
banking77,0.80,mahalanobis_diag,42,1,0.6026200873362445,0.6026200873362445,0.0,test-set oracle for sensitivity analysis only
banking77,0.80,mahalanobis_diag,87,1,0.5873715124816447,0.5873715124816447,0.0,test-set oracle for sensitivity analysis only
banking77,0.80,mahalanobis_diag,100,3,0.5770700636942675,0.5607755406413124,0.01629452305295509,test-set oracle for sensitivity analysis only
banking77,0.80,mahalanobis_diag,123,4,0.5738498789346248,0.5668934240362813,0.0069564548983435115,test-set oracle for sensitivity analysis only
banking77,0.90,euclidean,13,3,0.3913470993117011,0.31891223733003704,0.07243486198166404,test-set oracle for sensitivity analysis only
banking77,0.90,euclidean,42,2,0.4796905222437137,0.4519774011299435,0.027713121113770223,test-set oracle for sensitivity analysis only
banking77,0.90,euclidean,87,4,0.4092116917626218,0.3591549295774648,0.05005676218515698,test-set oracle for sensitivity analysis only
