dataset,f1_all,f1_k,false_accept_rate,false_reject_rate,kir,known_recall,method,oos_f1,seed,source
stackoverflow,0.7751838252001846,0.7808518501188826,0.347,0.16466666666666666,0.5,0.8353333333333334,s2c_k1_nearest_sphere,0.7185035760132037,13,validated_reused
stackoverflow,0.7262371149454886,0.7353399552966617,0.475,0.128,0.5,0.872,s2c_fixed_k2_nearest_sphere,0.6352087114337568,13,validated_reused
stackoverflow,0.7765962760577415,0.7722853602404582,0.193,0.162,0.5,0.838,s2c_k1_nearest_sphere,0.8197054342305738,42,validated_reused
stackoverflow,0.7217216672126026,0.7250606311147555,0.414,0.11666666666666667,0.5,0.8833333333333333,s2c_fixed_k2_nearest_sphere,0.6883320281910729,42,validated_reused
stackoverflow,0.8061479473885722,0.8087148148928659,0.25633333333333336,0.162,0.5,0.838,s2c_k1_nearest_sphere,0.7804792723456359,87,validated_reused
stackoverflow,0.7597736742675744,0.7666678860440121,0.406,0.12566666666666668,0.5,0.8743333333333333,s2c_fixed_k2_nearest_sphere,0.6908315565031983,87,validated_reused
stackoverflow,nan,nan,0.3516666666666667,0.16233333333333333,0.5,0.8376666666666667,random_balanced_k2_nearest_sphere,0.7161266568483063,13,validated_reused
stackoverflow,nan,nan,0.19133333333333333,0.16066666666666668,0.5,0.8393333333333333,random_balanced_k2_nearest_sphere,0.8212593094109681,42,validated_reused
stackoverflow,nan,nan,0.267,0.15466666666666667,0.5,0.8453333333333333,random_balanced_k2_nearest_sphere,0.776620165989758,87,validated_reused
stackoverflow,0.7765962760577415,0.7722853602404582,0.193,0.162,0.5,0.838,BRAK_known_only,0.8197054342305738,42,validated_reused
stackoverflow,0.8061479473885722,0.8087148148928659,0.25633333333333336,0.162,0.5,0.838,BRAK_known_only,0.7804792723456359,87,validated_reused
stackoverflow,nan,nan,nan,nan,0.5,nan,CCSG_k1_reused,0.48373833977299346,aggregate,validated_reused
stackoverflow,nan,nan,nan,nan,0.5,nan,CCSG_k2_reused,0.44766692672354563,aggregate,validated_reused
stackoverflow,nan,nan,nan,nan,0.5,nan,URCSG_primary_reused,0.7119386209015355,aggregate,validated_reused
stackoverflow,0.4585184886906548,0.4310773384240245,0.010666666666666666,0.7103333333333334,0.5,0.28966666666666663,MOGB-MiniLM-compatible-component-reference,0.7329299913569577,13,validated_reused
stackoverflow,0.44669996467555745,0.41820882953179705,0.008666666666666666,0.7186666666666667,0.5,0.2813333333333333,MOGB-MiniLM-compatible-component-reference,0.7316113161131611,42,validated_reused
stackoverflow,0.44919686800965214,0.42099378229003237,0.008333333333333333,0.7206666666666667,0.5,0.2793333333333333,MOGB-MiniLM-compatible-component-reference,0.7312277252058498,87,validated_reused
stackoverflow,0.7643342897722598,0.7903289196732733,0.636,0.07933333333333334,0.5,0.9206666666666666,RC-AMBL-KnownOnly,0.5043879907621247,13,new_run
stackoverflow,0.7643342897722598,0.7903289196732733,0.636,0.07933333333333334,0.5,0.9206666666666666,RC-AMBL-ProxyOOS,0.5043879907621247,13,new_run
stackoverflow,0.7773844941382805,0.7868967433893745,0.441,0.07966666666666666,0.5,0.9203333333333333,RC-AMBL-KnownOnly,0.6822620016273393,42,new_run
stackoverflow,0.7773844941382805,0.7868967433893745,0.441,0.07966666666666666,0.5,0.9203333333333333,RC-AMBL-ProxyOOS,0.6822620016273393,42,new_run
stackoverflow,0.7655656945088682,0.787249430288812,0.5936666666666667,0.07466666666666667,0.5,0.9253333333333333,RC-AMBL-KnownOnly,0.5487283367094306,87,new_run
stackoverflow,0.7655656945088682,0.787249430288812,0.5936666666666667,0.07466666666666667,0.5,0.9253333333333333,RC-AMBL-ProxyOOS,0.5487283367094306,87,new_run
