accepted_splits,candidate_splits,intent,k_y,method,reject_reasons,rejected_splits,seed
0,0,ajax,1,RC-AMBL-KnownOnly,,0,13
0,0,apache,1,RC-AMBL-KnownOnly,,0,13
0,0,excel,1,RC-AMBL-KnownOnly,,0,13
0,0,hibernate,1,RC-AMBL-KnownOnly,,0,13
0,0,linq,1,RC-AMBL-KnownOnly,,0,13
0,0,oracle,1,RC-AMBL-KnownOnly,,0,13
0,0,osx,1,RC-AMBL-KnownOnly,,0,13
0,0,qt,1,RC-AMBL-KnownOnly,,0,13
0,0,scala,1,RC-AMBL-KnownOnly,,0,13
0,1,sharepoint,1,RC-AMBL-KnownOnly,safety_gate_failed,1,13
0,0,ajax,1,RC-AMBL-ProxyOOS,,0,13
0,0,apache,1,RC-AMBL-ProxyOOS,,0,13
0,0,excel,1,RC-AMBL-ProxyOOS,,0,13
0,0,hibernate,1,RC-AMBL-ProxyOOS,,0,13
0,0,linq,1,RC-AMBL-ProxyOOS,,0,13
0,0,oracle,1,RC-AMBL-ProxyOOS,,0,13
0,0,osx,1,RC-AMBL-ProxyOOS,,0,13
0,0,qt,1,RC-AMBL-ProxyOOS,,0,13
0,0,scala,1,RC-AMBL-ProxyOOS,,0,13
0,1,sharepoint,1,RC-AMBL-ProxyOOS,safety_gate_failed,1,13
0,0,ajax,1,RC-AMBL-KnownOnly,,0,42
0,0,apache,1,RC-AMBL-KnownOnly,,0,42
0,0,cocoa,1,RC-AMBL-KnownOnly,,0,42
0,0,excel,1,RC-AMBL-KnownOnly,,0,42
0,0,linq,1,RC-AMBL-KnownOnly,,0,42
0,0,oracle,1,RC-AMBL-KnownOnly,,0,42
0,1,sharepoint,1,RC-AMBL-KnownOnly,safety_gate_failed,1,42
0,0,spring,1,RC-AMBL-KnownOnly,,0,42
0,0,svn,1,RC-AMBL-KnownOnly,,0,42
0,0,visual-studio,1,RC-AMBL-KnownOnly,,0,42
0,0,ajax,1,RC-AMBL-ProxyOOS,,0,42
0,0,apache,1,RC-AMBL-ProxyOOS,,0,42
0,0,cocoa,1,RC-AMBL-ProxyOOS,,0,42
0,0,excel,1,RC-AMBL-ProxyOOS,,0,42
0,0,linq,1,RC-AMBL-ProxyOOS,,0,42
0,0,oracle,1,RC-AMBL-ProxyOOS,,0,42
0,1,sharepoint,1,RC-AMBL-ProxyOOS,safety_gate_failed,1,42
0,0,spring,1,RC-AMBL-ProxyOOS,,0,42
0,0,svn,1,RC-AMBL-ProxyOOS,,0,42
0,0,visual-studio,1,RC-AMBL-ProxyOOS,,0,42
0,0,apache,1,RC-AMBL-KnownOnly,,0,87
0,0,bash,1,RC-AMBL-KnownOnly,,0,87
0,1,drupal,1,RC-AMBL-KnownOnly,safety_gate_failed,1,87
0,0,excel,1,RC-AMBL-KnownOnly,,0,87
0,0,hibernate,1,RC-AMBL-KnownOnly,,0,87
0,0,linq,1,RC-AMBL-KnownOnly,,0,87
0,0,oracle,1,RC-AMBL-KnownOnly,,0,87
0,0,osx,1,RC-AMBL-KnownOnly,,0,87
0,0,scala,1,RC-AMBL-KnownOnly,,0,87
0,0,svn,1,RC-AMBL-KnownOnly,,0,87
0,0,apache,1,RC-AMBL-ProxyOOS,,0,87
0,0,bash,1,RC-AMBL-ProxyOOS,,0,87
0,1,drupal,1,RC-AMBL-ProxyOOS,safety_gate_failed,1,87
0,0,excel,1,RC-AMBL-ProxyOOS,,0,87
0,0,hibernate,1,RC-AMBL-ProxyOOS,,0,87
0,0,linq,1,RC-AMBL-ProxyOOS,,0,87
0,0,oracle,1,RC-AMBL-ProxyOOS,,0,87
0,0,osx,1,RC-AMBL-ProxyOOS,,0,87
0,0,scala,1,RC-AMBL-ProxyOOS,,0,87
0,0,svn,1,RC-AMBL-ProxyOOS,,0,87
