intent,k_y,mean_radius,mean_stability,method,sample_count,seed
ajax,1,21.73229051614156,1.0,RC-AMBL-KnownOnly,600,13
apache,1,21.118752122877957,1.0,RC-AMBL-KnownOnly,600,13
excel,1,21.014583550913667,1.0,RC-AMBL-KnownOnly,600,13
hibernate,1,21.803251791256628,1.0,RC-AMBL-KnownOnly,600,13
linq,1,22.366547809656208,1.0,RC-AMBL-KnownOnly,600,13
oracle,1,21.130538974188003,1.0,RC-AMBL-KnownOnly,600,13
osx,1,20.799757935993824,1.0,RC-AMBL-KnownOnly,600,13
qt,1,21.732983237108918,1.0,RC-AMBL-KnownOnly,600,13
scala,1,21.96980258326862,1.0,RC-AMBL-KnownOnly,600,13
sharepoint,1,20.02411955583332,1.0,RC-AMBL-KnownOnly,600,13
ajax,1,21.73229051614156,1.0,RC-AMBL-ProxyOOS,600,13
apache,1,21.118752122877957,1.0,RC-AMBL-ProxyOOS,600,13
excel,1,21.014583550913667,1.0,RC-AMBL-ProxyOOS,600,13
hibernate,1,21.803251791256628,1.0,RC-AMBL-ProxyOOS,600,13
linq,1,22.366547809656208,1.0,RC-AMBL-ProxyOOS,600,13
oracle,1,21.130538974188003,1.0,RC-AMBL-ProxyOOS,600,13
osx,1,20.799757935993824,1.0,RC-AMBL-ProxyOOS,600,13
qt,1,21.732983237108918,1.0,RC-AMBL-ProxyOOS,600,13
scala,1,21.96980258326862,1.0,RC-AMBL-ProxyOOS,600,13
sharepoint,1,20.02411955583332,1.0,RC-AMBL-ProxyOOS,600,13
ajax,1,21.73229051614156,1.0,RC-AMBL-KnownOnly,600,42
apache,1,21.118752122877957,1.0,RC-AMBL-KnownOnly,600,42
cocoa,1,21.17484507661873,1.0,RC-AMBL-KnownOnly,600,42
excel,1,21.014583550913667,1.0,RC-AMBL-KnownOnly,600,42
linq,1,22.366547809656208,1.0,RC-AMBL-KnownOnly,600,42
oracle,1,21.130538974188003,1.0,RC-AMBL-KnownOnly,600,42
sharepoint,1,20.02411955583332,1.0,RC-AMBL-KnownOnly,600,42
spring,1,21.40380290941672,1.0,RC-AMBL-KnownOnly,600,42
svn,1,21.779194683784812,1.0,RC-AMBL-KnownOnly,600,42
visual-studio,1,21.209986356912005,1.0,RC-AMBL-KnownOnly,600,42
ajax,1,21.73229051614156,1.0,RC-AMBL-ProxyOOS,600,42
apache,1,21.118752122877957,1.0,RC-AMBL-ProxyOOS,600,42
cocoa,1,21.17484507661873,1.0,RC-AMBL-ProxyOOS,600,42
excel,1,21.014583550913667,1.0,RC-AMBL-ProxyOOS,600,42
linq,1,22.366547809656208,1.0,RC-AMBL-ProxyOOS,600,42
oracle,1,21.130538974188003,1.0,RC-AMBL-ProxyOOS,600,42
sharepoint,1,20.02411955583332,1.0,RC-AMBL-ProxyOOS,600,42
spring,1,21.40380290941672,1.0,RC-AMBL-ProxyOOS,600,42
svn,1,21.779194683784812,1.0,RC-AMBL-ProxyOOS,600,42
visual-studio,1,21.209986356912005,1.0,RC-AMBL-ProxyOOS,600,42
apache,1,21.118752122877957,1.0,RC-AMBL-KnownOnly,600,87
bash,1,21.175328563293096,1.0,RC-AMBL-KnownOnly,600,87
drupal,1,20.188033670903287,1.0,RC-AMBL-KnownOnly,600,87
excel,1,21.014583550913667,1.0,RC-AMBL-KnownOnly,600,87
hibernate,1,21.803251791256628,1.0,RC-AMBL-KnownOnly,600,87
linq,1,22.366547809656208,1.0,RC-AMBL-KnownOnly,600,87
oracle,1,21.130538974188003,1.0,RC-AMBL-KnownOnly,600,87
osx,1,20.799757935993824,1.0,RC-AMBL-KnownOnly,600,87
scala,1,21.96980258326862,1.0,RC-AMBL-KnownOnly,600,87
svn,1,21.779194683784812,1.0,RC-AMBL-KnownOnly,600,87
apache,1,21.118752122877957,1.0,RC-AMBL-ProxyOOS,600,87
bash,1,21.175328563293096,1.0,RC-AMBL-ProxyOOS,600,87
drupal,1,20.188033670903287,1.0,RC-AMBL-ProxyOOS,600,87
excel,1,21.014583550913667,1.0,RC-AMBL-ProxyOOS,600,87
hibernate,1,21.803251791256628,1.0,RC-AMBL-ProxyOOS,600,87
linq,1,22.366547809656208,1.0,RC-AMBL-ProxyOOS,600,87
oracle,1,21.130538974188003,1.0,RC-AMBL-ProxyOOS,600,87
osx,1,20.799757935993824,1.0,RC-AMBL-ProxyOOS,600,87
scala,1,21.96980258326862,1.0,RC-AMBL-ProxyOOS,600,87
svn,1,21.779194683784812,1.0,RC-AMBL-ProxyOOS,600,87
