cluster_id,intent,k,radius,sample_count
0,Refund_not_showing_up,1,22.69493664107062,146
1,apple_pay_or_google_pay,1,22.71189808153525,113
2,atm_support,1,22.578777404100183,78
3,beneficiary_not_allowed,1,22.398367651884406,140
4,cancel_transfer,1,22.697447987424937,141
5,card_about_to_expire,1,22.62222013026679,116
6,card_delivery_estimate,1,22.507812919213396,101
7,card_linking,1,22.035359452036012,125
8,card_payment_not_recognised,1,22.78946960990389,151
9,cash_withdrawal_charge,1,22.46839996048946,159
10,compromised_card,1,22.567706745387575,77
11,declined_cash_withdrawal,1,22.44149005001531,156
12,direct_debit_payment_not_recognised,1,23.08856095462654,164
13,disposable_card_limits,1,22.932437698959284,109
14,edit_personal_details,1,22.124882253061713,109
15,exchange_rate,1,23.83996279070628,101
16,failed_transfer,1,23.40165905771632,123
17,fiat_currency_support,1,22.230716532027863,113
18,get_disposable_virtual_card,1,23.447475178883376,87
19,getting_virtual_card,1,22.95262819096731,88
20,lost_or_stolen_phone,1,22.640386050806608,109
21,order_physical_card,1,22.381478224627433,108
22,pending_cash_withdrawal,1,23.573784299813823,129
23,pending_transfer,1,23.275029551694107,133
24,receiving_money,1,21.323579928891412,86
25,top_up_by_bank_transfer_charge,1,21.873680812719932,100
26,top_up_by_card_charge,1,22.527765177608135,103
27,top_up_failed,1,22.709908148582947,130
28,topping_up_by_card,1,21.946821006497466,93
29,transfer_into_account,1,23.281332050272802,102
30,transfer_timing,1,22.244291930403232,115
31,unable_to_verify_identity,1,23.214948980915814,92
32,verify_my_identity,1,24.09732904268357,94
33,verify_source_of_funds,1,23.542218164079827,102
34,verify_top_up,1,22.61486606645414,113
35,visa_or_mastercard,1,23.391554425262807,121
36,wrong_amount_of_cash_received,1,22.20459256412178,162
37,wrong_exchange_rate_for_cash_withdrawal,1,23.1156533290706,147
0,Refund_not_showing_up,2,24.1698509159906,38
1,Refund_not_showing_up,2,22.568476036423213,108
2,apple_pay_or_google_pay,2,24.18307161961976,50
3,apple_pay_or_google_pay,2,22.6896277105249,63
4,atm_support,2,25.30356192313546,19
5,atm_support,2,23.247764486196974,59
6,beneficiary_not_allowed,2,22.669104601068145,63
7,beneficiary_not_allowed,2,22.934764978614012,77
8,cancel_transfer,2,22.899113427611095,100
9,cancel_transfer,2,21.879925064403402,41
10,card_about_to_expire,2,22.602639536879103,92
11,card_about_to_expire,2,24.326846421484227,24
12,card_delivery_estimate,2,23.33582889911596,39
13,card_delivery_estimate,2,23.030645213834774,62
14,card_linking,2,22.527914604747757,72
15,card_linking,2,22.31723551489675,53
16,card_payment_not_recognised,2,22.30753481408454,42
17,card_payment_not_recognised,2,22.65870399272696,109
18,cash_withdrawal_charge,2,23.362606902869814,48
19,cash_withdrawal_charge,2,22.92880658865774,111
20,compromised_card,2,21.429656351426146,26
21,compromised_card,2,22.749465510147107,51
22,declined_cash_withdrawal,2,22.5661054937555,56
23,declined_cash_withdrawal,2,22.832214114961097,100
24,direct_debit_payment_not_recognised,2,21.67935059447548,49
25,direct_debit_payment_not_recognised,2,22.181679689965723,115
26,disposable_card_limits,2,24.44966996813944,23
27,disposable_card_limits,2,22.489736085472437,86
28,edit_personal_details,2,23.8731917622004,31
29,edit_personal_details,2,22.555769558801796,78
30,exchange_rate,2,24.01782411954253,62
31,exchange_rate,2,24.322391001093827,39
32,failed_transfer,2,22.25392706670155,41
33,failed_transfer,2,23.10199643115711,82
34,fiat_currency_support,2,22.25134574378486,93
35,fiat_currency_support,2,23.289524782573277,20
36,get_disposable_virtual_card,2,24.792951416196445,26
37,get_disposable_virtual_card,2,24.018202356001105,61
38,getting_virtual_card,2,23.195352260946592,17
39,getting_virtual_card,2,23.247518562492775,71
40,lost_or_stolen_phone,2,23.66670296399518,48
41,lost_or_stolen_phone,2,21.82758129725248,61
42,order_physical_card,2,23.490111398205727,37
43,order_physical_card,2,22.62287554122262,71
44,pending_cash_withdrawal,2,22.749661087109395,57
45,pending_cash_withdrawal,2,24.093842838508074,72
46,pending_transfer,2,22.21498211274207,57
47,pending_transfer,2,24.102014761367478,76
48,receiving_money,2,23.414541532764535,29
49,receiving_money,2,22.224349461188513,57
50,top_up_by_bank_transfer_charge,2,21.794839973903187,40
51,top_up_by_bank_transfer_charge,2,21.348328072488695,60
52,top_up_by_card_charge,2,24.995075572725824,31
53,top_up_by_card_charge,2,22.44116093440592,72
54,top_up_failed,2,23.473792281443043,77
55,top_up_failed,2,23.329774718464854,53
56,topping_up_by_card,2,24.338594784783332,19
57,topping_up_by_card,2,22.30332781515572,74
58,transfer_into_account,2,23.782529208262613,23
59,transfer_into_account,2,23.14848276031595,79
60,transfer_timing,2,22.33694797015079,87
61,transfer_timing,2,24.96756313061469,28
62,unable_to_verify_identity,2,23.500555984797465,74
63,unable_to_verify_identity,2,22.069950243140152,18
64,verify_my_identity,2,25.44687074627553,38
65,verify_my_identity,2,23.63409572213068,56
66,verify_source_of_funds,2,22.59361333497473,66
67,verify_source_of_funds,2,23.588197235986456,36
68,verify_top_up,2,23.629556023661557,68
69,verify_top_up,2,23.4081222908845,45
70,visa_or_mastercard,2,23.55855020784565,23
71,visa_or_mastercard,2,23.59810446264712,98
72,wrong_amount_of_cash_received,2,22.30781334119044,84
73,wrong_amount_of_cash_received,2,22.123261772478475,78
74,wrong_exchange_rate_for_cash_withdrawal,2,23.07389250913441,117
75,wrong_exchange_rate_for_cash_withdrawal,2,21.719942289747234,30
0,Refund_not_showing_up,1,22.69493664107062,146
1,atm_support,1,22.578777404100183,78
2,automatic_top_up,1,23.45952251410634,114
3,balance_not_updated_after_cheque_or_cash_deposit,1,22.207100239765683,163
4,cancel_transfer,1,22.697447987424937,141
5,card_about_to_expire,1,22.62222013026679,116
6,card_arrival,1,22.46070145794018,138
7,card_delivery_estimate,1,22.507812919213396,101
8,card_payment_fee_charged,1,23.647289670149238,168
9,card_payment_wrong_exchange_rate,1,23.411410457354084,150
10,card_swallowed,1,23.09143339312922,55
11,change_pin,1,22.947963111720313,110
12,country_support,1,22.430301437196547,116
13,declined_transfer,1,23.95467224072983,120
14,disposable_card_limits,1,22.932437698959284,109
15,edit_personal_details,1,22.124882253061713,109
16,exchange_rate,1,23.83996279070628,101
17,exchange_via_app,1,22.569799544396684,106
18,extra_charge_on_statement,1,22.20132512881476,149
19,get_physical_card,1,23.04794231623372,96
20,getting_spare_card,1,21.54474761315442,116
21,lost_or_stolen_card,1,23.329779523849925,74
22,order_physical_card,1,22.381478224627433,108
23,passcode_forgotten,1,23.187506105942788,95
24,pending_cash_withdrawal,1,23.573784299813823,129
25,pending_transfer,1,23.275029551694107,133
26,pin_blocked,1,22.74648898010138,104
27,reverted_card_payment?,1,22.56435630562466,145
28,supported_cards_and_currencies,1,21.46434727154521,116
29,top_up_by_cash_or_cheque,1,22.733962319783988,103
30,topping_up_by_card,1,21.946821006497466,93
31,transfer_fee_charged,1,23.422940268403337,155
32,transfer_into_account,1,23.281332050272802,102
33,transfer_not_received_by_recipient,1,21.799594634542334,154
34,unable_to_verify_identity,1,23.214948980915814,92
35,visa_or_mastercard,1,23.391554425262807,121
36,why_verify_identity,1,23.647268969170415,109
37,wrong_exchange_rate_for_cash_withdrawal,1,23.1156533290706,147
0,Refund_not_showing_up,2,24.1698509159906,38
1,Refund_not_showing_up,2,22.568476036423213,108
2,atm_support,2,25.30356192313546,19
3,atm_support,2,23.247764486196974,59
4,automatic_top_up,2,24.376984752157167,20
5,automatic_top_up,2,23.7875690656398,94
6,balance_not_updated_after_cheque_or_cash_deposit,2,22.982765538272133,91
7,balance_not_updated_after_cheque_or_cash_deposit,2,22.029134685956546,72
8,cancel_transfer,2,22.899113427611095,100
9,cancel_transfer,2,21.879925064403402,41
10,card_about_to_expire,2,24.326846421484227,24
11,card_about_to_expire,2,22.602639536879103,92
12,card_arrival,2,22.994021357079113,97
13,card_arrival,2,24.03711471333687,41
14,card_delivery_estimate,2,23.030645213834774,62
15,card_delivery_estimate,2,23.33582889911596,39
16,card_payment_fee_charged,2,23.038849147626205,121
17,card_payment_fee_charged,2,21.903595884917536,47
18,card_payment_wrong_exchange_rate,2,22.8840627562122,40
19,card_payment_wrong_exchange_rate,2,23.285654720908493,110
20,card_swallowed,2,22.383499905281194,46
21,card_swallowed,2,22.348546857162038,9
22,change_pin,2,22.25302815703657,60
23,change_pin,2,24.353276594684026,50
24,country_support,2,22.594810808885583,66
25,country_support,2,22.96487473550789,50
26,declined_transfer,2,22.815931091208206,29
27,declined_transfer,2,23.631573015448804,91
28,disposable_card_limits,2,24.44966996813944,23
29,disposable_card_limits,2,22.489736085472437,86
30,edit_personal_details,2,22.555769558801796,78
31,edit_personal_details,2,23.8731917622004,31
32,exchange_rate,2,24.453500553083114,35
33,exchange_rate,2,23.91860897952807,66
34,exchange_via_app,2,22.738309584048842,87
35,exchange_via_app,2,23.249688046489098,19
36,extra_charge_on_statement,2,21.961856986348973,84
37,extra_charge_on_statement,2,23.358651727530777,65
38,get_physical_card,2,23.282233509144778,60
39,get_physical_card,2,23.49777979305557,36
40,getting_spare_card,2,22.127542595575783,59
41,getting_spare_card,2,21.7126561853725,57
42,lost_or_stolen_card,2,23.926007511608663,38
43,lost_or_stolen_card,2,23.93033593669128,36
44,order_physical_card,2,22.648560861417995,70
45,order_physical_card,2,23.51026174391379,38
