stage,protocol_version,dataset,dataset_version,kir,seed,representation,distance,boundary,radius_method,threshold,radius_lambda,paper_default_lambda,k_label,k_gate,source_k,alias_of,known_only_selected_lambda,known_only_selection_constraint_met,calibration_false_reject_rate,calibration_selected_false_reject_rate,calibration_known_count,test_count,oos_precision,oos_recall,oos_f1,id_recall,oos_rejection,auroc,aupr_oos,fpr95,false_accept_rate,false_reject_rate,known_recall,f1_all,f1_k,f1_u,accuracy,known_macro_f1,effective_cluster_count,minimum_cluster_size,e2_lambda1_max_abs_delta,e2_lambda1_prediction_mismatch,selection_data,test_used_for_selection,run_id
lambda_leakage_audit_v1,protocol_v2_textoir_v1,clinc150,protocol_v2_textoir_v1,0.5,13,frozen_minilm,mahalanobis_diag,mean_std,mean_std,1.0,2.0,0.5,k_1,1,1,,2.0,False,0.092,0.092,1500,5700,0.9378311550688804,0.7695652173913043,0.8454067823594968,0.9217777777777778,0.7695652173913043,0.9268383896940418,0.936036791073825,0.2826666666666667,0.2304347826086956,0.0782222222222222,0.9217777777777778,0.7981230502759855,0.797492600514872,0.8454067823594968,0.8075438596491228,0.8983812285842157,75,100,,,known_calibration_only_for_diagnostic_selection; main sweep does not select lambda,False,lambda_leakage_audit_v1__clinc150__kir_0.50__seed_13__k_1__lambda_2.00
lambda_leakage_audit_v1,protocol_v2_textoir_v1,clinc150,protocol_v2_textoir_v1,0.5,13,frozen_minilm,mahalanobis_diag,mean_std,mean_std,1.0,2.0,0.5,k_2,2,2,,2.0,False,0.1333333333333333,0.1333333333333333,1500,5700,0.9183215887251762,0.8310144927536232,0.8724893487522825,0.8866666666666667,0.8310144927536232,0.930003607085346,0.947284566405524,0.2924444444444444,0.1689855072463768,0.1133333333333333,0.8866666666666667,0.8063634223305067,0.8054817433115496,0.8724893487522825,0.8333333333333334,0.8842216316056039,150,16,,,known_calibration_only_for_diagnostic_selection; main sweep does not select lambda,False,lambda_leakage_audit_v1__clinc150__kir_0.50__seed_13__k_2__lambda_2.00
lambda_leakage_audit_v1,protocol_v2_textoir_v1,clinc150,protocol_v2_textoir_v1,0.5,42,frozen_minilm,mahalanobis_diag,mean_std,mean_std,1.0,2.0,0.5,k_1,1,1,,2.0,False,0.096,0.096,1500,5700,0.9265143992055612,0.811304347826087,0.8650904033379694,0.9013333333333332,0.811304347826087,0.924551497584541,0.9385024005614716,0.3333333333333333,0.188695652173913,0.0986666666666666,0.9013333333333332,0.8026208346044627,0.8017879070213493,0.8650904033379694,0.8250877192982456,0.8871040835757015,75,100,,,known_calibration_only_for_diagnostic_selection; main sweep does not select lambda,False,lambda_leakage_audit_v1__clinc150__kir_0.50__seed_42__k_1__lambda_2.00
lambda_leakage_audit_v1,protocol_v2_textoir_v1,clinc150,protocol_v2_textoir_v1,0.5,42,frozen_minilm,mahalanobis_diag,mean_std,mean_std,1.0,2.0,0.5,k_2,2,2,,2.0,False,0.118,0.118,1500,5700,0.914561895852822,0.8501449275362318,0.8811777076761304,0.8782222222222222,0.8501449275362318,0.9301064090177134,0.9422959203882096,0.2648888888888889,0.1498550724637681,0.1217777777777777,0.8782222222222222,0.7981148520736574,0.7970073473322911,0.8811777076761304,0.8368421052631579,0.8675244668172231,150,13,,,known_calibration_only_for_diagnostic_selection; main sweep does not select lambda,False,lambda_leakage_audit_v1__clinc150__kir_0.50__seed_42__k_2__lambda_2.00
lambda_leakage_audit_v1,protocol_v2_textoir_v1,clinc150,protocol_v2_textoir_v1,0.5,87,frozen_minilm,mahalanobis_diag,mean_std,mean_std,1.0,2.0,0.5,k_1,1,1,,2.0,False,0.0833333333333333,0.0833333333333333,1500,5700,0.9350828729281768,0.784927536231884,0.8534509927513394,0.9164444444444444,0.784927536231884,0.9275015780998388,0.9365079517825944,0.2911111111111111,0.2150724637681159,0.0835555555555555,0.9164444444444444,0.8008713588990974,0.8001702971144008,0.8534509927513394,0.8124561403508772,0.8898471137883274,75,100,,,known_calibration_only_for_diagnostic_selection; main sweep does not select lambda,False,lambda_leakage_audit_v1__clinc150__kir_0.50__seed_87__k_1__lambda_2.00
lambda_leakage_audit_v1,protocol_v2_textoir_v1,clinc150,protocol_v2_textoir_v1,0.5,87,frozen_minilm,mahalanobis_diag,mean_std,mean_std,1.0,2.0,0.5,k_2,2,2,,2.0,False,0.1066666666666666,0.1066666666666666,1500,5700,0.91437802907916,0.8202898550724638,0.8647822765469825,0.8822222222222222,0.8202898550724638,0.9252436714975844,0.932902592290656,0.2413333333333333,0.1797101449275362,0.1177777777777777,0.8822222222222222,0.800086826422981,0.7992242204213276,0.8647822765469825,0.8201754385964912,0.8695520344131772,150,10,,,known_calibration_only_for_diagnostic_selection; main sweep does not select lambda,False,lambda_leakage_audit_v1__clinc150__kir_0.50__seed_87__k_2__lambda_2.00
lambda_leakage_audit_v1,protocol_v2_textoir_v1,banking77,protocol_v2_textoir_v1,0.5,13,frozen_minilm,mahalanobis_diag,mean_std,mean_std,1.0,2.0,1.0,k_1,1,1,,2.0,True,0.0465587044534413,0.0465587044534413,494,3080,0.8929159802306426,0.3474358974358974,0.5002307337332718,0.9572368421052632,0.3474358974358974,0.8666974527665318,0.848988787230343,0.4710526315789474,0.6525641025641026,0.0427631578947368,0.9572368421052632,0.7130752995239084,0.7186764723078725,0.5002307337332718,0.6116883116883117,0.90111417363834,38,77,,,known_calibration_only_for_diagnostic_selection; main sweep does not select lambda,False,lambda_leakage_audit_v1__banking77__kir_0.50__seed_13__k_1__lambda_2.00
lambda_leakage_audit_v1,protocol_v2_textoir_v1,banking77,protocol_v2_textoir_v1,0.5,13,frozen_minilm,mahalanobis_diag,mean_std,mean_std,1.0,2.0,1.0,k_2,2,2,,2.0,False,0.0607287449392712,0.0607287449392712,494,3080,0.884016973125884,0.4006410256410256,0.5513895015438907,0.9460526315789474,0.4006410256410256,0.8724152327935225,0.8480043989461931,0.4217105263157895,0.5993589743589743,0.0539473684210526,0.9460526315789474,0.7293122834544725,0.7339944619258036,0.5513895015438907,0.6301948051948052,0.8901949560869382,76,17,,,known_calibration_only_for_diagnostic_selection; main sweep does not select lambda,False,lambda_leakage_audit_v1__banking77__kir_0.50__seed_13__k_2__lambda_2.00
lambda_leakage_audit_v1,protocol_v2_textoir_v1,banking77,protocol_v2_textoir_v1,0.5,42,frozen_minilm,mahalanobis_diag,mean_std,mean_std,1.0,2.0,1.0,k_1,1,1,,2.0,True,0.0343434343434343,0.0343434343434343,495,3080,0.8841201716738197,0.3961538461538461,0.547144754316069,0.9467105263157894,0.3961538461538461,0.8772376855600539,0.853409563148759,0.4046052631578947,0.6038461538461538,0.0532894736842105,0.9467105263157894,0.7399009097014675,0.7449734401063464,0.547144754316069,0.6311688311688312,0.8974708360664854,38,55,,,known_calibration_only_for_diagnostic_selection; main sweep does not select lambda,False,lambda_leakage_audit_v1__banking77__kir_0.50__seed_42__k_1__lambda_2.00
lambda_leakage_audit_v1,protocol_v2_textoir_v1,banking77,protocol_v2_textoir_v1,0.5,42,frozen_minilm,mahalanobis_diag,mean_std,mean_std,1.0,2.0,1.0,k_2,2,2,,2.0,False,0.0585858585858585,0.0585858585858585,495,3080,0.8942731277533039,0.3903846153846154,0.5435073627844712,0.9526315789473684,0.3903846153846154,0.8787124662618083,0.8482317693538265,0.3717105263157895,0.6096153846153847,0.0473684210526315,0.9526315789473684,0.7325504752016128,0.7375252939494323,0.5435073627844712,0.6269480519480519,0.8925159902130279,76,9,,,known_calibration_only_for_diagnostic_selection; main sweep does not select lambda,False,lambda_leakage_audit_v1__banking77__kir_0.50__seed_42__k_2__lambda_2.00
