dataset,seed,radius_lambda,delta_oos_f1_k2_minus_k1,delta_oos_precision_k2_minus_k1,delta_oos_recall_k2_minus_k1,delta_f1_all_k2_minus_k1,delta_f1_k_k2_minus_k1,delta_f1_u_k2_minus_k1,delta_accuracy_k2_minus_k1,delta_known_macro_f1_k2_minus_k1,delta_known_recall_k2_minus_k1,delta_false_accept_rate_k2_minus_k1,delta_false_reject_rate_k2_minus_k1,delta_auroc_k2_minus_k1,delta_aupr_oos_k2_minus_k1
clinc150,13,0.0,-0.01168484848484852,-0.018067067736185383,0.001159420289855162,-0.052028440517940644,-0.05256635507838192,-0.01168484848484852,-0.019649122807017583,-0.05414830666151482,-0.05377777777777776,-0.001159420289854999,0.0537777777777777,0.00254132045088562,0.012462994692552187
clinc150,13,0.25,-0.01019191476543746,-0.018126472300878937,0.003768115942028971,-0.040534345272996486,-0.04093891101309732,-0.01019191476543746,-0.015964912280701737,-0.0437273606782711,-0.05022222222222228,-0.003768115942028999,0.05022222222222228,0.0029775201288243514,0.012313865943332392
clinc150,13,0.5,-0.009218126042307317,-0.01971478629663903,0.007246376811594346,-0.03328740504122618,-0.03360832876121178,-0.009218126042307317,-0.013859649122807016,-0.03864408756271431,-0.05111111111111111,-0.007246376811594197,0.05111111111111111,0.003372367149757971,0.012275103053261627
clinc150,13,0.75,-0.012568978840633016,-0.026026030131682698,0.006376811594203002,-0.03252689841285328,-0.03279300400714957,-0.012568978840633016,-0.016491228070175445,-0.03718242568049568,-0.05999999999999994,-0.006376811594202905,0.06,0.0037547181964572296,0.01234171151199892
clinc150,13,1.0,-0.0073320263616961645,-0.023221892306158343,0.012463768115941964,-0.0229388882348891,-0.02314697972653179,-0.0073320263616961645,-0.01070175438596499,-0.03121368555147319,-0.05022222222222228,-0.012463768115941999,0.05022222222222231,0.003933140096618604,0.012231795233640819
clinc150,13,1.25,0.0029738131213489227,-0.02155842602559499,0.029855072463768395,-0.009254207415910876,-0.00941724768974106,0.0029738131213489227,0.001228070175438578,-0.02623401734065811,-0.045777777777777806,-0.029855072463768104,0.04577777777777778,0.003953365539452691,0.012087182489735837
clinc150,13,1.5,0.005962936405500607,-0.023539596934430862,0.034782608695652306,-0.00704756826366304,-0.007221041659251859,0.005962936405500607,0.004210526315789442,-0.02516435023635588,-0.045777777777777806,-0.03478260869565221,0.045777777777777695,0.0037843478260868313,0.011887019629815199
clinc150,13,2.0,0.027082566392785612,-0.019509566343704154,0.06144927536231881,0.008240372054521217,0.007989142796677617,0.027082566392785612,0.025789473684210584,-0.0141595969786118,-0.03511111111111109,-0.06144927536231881,0.03511111111111109,0.0031652173913042647,0.011247775331699073
clinc150,42,0.0,-0.008135902544012197,-0.015647535789219513,0.006956521739130417,-0.04764555599958531,-0.04817235137899306,-0.008135902544012197,-0.015087719298245594,-0.05189720188181812,-0.05111111111111105,-0.0069565217391303995,0.05111111111111111,0.008591690821255993,0.005715148585023644
clinc150,42,0.25,-0.007853901025177024,-0.018851223673238326,0.011884057971014328,-0.053776024862882243,-0.054388319847385014,-0.007853901025177024,-0.015789473684210575,-0.060588547626153955,-0.058222222222222175,-0.011884057971014399,0.058222222222222175,0.008767278582930582,0.006329702900222389
