dataset,kir,seed,k,radius_lambda,distance,radius_method,threshold,calibration_known_recall,calibration_false_reject_rate,test_used_for_selection,oos_used_for_training,test_oos_precision,test_oos_recall,test_oos_f1,test_id_recall,test_oos_rejection,test_auroc,test_aupr_oos,test_fpr95,test_false_accept_rate,test_false_reject_rate,test_f1_all,test_f1_u,test_f1_k,test_accuracy,test_known_recall,known_only_selected_lambda,known_only_selection_constraint_met
banking77,0.5,13,1,0.5,mahalanobis_diag,mean_std,1.0,0.7044534412955465,0.2955465587044534,False,False,0.7576227390180879,0.9397435897435896,0.8389127324749642,0.6914473684210527,0.9397435897435896,0.9091059379217274,0.8971181275442448,0.3296052631578947,0.0602564102564102,0.3085526315789473,0.7759644200173901,0.8389127324749642,0.774307885479033,0.8113636363636364,0.6914473684210527,2.0,False
banking77,0.5,13,1,0.75,mahalanobis_diag,mean_std,1.0,0.7591093117408907,0.2408906882591093,False,False,0.7973048848961257,0.9102564102564102,0.8500448967375037,0.7625,0.9102564102564102,0.9103820850202428,0.898666355993997,0.3322368421052631,0.0897435897435897,0.2375,0.8096492177399783,0.8500448967375037,0.808586173555833,0.8308441558441558,0.7625,2.0,False
banking77,0.5,13,1,1.0,mahalanobis_diag,mean_std,1.0,0.8218623481781376,0.1781376518218623,False,False,0.8290282902829028,0.8641025641025641,0.8462021343377275,0.8171052631578948,0.8641025641025641,0.911104504048583,0.8997160473749267,0.325,0.1358974358974359,0.1828947368421052,0.8199086432567366,0.8462021343377275,0.819216709280921,0.8314935064935065,0.8171052631578948,2.0,False
banking77,0.5,13,1,1.25,mahalanobis_diag,mean_std,1.0,0.8643724696356275,0.1356275303643724,False,False,0.8650684931506849,0.8096153846153846,0.8364238410596027,0.8703947368421052,0.8096153846153846,0.9114595985155196,0.9003617825717058,0.3256578947368421,0.1903846153846153,0.1296052631578947,0.8267858737838407,0.8364238410596027,0.8265322430660575,0.8282467532467532,0.8703947368421052,2.0,False
banking77,0.5,13,1,1.5,mahalanobis_diag,mean_std,1.0,0.9048582995951416,0.0951417004048583,False,False,0.8850308641975309,0.7352564102564103,0.8032212885154062,0.9019736842105264,0.7352564102564103,0.9116303981106612,0.9007221283357336,0.3361842105263158,0.2647435897435897,0.0980263157894736,0.8156049428737778,0.8032212885154062,0.8159308285147876,0.8038961038961039,0.9019736842105264,2.0,False
banking77,0.5,13,1,2.0,mahalanobis_diag,mean_std,1.0,0.9473684210526316,0.0526315789473684,False,False,0.9124378109452737,0.5878205128205128,0.715009746588694,0.9421052631578948,0.5878205128205128,0.9110606443994602,0.900532880302349,0.3519736842105263,0.4121794871794871,0.0578947368421052,0.7865030143939687,0.715009746588694,0.7883844161783181,0.7451298701298701,0.9421052631578948,2.0,False
banking77,0.5,13,2,0.5,mahalanobis_diag,mean_std,1.0,0.6639676113360324,0.3360323886639676,False,False,0.7543500511770727,0.9448717948717948,0.8389299943084804,0.6842105263157895,0.9448717948717948,0.905126096491228,0.8933859406213208,0.331578947368421,0.0551282051282051,0.3157894736842105,0.7752728513311883,0.8389299943084804,0.7735976633581018,0.8113636363636364,0.6842105263157895,2.0,False
banking77,0.5,13,2,0.75,mahalanobis_diag,mean_std,1.0,0.7449392712550607,0.2550607287449393,False,False,0.7864238410596026,0.9134615384615384,0.8451957295373665,0.7453947368421052,0.9134615384615384,0.907244854925776,0.8963216280847202,0.3230263157894736,0.0865384615384615,0.2546052631578947,0.8016339279324364,0.8451957295373665,0.8004875647323066,0.8243506493506494,0.7453947368421052,2.0,False
banking77,0.5,13,2,1.0,mahalanobis_diag,mean_std,1.0,0.8016194331983806,0.1983805668016194,False,False,0.8178550029958058,0.875,0.8454629916382781,0.8,0.875,0.9088111504723348,0.8985000074289773,0.3157894736842105,0.125,0.2,0.8178098988811519,0.8454629916382781,0.8170821859138591,0.8305194805194805,0.8,2.0,False
banking77,0.5,13,2,1.25,mahalanobis_diag,mean_std,1.0,0.8522267206477733,0.1477732793522267,False,False,0.8441981747066493,0.8301282051282052,0.8371040723981901,0.8427631578947369,0.8301282051282052,0.9099468623481782,0.9001730014492879,0.3190789473684211,0.1698717948717948,0.1572368421052631,0.8222009592545996,0.8371040723981901,0.8218087720666103,0.826948051948052,0.8427631578947369,2.0,False
