dataset,kir,seed,intent,train_sample_count,k1_radius,k1_distance_variance,k2_cluster_count,k2_cluster_1_sample_count,k2_cluster_2_sample_count,k2_cluster_1_radius,k2_cluster_2_radius,k2_cluster_1_distance_variance,k2_cluster_2_distance_variance,bootstrap_ari_mean,silhouette,silhouette_reason,known_reject_count_k1,known_reject_count_k2,known_recall_delta,newly_accepted_oos_count,recovered_known_count,net_benefit_recovered_known_minus_new_oos
stackoverflow,0.5,13,ajax,600,23.631845248291008,21.145696784479252,2,155,445,21.911425119353897,22.28856347310577,6.16577183215631,8.609362095400233,0.9393148374034851,0.16478164084703698,defined,54,20,0.11333333333333333,135,34,-101
stackoverflow,0.5,13,apache,600,23.431038789376704,18.81303738579835,2,398,202,23.353033616909,23.918813616096813,17.94011773755866,24.93753673473192,0.9236781640573396,0.055270504911020465,defined,52,42,0.03333333333333333,0,13,13
stackoverflow,0.5,13,excel,600,23.211935690349755,16.46225750173522,2,452,148,22.333080270156277,24.225551168539315,8.911168307530076,29.195840633925148,0.8007009803620144,0.09867449392178569,defined,47,27,0.06666666666666667,0,22,22
stackoverflow,0.5,13,hibernate,600,24.590707919510077,35.29652694926131,2,513,87,22.51078457661937,22.25788176572844,10.319566028229108,8.334676875706224,0.9883711210055596,0.3016540514311264,defined,38,11,0.09,49,27,-22
stackoverflow,0.5,13,linq,600,24.450460144235755,32.90958405900547,2,518,82,22.38547168708473,22.08869501426557,9.375746135435362,7.228217166852411,0.9608977633134661,0.29300580986899744,defined,47,8,0.13,7,39,32
stackoverflow,0.5,13,oracle,600,23.691976467029377,21.900728318398656,2,460,140,22.041467789328888,22.112803093306365,7.011391088741426,7.37957804536698,0.9840676570520795,0.19334814930000047,defined,57,12,0.15,22,45,23
stackoverflow,0.5,13,osx,600,23.042604944421534,14.736782651288449,2,419,181,22.00523207365591,21.60956219986374,6.754580493320465,4.577881829698745,0.8991215691685934,0.11747870639772721,defined,49,17,0.10666666666666667,414,32,-382
stackoverflow,0.5,13,qt,600,24.47415942481061,33.289759465869764,2,550,50,22.617736091363447,21.12808075997424,11.126583775946647,2.5828285515404095,0.9926726997156766,0.36097843060252643,defined,23,6,0.056666666666666664,106,17,-89
stackoverflow,0.5,13,scala,600,24.667940743227867,36.58948065309687,2,482,118,22.224368643006596,21.38389273443761,8.232930684771418,3.5677787786441466,0.9984617776356961,0.28661136971476664,defined,58,20,0.12666666666666668,208,38,-170
stackoverflow,0.5,13,sharepoint,600,22.867404638381153,13.112874916972427,2,398,202,21.986599874528395,21.69398350162915,6.639453260038002,4.997453915869127,0.9128587784469981,0.11040873326454345,defined,47,16,0.10333333333333333,228,31,-197
stackoverflow,0.5,42,ajax,600,23.483571961143628,19.39982170146945,2,152,448,21.939942542647366,22.244942926568196,6.3321660205908925,8.316714437651958,0.9753233098927827,0.1591130396917774,defined,56,21,0.11666666666666667,98,35,-63
stackoverflow,0.5,42,apache,600,23.286038145377688,17.225233830623612,2,389,211,23.130801103107416,23.88954794539279,15.621573703939909,24.50777602304815,0.9012955716701441,0.05370962442134688,defined,50,40,0.03333333333333333,0,14,14
stackoverflow,0.5,42,cocoa,600,22.962928648006937,13.985195340745022,2,213,387,21.4396156380342,22.017025058111283,3.8031039038765146,6.831192929639498,0.9819760885445048,0.11722890986156467,defined,65,29,0.12,269,36,-233
stackoverflow,0.5,42,excel,600,23.426505732737095,18.782639120675796,2,246,354,23.467813543063805,23.383791979522645,19.24851919378125,18.330822373735757,0.4151131406211145,0.055525513673577824,defined,43,28,0.05,0,18,18
stackoverflow,0.5,42,linq,600,24.296601650371176,30.44933584345097,2,527,73,22.38766444894827,21.995547284353112,9.385091785454156,6.662852014831098,0.9305602702306551,0.29378595137466534,defined,44,6,0.12666666666666668,9,38,29
stackoverflow,0.5,42,oracle,600,23.640327380366138,21.26095564958654,2,462,138,21.792665098039503,21.78111568857061,5.577217040050074,5.4522266747809605,0.987625987824404,0.19754251191388272,defined,57,15,0.14,35,42,7
stackoverflow,0.5,42,sharepoint,600,22.82337653791164,12.732658187999117,2,382,218,21.961248889796217,21.874150821265218,6.497673214675854,5.960928444057496,0.8727022990908655,0.10270595740848594,defined,43,12,0.10333333333333333,109,32,-77
stackoverflow,0.5,42,spring,600,23.797146239114134,23.254182869835695,2,481,119,22.11614899566005,21.84044008094275,7.491093597530552,5.776798180932529,0.9584915786676392,0.2089961302968569,defined,38,6,0.10666666666666667,195,32,-163
stackoverflow,0.5,42,svn,600,23.810449662696236,23.447017948715764,2,365,235,22.498933022399648,24.809633757461143,10.168087192940439,39.17812978578738,0.9714828228030736,0.09219758434059991,defined,43,25,0.06,0,22,22
stackoverflow,0.5,42,visual-studio,600,23.37208144180641,18.142006654869224,2,467,133,22.02926102809816,21.741390036371502,6.912105399448821,5.244097049755044,0.9485898039579436,0.16972320529135043,defined,56,16,0.13333333333333333,38,40,2
