ci95_high,ci95_low,dataset,mean,method,metric,n,std
0.8158584534731324,0.7732876712328767,banking77,0.7970914972831138,BRAK,oos_f1,3,0.021727756870611382
0.7904740458253038,0.7613427151547395,banking77,0.7805722931929836,BRAK,f1_all,3,0.016655775327554866
0.79016735315904,0.7610283742053149,banking77,0.7801375772958749,BRAK,f1_k,3,0.016555875775674793
0.8480263157894736,0.8375,banking77,0.8423245614035088,BRAK,known_recall,3,0.005317699847799146
0.2762820512820513,0.20192307692307696,banking77,0.235042735042735,BRAK,false_accept_rate,3,0.03783861655656493
0.1625,0.15197368421052632,banking77,0.15767543859649122,BRAK,false_reject_rate,3,0.005317699847799186
0.7944805194805195,0.7577922077922078,banking77,0.7791125541125541,BRAK,accuracy,3,0.019054689262393575
0.8896419534412955,0.8721390013495277,banking77,0.8807949561403509,BRAK,auroc,3,0.008753039809813876
0.8554460536372087,0.8489207585963792,banking77,0.8528201947772871,BRAK,aupr_oos,3,0.0034440337159886854
0.8157641781480295,0.8055022392834293,banking77,0.8123183976472209,URCSG-largest-feasible,oos_f1,3,0.005903086694235723
0.7813695438208937,0.770267657519339,banking77,0.7739741576288569,URCSG-largest-feasible,f1_all,3,0.00640459836840016
0.780734472887669,0.7690703806606893,banking77,0.7729650986810052,URCSG-largest-feasible,f1_k,3,0.0067284829115987115
0.8105263157894737,0.7980263157894737,banking77,0.8043859649122806,URCSG-largest-feasible,known_recall,3,0.006252884837448772
0.19294871794871796,0.18012820512820513,banking77,0.1856837606837607,URCSG-largest-feasible,false_accept_rate,3,0.006578976204419086
0.2019736842105263,0.18947368421052632,banking77,0.19561403508771932,URCSG-largest-feasible,false_reject_rate,3,0.006252884837448786
0.7883116883116883,0.7847402597402597,banking77,0.7863636363636365,URCSG-largest-feasible,accuracy,3,0.0018077157022175277
0.8793020411605937,0.869329875168691,banking77,0.8757496907332434,URCSG-largest-feasible,auroc,3,0.005570259498202694
0.8454945634245937,0.8335192522630323,banking77,0.8387309243740978,URCSG-largest-feasible,aupr_oos,3,0.006136649769203703
0.7998670212765958,0.7791327913279132,banking77,0.7919410361450283,URCSG-primary,oos_f1,3,0.011196178706105583
0.7868653577487609,0.769054486700261,banking77,0.7788987380945906,URCSG-primary,f1_all,3,0.009052674057443642
0.7865232087085546,0.7687892681574281,banking77,0.7785555197248422,URCSG-primary,f1_k,3,0.009002737494414837
0.8407894736842105,0.8302631578947368,banking77,0.8366228070175438,URCSG-primary,known_recall,3,0.005595329307970658
0.26282051282051283,0.2282051282051282,banking77,0.23995726495726497,URCSG-primary,false_accept_rate,3,0.019802747425807975
0.16973684210526316,0.15921052631578947,banking77,0.16337719298245615,URCSG-primary,false_reject_rate,3,0.0055953293079706486
0.7824675324675324,0.7636363636363637,banking77,0.7747835497835497,URCSG-primary,accuracy,3,0.009881728773734581
0.8765700910931175,0.8722844973009446,banking77,0.8746363304093568,URCSG-primary,auroc,3,0.002173169793657999
0.8473757199513045,0.8457524352805811,banking77,0.8466593734325807,URCSG-primary,aupr_oos,3,0.0008282554911120402
0.8157641781480295,0.8055022392834293,banking77,0.8123183976472209,URCSG-shuffled-largest-feasible,oos_f1,3,0.005903086694235723
0.7813695438208937,0.770267657519339,banking77,0.7739741576288569,URCSG-shuffled-largest-feasible,f1_all,3,0.00640459836840016
0.780734472887669,0.7690703806606893,banking77,0.7729650986810052,URCSG-shuffled-largest-feasible,f1_k,3,0.0067284829115987115
0.8105263157894737,0.7980263157894737,banking77,0.8043859649122806,URCSG-shuffled-largest-feasible,known_recall,3,0.006252884837448772
0.19294871794871796,0.18012820512820513,banking77,0.1856837606837607,URCSG-shuffled-largest-feasible,false_accept_rate,3,0.006578976204419086
0.2019736842105263,0.18947368421052632,banking77,0.19561403508771932,URCSG-shuffled-largest-feasible,false_reject_rate,3,0.006252884837448786
0.7883116883116883,0.7847402597402597,banking77,0.7863636363636365,URCSG-shuffled-largest-feasible,accuracy,3,0.0018077157022175277
0.8793020411605937,0.869329875168691,banking77,0.8757496907332434,URCSG-shuffled-largest-feasible,auroc,3,0.005570259498202694
0.8454945634245937,0.8335192522630323,banking77,0.8387309243740978,URCSG-shuffled-largest-feasible,aupr_oos,3,0.006136649769203703
0.7998670212765958,0.7791327913279132,banking77,0.7919410361450283,URCSG-shuffled-primary,oos_f1,3,0.011196178706105583
0.7868653577487609,0.769054486700261,banking77,0.7788987380945906,URCSG-shuffled-primary,f1_all,3,0.009052674057443642
0.7865232087085546,0.7687892681574281,banking77,0.7785555197248422,URCSG-shuffled-primary,f1_k,3,0.009002737494414837
0.8407894736842105,0.8302631578947368,banking77,0.8366228070175438,URCSG-shuffled-primary,known_recall,3,0.005595329307970658
0.26282051282051283,0.2282051282051282,banking77,0.23995726495726497,URCSG-shuffled-primary,false_accept_rate,3,0.019802747425807975
0.16973684210526316,0.15921052631578947,banking77,0.16337719298245615,URCSG-shuffled-primary,false_reject_rate,3,0.0055953293079706486
0.7824675324675324,0.7636363636363637,banking77,0.7747835497835497,URCSG-shuffled-primary,accuracy,3,0.009881728773734581
0.8765700910931175,0.8722844973009446,banking77,0.8746363304093568,URCSG-shuffled-primary,auroc,3,0.002173169793657999
0.8473757199513045,0.8457524352805811,banking77,0.8466593734325807,URCSG-shuffled-primary,aupr_oos,3,0.0008282554911120402
0.815028901734104,0.7842227378190255,banking77,0.8000546629508586,fixed_k2,oos_f1,3,0.015420980941402087
0.781473076471341,0.7702234436710751,banking77,0.7762379091934134,fixed_k2,f1_all,3,0.0056651600904574165
0.7805900284381105,0.7698550411934976,banking77,0.775611152515586,fixed_k2,f1_k,3,0.005409534077464797
0.8197368421052631,0.8125,banking77,0.8160087719298246,fixed_k2,known_recall,3,0.003623401675846089
0.24166666666666667,0.18653846153846154,banking77,0.21346153846153845,fixed_k2,false_accept_rate,3,0.027586454860705146
0.1875,0.18026315789473682,banking77,0.18399122807017543,fixed_k2,false_reject_rate,3,0.0036234016758461165
0.7905844155844156,0.7681818181818182,banking77,0.779978354978355,fixed_k2,accuracy,3,0.011248645152452105
0.8848532388663969,0.8693589743589744,banking77,0.8767015294646873,fixed_k2,auroc,3,0.0077787599373254634
0.8556651100658108,0.8441481467654323,banking77,0.8482756120718228,fixed_k2,aupr_oos,3,0.006414105850138625
0.838962605548854,0.8323699421965318,banking77,0.8348050848374345,fixed_k4,oos_f1,3,0.003618113069351445
0.7861609878412364,0.7763320212682995,banking77,0.7815329745367724,fixed_k4,f1_all,3,0.004939467696497981
0.7847714715857727,0.7748385821762304,banking77,0.7801310768972813,fixed_k4,f1_k,3,0.004998449644129338
0.7638157894736842,0.75,banking77,0.7578947368421053,fixed_k4,known_recall,3,0.007116219622626309
0.12307692307692308,0.10833333333333334,banking77,0.11452991452991453,fixed_k4,false_accept_rate,3,0.007647662465031318
0.25,0.2361842105263158,banking77,0.24210526315789474,fixed_k4,false_reject_rate,3,0.00711621962262629
0.8116883116883117,0.8038961038961038,banking77,0.8072510822510823,fixed_k4,accuracy,3,0.004007252939734546
0.8934872638326584,0.8803976889338733,banking77,0.8868637539361224,fixed_k4,auroc,3,0.006546207637157568
0.8638532066577556,0.8432686986185133,banking77,0.855247717057085,fixed_k4,aupr_oos,3,0.010698879166507119
0.8142344107084559,0.7739726027397259,banking77,0.7958478878437001,single_centroid,oos_f1,3,0.020356372262735487
0.7927391193529553,0.7679465098646857,banking77,0.7824056717654355,single_centroid,f1_all,3,0.012900949974914694
0.7921734537909684,0.7677879284732373,banking77,0.7820519292370601,single_centroid,f1_k,3,0.012709584694934242
0.8486842105263158,0.8315789473684211,banking77,0.8385964912280701,single_centroid,known_recall,3,0.008956393796781644
0.27564102564102566,0.20064102564102568,banking77,0.2346153846153846,single_centroid,false_accept_rate,3,0.037993952596762685
0.16842105263157894,0.1513157894736842,banking77,0.1614035087719298,single_centroid,false_reject_rate,3,0.00895639379678164
0.7967532467532467,0.7626623376623377,banking77,0.7803030303030303,single_centroid,accuracy,3,0.017076605219750924
0.8862580128205129,0.8681954284750337,banking77,0.877094017094017,single_centroid,auroc,3,0.009034216568630926
0.8580995580422193,0.8498182373414508,banking77,0.8527567420486092,single_centroid,aupr_oos,3,0.004634717112064463
0.8197054342305737,0.7185035760132038,stackoverflow,0.7728960941964712,BRAK,oos_f1,3,0.051025312049939
0.8061479473885722,0.7751838252001845,stackoverflow,0.7859760162154994,BRAK,f1_all,3,0.01748367409312591
0.8087148148928659,0.7722853602404584,stackoverflow,0.7872840084174023,BRAK,f1_k,3,0.019047461427992653
0.838,0.8353333333333334,stackoverflow,0.8371111111111111,BRAK,known_recall,3,0.0015396007178389607
0.347,0.19299999999999998,stackoverflow,0.2654444444444444,BRAK,false_accept_rate,3,0.07740322512182071
0.16466666666666666,0.162,stackoverflow,0.1628888888888889,BRAK,false_reject_rate,3,0.0015396007178389926
0.7746666666666666,0.7128333333333333,stackoverflow,0.753,BRAK,accuracy,3,0.03482136955631953
0.9064862222222222,0.861227222222222,stackoverflow,0.8819071851851851,BRAK,auroc,3,0.0228800427059553
0.8927093484941885,0.8156840094880962,stackoverflow,0.8468439295787179,BRAK,aupr_oos,3,0.04056370895291228
0.7732486324333863,0.6002501042100875,stackoverflow,0.7147022395799022,URCSG-largest-feasible,oos_f1,3,0.09912725017160298
0.7935579777361137,0.7292867978650345,stackoverflow,0.7563201021126083,URCSG-largest-feasible,f1_all,3,0.03332860780515769
0.7955889122663864,0.7421904672305292,stackoverflow,0.7604818883658787,URCSG-largest-feasible,f1_k,3,0.03041252793387219
0.9013333333333332,0.8413333333333334,stackoverflow,0.8744444444444444,URCSG-largest-feasible,known_recall,3,0.030480108875085062
0.52,0.26966666666666667,stackoverflow,0.367,URCSG-largest-feasible,false_accept_rate,3,0.1341297050536449
0.15866666666666668,0.09866666666666667,stackoverflow,0.12555555555555556,URCSG-largest-feasible,false_reject_rate,3,0.030480108875085034
0.7663333333333333,0.6471666666666667,stackoverflow,0.7182222222222222,URCSG-largest-feasible,accuracy,3,0.06280930869910333
0.9007109999999999,0.8376586666666667,stackoverflow,0.872098888888889,URCSG-largest-feasible,auroc,3,0.03192764231879696
0.8917924314044563,0.7830723379232647,stackoverflow,0.8373913378890429,URCSG-largest-feasible,aupr_oos,3,0.05436009323164309
0.769449378330373,0.610338384886859,stackoverflow,0.7119386209015355,URCSG-primary,oos_f1,3,0.0882439156549835
0.7965492248571343,0.7357873000386047,stackoverflow,0.7593077117695862,URCSG-primary,f1_all,3,0.03262214498988436
0.7992592095098102,0.7445424615055846,stackoverflow,0.7640446208563914,URCSG-primary,f1_k,3,0.03055553884292787
0.908,0.8453333333333332,stackoverflow,0.8792222222222222,URCSG-primary,known_recall,3,0.031644436641696964
0.51,0.278,stackoverflow,0.3747777777777778,URCSG-primary,false_accept_rate,3,0.12068339356134082
0.15466666666666667,0.09200000000000001,stackoverflow,0.12077777777777778,URCSG-primary,false_reject_rate,3,0.03164443664169692
0.765,0.6528333333333334,stackoverflow,0.7172222222222223,URCSG-primary,accuracy,3,0.05789893813393329
0.8956436666666668,0.844256,stackoverflow,0.8721288888888888,URCSG-primary,auroc,3,0.025969557576202663
0.8911829304229544,0.7918680943946667,stackoverflow,0.8384003084104452,URCSG-primary,aupr_oos,3,0.049951575189633605
0.7118911457306251,0.5755613126079447,stackoverflow,0.6318978040379769,URCSG-shuffled-largest-feasible,oos_f1,3,0.07117717873781844
0.726132031995241,0.7065004350301876,stackoverflow,0.7149241746427465,URCSG-shuffled-largest-feasible,f1_all,3,0.01010759039246947
0.7275561206217026,0.7195943472724119,stackoverflow,0.7232268117032237,URCSG-shuffled-largest-feasible,f1_k,3,0.004026369691963608
0.9113333333333333,0.891,stackoverflow,0.9008888888888889,URCSG-shuffled-largest-feasible,known_recall,3,0.010178044635026534
0.5556666666666666,0.39833333333333326,stackoverflow,0.4897777777777777,URCSG-shuffled-largest-feasible,false_accept_rate,3,0.08172061710033313
0.109,0.08866666666666667,stackoverflow,0.09911111111111111,URCSG-shuffled-largest-feasible,false_reject_rate,3,0.01017804463502654
0.7008333333333333,0.6263333333333333,stackoverflow,0.6566111111111111,URCSG-shuffled-largest-feasible,accuracy,3,0.03915862801667275
0.8831104444444445,0.8218954444444447,stackoverflow,0.8449691111111112,URCSG-shuffled-largest-feasible,auroc,3,0.03327303698692576
0.8664568338532596,0.7895745936723945,stackoverflow,0.8177164507252161,URCSG-shuffled-largest-feasible,aupr_oos,3,0.042378581514259585
0.6695473251028806,0.5782504883872368,stackoverflow,0.6099293091317083,URCSG-shuffled-primary,oos_f1,3,0.05166456300993464
0.7219787771421536,0.7156342389779472,stackoverflow,0.718790590001572,URCSG-shuffled-primary,f1_all,3,0.0031723888921481253
0.7363516060176453,0.7236798967627887,stackoverflow,0.7296767180885583,URCSG-shuffled-primary,f1_k,3,0.006363009083665098
0.9223333333333333,0.9003333333333333,stackoverflow,0.9103333333333333,URCSG-shuffled-primary,known_recall,3,0.011135528725660053
0.556,0.45766666666666667,stackoverflow,0.5207777777777778,URCSG-shuffled-primary,false_accept_rate,3,0.05477867928038887
0.09966666666666667,0.07766666666666666,stackoverflow,0.08966666666666667,URCSG-shuffled-primary,false_reject_rate,3,0.011135528725660046
0.6773333333333333,0.6341666666666667,stackoverflow,0.6491111111111111,URCSG-shuffled-primary,accuracy,3,0.024455363722807617
0.8772844444444444,0.8303124444444444,stackoverflow,0.8460594814814816,URCSG-shuffled-primary,auroc,3,0.02704194592159254
0.8585011874430076,0.797614126859774,stackoverflow,0.8200125174002079,URCSG-shuffled-primary,aupr_oos,3,0.03348105968252466
0.6904024767801857,0.635702746365105,stackoverflow,0.671479083778788,fixed_k2,oos_f1,3,0.03100050690542498
0.7581581552044642,0.7217216672126026,stackoverflow,0.7354224254530841,fixed_k2,f1_all,3,0.01982744176507225
0.7649337230468921,0.7250606311147555,stackoverflow,0.7418167596205136,fixed_k2,f1_k,3,0.02068359327396206
0.8833333333333333,0.872,stackoverflow,0.8764444444444445,fixed_k2,known_recall,3,0.006049181150584962
0.47533333333333333,0.4053333333333333,stackoverflow,0.4315555555555555,fixed_k2,false_accept_rate,3,0.03815950927551544
0.128,0.11666666666666665,stackoverflow,0.12355555555555557,fixed_k2,false_reject_rate,3,0.0060491811505849775
0.7041666666666667,0.6601666666666667,stackoverflow,0.6814444444444444,fixed_k2,accuracy,3,0.022035535274070737
0.8597707777777778,0.8439265555555555,stackoverflow,0.8543344814814814,fixed_k2,auroc,3,0.009016522075470582
0.8397174918607071,0.8011033608690713,stackoverflow,0.8194748555450521,fixed_k2,aupr_oos,3,0.019374949195716522
0.6821486268174475,0.5840443686006825,stackoverflow,0.625451809245999,fixed_k4,oos_f1,3,0.05080782572751396
0.7123082306332497,0.6976880412494894,stackoverflow,0.7055281691401148,fixed_k4,f1_all,3,0.007367515862186584
0.7188426222312977,0.7064406021424515,stackoverflow,0.7135358051295264,fixed_k4,f1_k,3,0.006391499716584571
0.9123333333333333,0.8876666666666667,stackoverflow,0.8978888888888888,fixed_k4,known_recall,3,0.012863960567472259
0.5436666666666666,0.437,stackoverflow,0.4974444444444444,fixed_k4,false_accept_rate,3,0.054737082020766756
0.11233333333333333,0.08766666666666667,stackoverflow,0.10211111111111111,fixed_k4,false_reject_rate,3,0.012863960567472266
0.6828333333333333,0.6306666666666667,stackoverflow,0.6529444444444444,fixed_k4,accuracy,3,0.026903290449999513
0.8716668888888889,0.8164726666666665,stackoverflow,0.8372249259259258,fixed_k4,auroc,3,0.03003592070006203
0.8538157169095139,0.7902392056843336,stackoverflow,0.8123169953800723,fixed_k4,aupr_oos,3,0.035963490373688234
0.8197054342305737,0.7185035760132038,stackoverflow,0.7728960941964712,single_centroid,oos_f1,3,0.051025312049939
0.8061479473885722,0.7751838252001845,stackoverflow,0.7859760162154994,single_centroid,f1_all,3,0.01748367409312591
0.8087148148928659,0.7722853602404584,stackoverflow,0.7872840084174023,single_centroid,f1_k,3,0.019047461427992653
0.838,0.8353333333333334,stackoverflow,0.8371111111111111,single_centroid,known_recall,3,0.0015396007178389607
0.347,0.19299999999999998,stackoverflow,0.2654444444444444,single_centroid,false_accept_rate,3,0.07740322512182071
0.16466666666666666,0.162,stackoverflow,0.1628888888888889,single_centroid,false_reject_rate,3,0.0015396007178389926
0.7746666666666666,0.7128333333333333,stackoverflow,0.753,single_centroid,accuracy,3,0.03482136955631953
0.9064862222222222,0.861227222222222,stackoverflow,0.8819071851851851,single_centroid,auroc,3,0.0228800427059553
0.8927093484941885,0.8156840094880962,stackoverflow,0.8468439295787179,single_centroid,aupr_oos,3,0.04056370895291228
