dataset,kir,data_seed,method,representation,k,baseline_method,known_test_samples,hard_negative_samples,standard_oos_f1,hard_negative_oos_f1,hard_negative_minus_standard_oos_f1,hard_negative_oos_recall,hard_negative_auroc,hard_negative_aupr_oos,hard_negative_fpr95,id_recall_on_combined,source_commit,source_sha256
banking77_oos,50,42,best_baseline,frozen,,msp,4080,734,0.8977135980746089,0.2871946706143597,-0.6105189274602492,0.7929155313351499,0.5480862985521184,0.15880260466678298,0.8325980392156863,0.32916666666666666,b5a9cdbff3518acf987a509e3545560624d8c1a7,3924d16a5d8ffed42c1aa583b791d7091b0df3ecc121c418dd8cd1525c9a3c3b
banking77_oos,50,42,ce_k1,ce,1.0,,4080,734,0.9228232189973615,0.3065360965611478,-0.6162871224362138,0.9168937329700273,0.6091975209702408,0.18559432183452548,0.7794117647058824,0.26862745098039215,b5a9cdbff3518acf987a509e3545560624d8c1a7,3924d16a5d8ffed42c1aa583b791d7091b0df3ecc121c418dd8cd1525c9a3c3b
banking77_oos,50,42,ce_recon_k1,ce_recon,1.0,,4080,734,0.9164989939637826,0.3065761759887667,-0.609922817975016,0.8923705722070845,0.6126990169364748,0.18297739682605196,0.7779411764705882,0.2931372549019608,b5a9cdbff3518acf987a509e3545560624d8c1a7,3924d16a5d8ffed42c1aa583b791d7091b0df3ecc121c418dd8cd1525c9a3c3b
banking77_oos,50,42,ce_recon_selected_k,ce_recon,5.0,,4080,734,0.9025641025641026,0.3220684962576548,-0.5804956063064477,0.9673024523160763,0.6756374552545814,0.2201183980555691,0.6818627450980392,0.27328431372549017,b5a9cdbff3518acf987a509e3545560624d8c1a7,3924d16a5d8ffed42c1aa583b791d7091b0df3ecc121c418dd8cd1525c9a3c3b
banking77_oos,50,42,frozen_k1,,1.0,,4080,734,0.8615603341034299,0.33662864385297847,-0.5249316902504515,0.9046321525885559,0.6485003606347172,0.18749335170657933,0.7022058823529411,0.37573529411764706,b5a9cdbff3518acf987a509e3545560624d8c1a7,3924d16a5d8ffed42c1aa583b791d7091b0df3ecc121c418dd8cd1525c9a3c3b
banking77_oos,50,42,frozen_k2,,2.0,,4080,734,0.8462633451957295,0.33975659229208927,-0.5065067529036402,0.9128065395095368,0.651985828391302,0.18945138092601702,0.6850490196078431,0.37745098039215685,b5a9cdbff3518acf987a509e3545560624d8c1a7,3924d16a5d8ffed42c1aa583b791d7091b0df3ecc121c418dd8cd1525c9a3c3b
banking77_oos,50,42,supcon_k1,supcon,1.0,,4080,734,0.8984962406015038,0.3228892609423583,-0.5756069796591454,0.9196185286103542,0.6332815755730086,0.18165095617924687,0.7544117647058823,0.3205882352941177,b5a9cdbff3518acf987a509e3545560624d8c1a7,3924d16a5d8ffed42c1aa583b791d7091b0df3ecc121c418dd8cd1525c9a3c3b
clinc150,50,42,best_baseline,frozen,,entropy,5500,2266,0.9141899100746838,0.5080256821829856,-0.40616422789169815,0.8380406001765225,0.628175278825323,0.3493904412605805,0.7307272727272728,0.398,b5a9cdbff3518acf987a509e3545560624d8c1a7,dee498b874966c802a7f7612ab282cfbfc4ce87914db68d65ef9699d1e7b692b
clinc150,50,42,ce_k1,ce,1.0,,5500,2266,0.8945099166427134,0.5356048535359725,-0.35890506310674086,0.9642541924095323,0.7099772927866486,0.43849320943178605,0.6465454545454545,0.32581818181818184,b5a9cdbff3518acf987a509e3545560624d8c1a7,dee498b874966c802a7f7612ab282cfbfc4ce87914db68d65ef9699d1e7b692b
clinc150,50,42,ce_recon_k1,ce_recon,1.0,,5500,2266,0.895423899010185,0.5356487709428885,-0.3597751280672965,0.9664607237422771,0.7111425018053439,0.43669781651017214,0.6452727272727272,0.32345454545454544,b5a9cdbff3518acf987a509e3545560624d8c1a7,dee498b874966c802a7f7612ab282cfbfc4ce87914db68d65ef9699d1e7b692b
clinc150,50,42,ce_recon_selected_k,ce_recon,1.0,,5500,2266,0.895423899010185,0.5356487709428885,-0.3597751280672965,0.9664607237422771,0.7111425018053439,0.43669781651017214,0.6452727272727272,0.32345454545454544,b5a9cdbff3518acf987a509e3545560624d8c1a7,dee498b874966c802a7f7612ab282cfbfc4ce87914db68d65ef9699d1e7b692b
clinc150,50,42,frozen_k1,,1.0,,5500,2266,0.8816362053959965,0.5213910432824619,-0.36024516211353463,0.9196822594880847,0.6610197384257402,0.3779866555301413,0.7107272727272728,0.33745454545454545,b5a9cdbff3518acf987a509e3545560624d8c1a7,dee498b874966c802a7f7612ab282cfbfc4ce87914db68d65ef9699d1e7b692b
clinc150,50,42,frozen_k2,,2.0,,5500,2266,0.8783745382210856,0.523954650737535,-0.3544198874835506,0.9483671668137688,0.6723491133755918,0.39483147679037034,0.6912727272727273,0.31127272727272726,b5a9cdbff3518acf987a509e3545560624d8c1a7,dee498b874966c802a7f7612ab282cfbfc4ce87914db68d65ef9699d1e7b692b
clinc150,50,42,supcon_k1,supcon,1.0,,5500,2266,0.9007633587786259,0.5376687116564417,-0.3630946471221842,0.9669020300088261,0.7007317660274414,0.4224664767206856,0.6407272727272727,0.32854545454545453,b5a9cdbff3518acf987a509e3545560624d8c1a7,dee498b874966c802a7f7612ab282cfbfc4ce87914db68d65ef9699d1e7b692b
