method,dataset,kir,seed,status,reason,source
Ours,banking77,0.25,13,complete,,../artifacts/s2c/analysis/banking_fixed_known/final/banking77/kir25_seed13/Ours.json
Ours,banking77,0.25,42,complete,,../artifacts/s2c/analysis/banking_fixed_known/final/banking77/kir25_seed42/Ours.json
Ours,banking77,0.25,87,complete,,../artifacts/s2c/analysis/banking_fixed_known/final/banking77/kir25_seed87/Ours.json
Ours,banking77,0.5,13,complete,,../artifacts/s2c/analysis/banking_fixed_known/final/banking77/kir50_seed13/Ours.json
Ours,banking77,0.5,42,complete,,../artifacts/s2c/analysis/banking_fixed_known/final/banking77/kir50_seed42/Ours.json
Ours,banking77,0.5,87,complete,,../artifacts/s2c/analysis/banking_fixed_known/final/banking77/kir50_seed87/Ours.json
Ours,banking77,0.75,13,complete,,../artifacts/s2c/analysis/banking_fixed_known/final/banking77/kir75_seed13/Ours.json
Ours,banking77,0.75,42,complete,,../artifacts/s2c/analysis/banking_fixed_known/final/banking77/kir75_seed42/Ours.json
Ours,banking77,0.75,87,complete,,../artifacts/s2c/analysis/banking_fixed_known/final/banking77/kir75_seed87/Ours.json
MOGB-official-compatible,banking77,0.25,13,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official/banking77/kir25_seed13/result.json
MOGB-official-compatible,banking77,0.25,42,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official/banking77/kir25_seed42/result.json
MOGB-official-compatible,banking77,0.25,87,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official/banking77/kir25_seed87/result.json
MOGB-official-compatible,banking77,0.5,13,training,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official/banking77/kir50_seed13/MANIFEST.json
MOGB-official-compatible,banking77,0.5,42,pending,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official/banking77/kir50_seed42/MANIFEST.json
MOGB-official-compatible,banking77,0.5,87,pending,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official/banking77/kir50_seed87/MANIFEST.json
MOGB-official-compatible,banking77,0.75,13,pending,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official/banking77/kir75_seed13/MANIFEST.json
MOGB-official-compatible,banking77,0.75,42,pending,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official/banking77/kir75_seed42/MANIFEST.json
MOGB-official-compatible,banking77,0.75,87,pending,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official/banking77/kir75_seed87/MANIFEST.json
MOGB-official-compatible,clinc150,0.25,13,pending,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official/clinc150/kir25_seed13/MANIFEST.json
