dataset,method,kir,seed,source,predictions,oos_f1,known_f1,accuracy,oos_precision,oos_recall,known_recall,false_accept_rate,known_count,oos_count,oos_false_accepts,known_false_rejects,known_score_q10,known_score_q50,known_score_q90,oos_score_q10,oos_score_q50,oos_score_q90
banking77,Ours,0.25,13,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/banking_textoir_aligned/fixed_k1_mahalanobis_threshold1_known_only/final/banking77/kir25_seed13/Ours.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/banking_textoir_aligned/fixed_k1_mahalanobis_threshold1_known_only/final/banking77/kir25_seed13/Ours.npz,91.8263934787398,74.87449106250176,87.17532467532467,93.91617845876522,89.82758620689654,82.23684210526315,10.172413793103448,760,2320,236,135,0.642449875513809,0.8313797372577606,1.0738060556863596,0.9972341740398366,1.1942754647958975,1.388686532882197
banking77,Ours,0.25,42,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/banking_textoir_aligned/fixed_k1_mahalanobis_threshold1_known_only/final/banking77/kir25_seed42/Ours.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/banking_textoir_aligned/fixed_k1_mahalanobis_threshold1_known_only/final/banking77/kir25_seed42/Ours.npz,91.05403011514615,75.00387304431977,86.26623376623377,93.6247723132969,88.62068965517241,81.57894736842105,11.379310344827587,760,2320,264,140,0.6116573985831701,0.8031587079217011,1.0908824680074496,0.9863763167106566,1.221416372193716,1.4470257349870244
banking77,Ours,0.25,87,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/banking_textoir_aligned/fixed_k1_mahalanobis_threshold1_known_only/final/banking77/kir25_seed87/Ours.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/banking_textoir_aligned/fixed_k1_mahalanobis_threshold1_known_only/final/banking77/kir25_seed87/Ours.npz,92.46560384363399,79.57734262913478,88.63636363636364,93.71403275785745,91.25,81.3157894736842,8.75,760,2320,203,142,0.580869385774115,0.8032773701086359,1.1095040108808463,1.0168887950409269,1.2731573504226315,1.506128099592433
banking77,Ours,0.5,13,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/banking_textoir_aligned/fixed_k1_mahalanobis_threshold1_known_only/final/banking77/kir50_seed13/Ours.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/banking_textoir_aligned/fixed_k1_mahalanobis_threshold1_known_only/final/banking77/kir50_seed13/Ours.npz,87.17165546731826,81.92858856286588,84.67532467532467,83.25554259043174,91.47435897435898,81.11842105263159,8.525641025641026,1520,1560,133,287,0.5666673755504328,0.7755941546872165,1.1340937643215177,1.0237944253127267,1.3673226071553932,1.6403862741042057
banking77,Ours,0.5,42,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/banking_textoir_aligned/fixed_k1_mahalanobis_threshold1_known_only/final/banking77/kir50_seed42/Ours.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/banking_textoir_aligned/fixed_k1_mahalanobis_threshold1_known_only/final/banking77/kir50_seed42/Ours.npz,84.99843407453805,79.9433218982976,82.20779220779221,83.09859154929578,86.98717948717949,81.84210526315789,13.012820512820515,1520,1560,203,276,0.6116911656703741,0.8005303870310854,1.1076970408016458,0.9654677288943877,1.214653966218579,1.4674951636357798
banking77,Ours,0.5,87,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/banking_textoir_aligned/fixed_k1_mahalanobis_threshold1_known_only/final/banking77/kir50_seed87/Ours.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/banking_textoir_aligned/fixed_k1_mahalanobis_threshold1_known_only/final/banking77/kir50_seed87/Ours.npz,87.01416089183489,81.7268782462631,84.4155844155844,82.09209778283115,92.56410256410257,79.27631578947368,7.435897435897436,1520,1560,116,315,0.5340056863878756,0.760957498606391,1.2014835845960399,1.0503033846234022,1.4333172348280296,1.7334798615094025
banking77,Ours,0.75,13,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/banking_textoir_aligned/fixed_k1_mahalanobis_threshold1_known_only/final/banking77/kir75_seed13/Ours.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/banking_textoir_aligned/fixed_k1_mahalanobis_threshold1_known_only/final/banking77/kir75_seed13/Ours.npz,69.89877464038359,82.03592808860762,78.44155844155844,58.728737690241715,86.31578947368422,80.12931034482759,13.684210526315791,2320,760,104,461,0.6021583687110139,0.8070630006247397,1.1302754377456046,0.9576744029242267,1.193051802062966,1.4424472239952058
banking77,Ours,0.75,42,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/banking_textoir_aligned/fixed_k1_mahalanobis_threshold1_known_only/final/banking77/kir75_seed42/Ours.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/banking_textoir_aligned/fixed_k1_mahalanobis_threshold1_known_only/final/banking77/kir75_seed42/Ours.npz,72.24489795918367,82.39143479473582,79.28571428571428,59.0,93.15789473684211,78.79310344827586,6.842105263157896,2320,760,52,492,0.5832079382112663,0.8107556251541626,1.1479147870309216,1.0455529942166535,1.3051275025547557,1.5600018221484564
banking77,Ours,0.75,87,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/banking_textoir_aligned/fixed_k1_mahalanobis_threshold1_known_only/final/banking77/kir75_seed87/Ours.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/banking_textoir_aligned/fixed_k1_mahalanobis_threshold1_known_only/final/banking77/kir75_seed87/Ours.npz,69.71677559912854,81.96709204445983,78.31168831168831,59.479553903345725,84.21052631578947,81.20689655172414,15.789473684210526,2320,760,120,436,0.609989240026718,0.8123803256224733,1.1037142713647576,0.9496014591180495,1.1993918529372993,1.4349406128433035
banking77,MOGB-official-compatible,0.25,13,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/banking77/kir25_seed13/result.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/banking77/kir25_seed13/predictions.npz,90.21980237951199,58.25877624677421,84.18831168831169,84.76695718075028,96.42241379310344,47.10526315789474,3.577586206896552,760,2320,83,402,0.695347648859024,1.023810088634491,1.7940154075622559,1.2438454985618592,1.9914847016334534,2.7442986726760865
