method,dataset,kir,seed,status,reason,source
Ours,banking77,0.25,13,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/banking_textoir_aligned/fixed_k1_mahalanobis_threshold1_known_only/final/banking77/kir25_seed13/Ours.json
Ours,banking77,0.25,42,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/banking_textoir_aligned/fixed_k1_mahalanobis_threshold1_known_only/final/banking77/kir25_seed42/Ours.json
Ours,banking77,0.25,87,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/banking_textoir_aligned/fixed_k1_mahalanobis_threshold1_known_only/final/banking77/kir25_seed87/Ours.json
Ours,banking77,0.5,13,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/banking_textoir_aligned/fixed_k1_mahalanobis_threshold1_known_only/final/banking77/kir50_seed13/Ours.json
Ours,banking77,0.5,42,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/banking_textoir_aligned/fixed_k1_mahalanobis_threshold1_known_only/final/banking77/kir50_seed42/Ours.json
Ours,banking77,0.5,87,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/banking_textoir_aligned/fixed_k1_mahalanobis_threshold1_known_only/final/banking77/kir50_seed87/Ours.json
Ours,banking77,0.75,13,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/banking_textoir_aligned/fixed_k1_mahalanobis_threshold1_known_only/final/banking77/kir75_seed13/Ours.json
Ours,banking77,0.75,42,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/banking_textoir_aligned/fixed_k1_mahalanobis_threshold1_known_only/final/banking77/kir75_seed42/Ours.json
Ours,banking77,0.75,87,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/banking_textoir_aligned/fixed_k1_mahalanobis_threshold1_known_only/final/banking77/kir75_seed87/Ours.json
MOGB-official-compatible,banking77,0.25,13,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/banking77/kir25_seed13/result.json
MOGB-official-compatible,banking77,0.25,42,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/banking77/kir25_seed42/result.json
MOGB-official-compatible,banking77,0.25,87,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/banking77/kir25_seed87/result.json
MOGB-official-compatible,banking77,0.5,13,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/banking77/kir50_seed13/result.json
MOGB-official-compatible,banking77,0.5,42,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/banking77/kir50_seed42/result.json
MOGB-official-compatible,banking77,0.5,87,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/banking77/kir50_seed87/result.json
MOGB-official-compatible,banking77,0.75,13,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/banking77/kir75_seed13/result.json
MOGB-official-compatible,banking77,0.75,42,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/banking77/kir75_seed42/result.json
MOGB-official-compatible,banking77,0.75,87,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/banking77/kir75_seed87/result.json
MOGB-official-compatible,clinc150,0.25,13,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/clinc150/kir25_seed13/result.json
MOGB-official-compatible,clinc150,0.25,42,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/clinc150/kir25_seed42/result.json
MOGB-official-compatible,clinc150,0.25,87,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/clinc150/kir25_seed87/result.json
MOGB-official-compatible,clinc150,0.5,13,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/clinc150/kir50_seed13/result.json
MOGB-official-compatible,clinc150,0.5,42,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/clinc150/kir50_seed42/result.json
MOGB-official-compatible,clinc150,0.5,87,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/clinc150/kir50_seed87/result.json
MOGB-official-compatible,clinc150,0.75,13,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/clinc150/kir75_seed13/result.json
MOGB-official-compatible,clinc150,0.75,42,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/clinc150/kir75_seed42/result.json
