dataset,kir,method,oos_f1,known_f1,accuracy,source,comparison,supervision,backbone,strongest_reported_baseline,delta_vs_strongest_reported_baseline_pp
banking77,0.25,Ours,87.6276290013152,72.61531444936337,82.24025974025975,/home/bo/bo01/llmpy311/s2c/results/final_paper_main/standard_banking77_textoir_aligned/summary.csv,three-seed final full-pipeline; TextOIR-aligned standard Banking77,Known-only train/dev,MiniLM Gate + SmolLM-135M downstream,DA-ADB,1.057629001315206
banking77,0.5,Ours,81.87093960874279,80.82981665842708,80.66017316017316,/home/bo/bo01/llmpy311/s2c/results/final_paper_main/standard_banking77_textoir_aligned/summary.csv,three-seed final full-pipeline; TextOIR-aligned standard Banking77,Known-only train/dev,MiniLM Gate + SmolLM-135M downstream,DA-ADB,-0.05906039125721918
banking77,0.75,Ours,70.10135463755707,84.57906050887591,80.87662337662339,/home/bo/bo01/llmpy311/s2c/results/final_paper_main/standard_banking77_textoir_aligned/summary.csv,three-seed final full-pipeline; TextOIR-aligned standard Banking77,Known-only train/dev,MiniLM Gate + SmolLM-135M downstream,DA-ADB,0.731354637557061
banking77,0.25,ADB,85.05,70.92,79.33,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,reported reference; not shared-seed rerun,not yet audited per method,not yet audited per method,DA-ADB,-1.519999999999996
banking77,0.5,ADB,79.43,81.39,79.61,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,reported reference; not shared-seed rerun,not yet audited per method,not yet audited per method,DA-ADB,-2.5
banking77,0.75,ADB,67.34,86.44,81.39,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,reported reference; not shared-seed rerun,not yet audited per method,not yet audited per method,DA-ADB,-2.030000000000001
banking77,0.25,DA-ADB,86.57,73.05,81.19,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,reported reference; not shared-seed rerun,not yet audited per method,not yet audited per method,DA-ADB,0.0
banking77,0.5,DA-ADB,81.93,82.54,81.51,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,reported reference; not shared-seed rerun,not yet audited per method,not yet audited per method,DA-ADB,0.0
banking77,0.75,DA-ADB,69.37,85.93,81.12,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,reported reference; not shared-seed rerun,not yet audited per method,not yet audited per method,DA-ADB,0.0
banking77,0.25,DOC,76.64,65.16,70.31,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,reported reference; not shared-seed rerun,not yet audited per method,not yet audited per method,DA-ADB,-9.929999999999993
banking77,0.5,DOC,72.66,78.38,74.6,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,reported reference; not shared-seed rerun,not yet audited per method,not yet audited per method,DA-ADB,-9.27000000000001
banking77,0.75,DOC,63.51,84.14,78.94,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,reported reference; not shared-seed rerun,not yet audited per method,not yet audited per method,DA-ADB,-5.8600000000000065
banking77,0.25,DeepUnk,76.98,64.97,70.68,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,reported reference; not shared-seed rerun,not yet audited per method,not yet audited per method,DA-ADB,-9.58999999999999
banking77,0.5,DeepUnk,67.8,75.61,71.01,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,reported reference; not shared-seed rerun,not yet audited per method,not yet audited per method,DA-ADB,-14.13000000000001
banking77,0.75,DeepUnk,50.57,81.65,74.73,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,reported reference; not shared-seed rerun,not yet audited per method,not yet audited per method,DA-ADB,-18.800000000000004
banking77,0.25,KNNCL,79.34,65.54,73.01,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,reported reference; not shared-seed rerun,not yet audited per method,not yet audited per method,DA-ADB,-7.22999999999999
banking77,0.5,KNNCL,67.21,75.16,70.41,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,reported reference; not shared-seed rerun,not yet audited per method,not yet audited per method,DA-ADB,-14.720000000000013
banking77,0.75,KNNCL,51.42,81.76,74.78,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,reported reference; not shared-seed rerun,not yet audited per method,not yet audited per method,DA-ADB,-17.950000000000003
banking77,0.25,MSP,39.42,50.47,42.19,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,reported reference; not shared-seed rerun,not yet audited per method,not yet audited per method,DA-ADB,-47.14999999999999
banking77,0.5,MSP,46.29,73.2,61.67,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,reported reference; not shared-seed rerun,not yet audited per method,not yet audited per method,DA-ADB,-35.64000000000001
banking77,0.75,MSP,46.05,84.99,77.08,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,reported reference; not shared-seed rerun,not yet audited per method,not yet audited per method,DA-ADB,-23.320000000000007
banking77,0.25,OpenMax,48.52,53.42,47.76,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,reported reference; not shared-seed rerun,not yet audited per method,not yet audited per method,DA-ADB,-38.04999999999999
banking77,0.5,OpenMax,55.03,75.16,65.53,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,reported reference; not shared-seed rerun,not yet audited per method,not yet audited per method,DA-ADB,-26.900000000000006
banking77,0.75,OpenMax,53.02,85.5,78.32,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,reported reference; not shared-seed rerun,not yet audited per method,not yet audited per method,DA-ADB,-16.35
