dataset,method,reference_method,metric,better_direction,paired_cells,pair_count,mean_delta,std_delta,ci95_low,ci95_high,win_rate,tie_rate
clinc150,diag_mahalanobis_centroid,multisphere_selected_k,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.0012224555041382176,0.0033198504101766124,-0.00345226341133964,0.0,0.0,0.7777777777777778
clinc150,diag_mahalanobis_centroid,multisphere_selected_k,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.0036062378167641437,0.008068798085699809,-0.009844054580896718,0.0,0.0,0.7777777777777778
clinc150,diag_mahalanobis_centroid,multisphere_selected_k,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.003508771929824563,0.01052631578947369,0.0,0.01052631578947369,0.0,0.8888888888888888
clinc150,energy,multisphere_selected_k,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.02881869444597898,0.013835431534512641,0.021083392774171494,0.0374878428296354,1.0,0.0
clinc150,energy,multisphere_selected_k,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.024337115937993124,0.031095106808464473,0.00494924986076302,0.04234469100993223,0.6666666666666666,0.0
clinc150,energy,multisphere_selected_k,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.08723712057922586,0.02035266894492783,-0.10074040483152324,-0.07626701011788733,1.0,0.0
clinc150,entropy,multisphere_selected_k,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.0329372235699353,0.020645468756973546,0.02101968612560765,0.04650087897574777,1.0,0.0
clinc150,entropy,multisphere_selected_k,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.036250510535598246,0.03856904928373894,0.011293329388285516,0.05828760616819828,0.7777777777777778,0.0
clinc150,entropy,multisphere_selected_k,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.09978928803490208,0.04219188482755943,-0.12762252854358117,-0.0754432841362666,1.0,0.0
clinc150,euclidean_centroid,multisphere_selected_k,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.0028465901602132446,0.010558569232068464,-0.002919193366920192,0.009646688375285966,0.4444444444444444,0.0
clinc150,euclidean_centroid,multisphere_selected_k,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.0073098022834864945,0.027186768744468216,-0.011365674603174595,0.02289852060707321,0.6666666666666666,0.0
clinc150,euclidean_centroid,multisphere_selected_k,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.02434038800705466,0.014075276090149868,0.01597268692564744,0.033698800821498176,0.0,0.0
clinc150,knn,multisphere_selected_k,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.022925973992784572,0.009346987566280976,-0.02900202311060884,-0.017448271569024704,0.0,0.0
clinc150,knn,multisphere_selected_k,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.001899006776199758,0.021140705656954455,-0.012244297085305826,0.014632095284507535,0.5555555555555556,0.0
clinc150,knn,multisphere_selected_k,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.04161830502181378,0.0387955449933753,0.016878853963612713,0.06538957056994334,0.1111111111111111,0.0
clinc150,lof,multisphere_selected_k,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.01766489123068767,0.008779573302403162,-0.022806341572867025,-0.011872824778917334,0.0,0.0
clinc150,lof,multisphere_selected_k,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.003422700269191497,0.030881068039662955,-0.023042428408985415,0.013685508911166815,0.5555555555555556,0.0
clinc150,lof,multisphere_selected_k,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.0613957347071382,0.04125106037503938,0.03595054244407315,0.08630774157616262,0.0,0.0
clinc150,msp,multisphere_selected_k,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.02816497494231687,0.019389260400452215,0.016659200653533768,0.040957785304774855,1.0,0.0
clinc150,msp,multisphere_selected_k,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.018471595655806177,0.03546068798712847,-0.0037799858442402424,0.03953724937343357,0.7777777777777778,0.0
clinc150,msp,multisphere_selected_k,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.08578859184999536,0.04853784845290287,-0.11718718091525109,-0.05838424417525298,1.0,0.0
clinc150,multisphere_k2,multisphere_selected_k,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.001160093079903773,0.0032529097014072496,-0.0006360948486512037,0.003426269116558588,0.4444444444444444,0.2222222222222222
clinc150,multisphere_k2,multisphere_selected_k,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.008081337603267433,0.014205010856700305,-0.0012727130325814553,0.016758216722361458,0.6666666666666666,0.2222222222222222
clinc150,multisphere_k2,multisphere_selected_k,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.026799313097558716,0.020251336753964788,-0.03950847721154739,-0.015456668871252207,0.7777777777777778,0.2222222222222222
banking77_oos,diag_mahalanobis_centroid,multisphere_selected_k,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.0010606143860191085,0.006057234969640246,-0.004506404672885211,0.0026944341041024045,0.1111111111111111,0.5555555555555556
