phase,dataset,kir,distance,k_gate,seed_count,intent_rows,fragmented_intent_rate,effective_k_mean,effective_k_std,wcss_per_sample_mean,wcss_per_sample_std,minimum_cluster_ratio_mean,minimum_cluster_ratio_std,silhouette_mean,silhouette_std,davies_bouldin_mean,davies_bouldin_std,calinski_harabasz_mean,calinski_harabasz_std
fixed,banking77_oos,25,euclidean,1,3,36,0.0,1.0,0.0,0.4603944449773263,0.06267390723133559,1.0,0.0,,,,,,
fixed,banking77_oos,25,euclidean,2,3,36,0.08333333333333333,2.0,0.0,0.38437178142202266,0.052899842306917196,0.313730682111191,0.09932318079524996,0.20465510737222278,0.07228380451101626,2.0371816361896475,0.4338306415681371,23.250254074851384,5.582720739499121
fixed,banking77_oos,25,euclidean,3,3,36,0.19444444444444445,3.0,0.0,0.3342819415199769,0.04684965880888122,0.1653456005862343,0.0744791326455916,0.1830414858259551,0.05589284935779181,1.9566477096583972,0.36859977891909124,21.92781027273865,5.487943375032978
fixed,banking77_oos,25,euclidean,4,3,36,0.6388888888888888,4.0,0.0,0.30376676700345534,0.04397715344125187,0.09136960843674213,0.04196809885665654,0.17564349482568134,0.05298437533544156,1.8832030888504565,0.29661567714602766,19.86792140381444,4.763087721318492
fixed,banking77_oos,25,euclidean,5,3,36,0.8055555555555556,5.0,0.0,0.28246026018208015,0.04244223273088529,0.06968147269785273,0.022978349950431794,0.16991697753874038,0.039511150433785024,1.867154697687504,0.2514606713232713,18.117055943841578,4.295141559190949
fixed,banking77_oos,25,mahalanobis_diag,1,3,36,0.0,1.0,0.0,0.4603944449773263,0.06267390723133559,1.0,0.0,,,,,,
fixed,banking77_oos,25,mahalanobis_diag,2,3,36,0.08333333333333333,2.0,0.0,0.38437178142202266,0.052899842306917196,0.313730682111191,0.09932318079524996,0.20465510737222278,0.07228380451101626,2.0371816361896475,0.4338306415681371,23.250254074851384,5.582720739499121
fixed,banking77_oos,25,mahalanobis_diag,3,3,36,0.19444444444444445,3.0,0.0,0.3342819415199769,0.04684965880888122,0.1653456005862343,0.0744791326455916,0.1830414858259551,0.05589284935779181,1.9566477096583972,0.36859977891909124,21.92781027273865,5.487943375032978
fixed,banking77_oos,25,mahalanobis_diag,4,3,36,0.6388888888888888,4.0,0.0,0.30376676700345534,0.04397715344125187,0.09136960843674213,0.04196809885665654,0.17564349482568134,0.05298437533544156,1.8832030888504565,0.29661567714602766,19.86792140381444,4.763087721318492
fixed,banking77_oos,25,mahalanobis_diag,5,3,36,0.8055555555555556,5.0,0.0,0.28246026018208015,0.04244223273088529,0.06968147269785273,0.022978349950431794,0.16991697753874038,0.039511150433785024,1.867154697687504,0.2514606713232713,18.117055943841578,4.295141559190949
