dataset,kir,method,cell_count,total_seconds_mean,total_seconds_std,scoring_seconds_mean,samples_per_second_mean,peak_rss_mb_mean,missing_scoring_time_count,complexity
banking77_oos,50,energy,1,nan,nan,0.0084860579906186,496084.8688057034,1235.5638020833333,0,method-dependent
banking77_oos,50,entropy,1,nan,nan,0.006774990344032,625505.9916909802,1235.5638020833333,0,method-dependent
banking77_oos,50,knn,1,nan,nan,0.0403009146587768,105684.8151187874,1235.5638020833333,0,method-dependent
banking77_oos,50,lof,1,nan,nan,0.1081462019938044,37848.88986604445,1238.3828125,0,method-dependent
banking77_oos,50,msp,1,nan,nan,0.0085143516577469,483502.465413513,1235.5638020833333,0,method-dependent
banking77_oos,50,multisphere_k1_euclidean,3,1.8209908983311227,0.06586467563590716,nan,nan,nan,3,O(M*K*h)
banking77_oos,50,multisphere_k1_mahalanobis_diag,3,0.7515119313320611,0.02304578072603134,nan,nan,nan,3,O(M*K*h)
banking77_oos,50,multisphere_k2_euclidean,3,0.9409333613390723,0.021902616160756255,nan,nan,nan,3,O(M*K*h)
banking77_oos,50,multisphere_k2_mahalanobis_diag,3,1.4871649369985487,0.006855152036645369,nan,nan,nan,3,O(M*K*h)
banking77_oos,50,multisphere_k5_euclidean,3,1.8439735469971008,0.008401357882655081,nan,nan,nan,3,O(M*K*h)
banking77_oos,50,multisphere_k5_mahalanobis_diag,3,3.2709145390059953,0.05857931917538844,nan,nan,nan,3,O(M*K*h)
clinc150,50,energy,1,nan,nan,0.0204067196561178,276290.4393743248,1238.8567708333333,0,method-dependent
clinc150,50,entropy,1,nan,nan,0.0140818356691549,392471.2114874005,1243.3450520833333,0,method-dependent
clinc150,50,knn,1,nan,nan,0.1183935616669866,46542.72726705399,1261.3502604166667,0,method-dependent
clinc150,50,lof,1,nan,nan,0.423961458329965,13114.083917969152,1263.16796875,0,method-dependent
clinc150,50,msp,1,nan,nan,0.0107823080082501,511849.4907757099,1223.8450520833333,0,method-dependent
clinc150,50,multisphere_k1_euclidean,3,2.787065380665202,1.1917347322180847,nan,nan,nan,3,O(M*K*h)
clinc150,50,multisphere_k1_mahalanobis_diag,3,2.6101211846689694,0.06114480505842061,nan,nan,nan,3,O(M*K*h)
clinc150,50,multisphere_k2_euclidean,3,3.2645465066695274,0.1892199748051135,nan,nan,nan,3,O(M*K*h)
clinc150,50,multisphere_k2_mahalanobis_diag,3,5.660587218328146,0.06634439227558925,nan,nan,nan,3,O(M*K*h)
clinc150,50,multisphere_k5_euclidean,3,7.164672978004091,0.16603494093192953,nan,nan,nan,3,O(M*K*h)
clinc150,50,multisphere_k5_mahalanobis_diag,3,13.060369411672582,0.05187626172732842,nan,nan,nan,3,O(M*K*h)
stackoverflow,50,energy,1,nan,nan,0.0083308233297429,721709.352620475,1264.375,0,method-dependent
stackoverflow,50,entropy,1,nan,nan,0.007830907338454,782706.6721190118,1264.375,0,method-dependent
stackoverflow,50,knn,1,nan,nan,0.1154271640019336,51987.052020563424,1264.375,0,method-dependent
stackoverflow,50,lof,1,nan,nan,0.3971016703289933,15088.141926331104,1270.5559895833333,0,method-dependent
stackoverflow,50,msp,1,nan,nan,0.0078390676741643,766309.4144622022,1264.375,0,method-dependent
stackoverflow,50,multisphere_k1_euclidean,3,2.398807065668128,0.1072731101056404,nan,nan,nan,3,O(M*K*h)
stackoverflow,50,multisphere_k1_mahalanobis_diag,3,0.50641085866179,0.012865447219629953,nan,nan,nan,3,O(M*K*h)
stackoverflow,50,multisphere_k2_euclidean,3,0.7492272816646922,0.04631158481406641,nan,nan,nan,3,O(M*K*h)
stackoverflow,50,multisphere_k2_mahalanobis_diag,3,1.051619825666421,0.013254975922017584,nan,nan,nan,3,O(M*K*h)
stackoverflow,50,multisphere_k5_euclidean,3,1.2702480633258044,0.0816520542927514,nan,nan,nan,3,O(M*K*h)
stackoverflow,50,multisphere_k5_mahalanobis_diag,3,2.031564255337192,0.059322868395846155,nan,nan,nan,3,O(M*K*h)
