phase,dataset,kir,distance,k_gate,seed_count,test_oos_f1_mean,test_oos_f1_std,test_id_recall_mean,test_id_recall_std,test_auroc_mean,test_auroc_std,test_aupr_oos_mean,test_aupr_oos_std,test_fpr95_mean,test_fpr95_std
fixed,banking77_oos,25,euclidean,1,3,0.8806413450521747,0.01364742864221221,0.8784722222222222,0.03463182677719911,0.9235800540123457,0.01626870687952748,0.9873074759757873,0.00347357779696621,0.32569444444444445,0.059887529617639976
fixed,banking77_oos,25,euclidean,2,3,0.8688507235036999,0.022992870866523227,0.8312499999999999,0.023477974311634658,0.8984766589506172,0.006696766693920748,0.9816315097905086,0.002991320702827305,0.38680555555555557,0.01980080198525453
fixed,banking77_oos,25,euclidean,3,3,0.8842282352346386,0.023095837929516666,0.8111111111111112,0.023965880453801967,0.8996548996913579,0.017519611394947152,0.9825400633102044,0.004693455604975229,0.40069444444444446,0.013555014788849407
fixed,banking77_oos,25,euclidean,4,3,0.9078809189420446,0.013624566018047042,0.7999999999999999,0.023199018178458403,0.907975887345679,0.014155516255249802,0.9852464275277241,0.003223705856423581,0.4451388888888889,0.04913899880648468
fixed,banking77_oos,25,euclidean,5,3,0.9194278519027752,0.010205852077548625,0.7909722222222223,0.03189156250890282,0.9130302854938271,0.012661346307466993,0.9865576588129762,0.002558280848345756,0.4548611111111111,0.0719378750754453
fixed,banking77_oos,25,mahalanobis_diag,1,3,0.9157798459993335,0.00797040650924405,0.8638888888888889,0.03854635857327202,0.9324481095679014,0.01351800340212639,0.9893962435447067,0.0023277845599243225,0.29375,0.041614550740496206
fixed,banking77_oos,25,mahalanobis_diag,2,3,0.9079520406410694,0.012528664947016818,0.8340277777777777,0.018672680082984377,0.9239878472222222,0.008918408992522414,0.9880501049743943,0.0019054715057152628,0.3145833333333333,0.0036084391824351483
fixed,banking77_oos,25,mahalanobis_diag,3,3,0.9235198755878086,0.008576348932109816,0.7930555555555555,0.01683938285136409,0.9196321373456792,0.010981520064710275,0.9874315733746153,0.0022256059564601405,0.35000000000000003,0.03467357703561091
fixed,banking77_oos,25,mahalanobis_diag,4,3,0.9412683202807992,0.008666628640940251,0.7555555555555555,0.02797671816456064,0.9237363040123457,0.010730474356420733,0.9880407441880846,0.0022227566671605293,0.3527777777777778,0.044013755215252276
fixed,banking77_oos,25,mahalanobis_diag,5,3,0.9479939422120305,0.007740134676652768,0.7319444444444444,0.017471868924179342,0.9311361882716049,0.0074692914071798735,0.9895325251578413,0.0014468725654950153,0.3458333333333334,0.06211688131614823
fixed,banking77_oos,50,euclidean,1,3,0.8006462564236198,0.013993638553779397,0.9016666666666667,0.01594783161854093,0.9005653679653678,0.0037885462182551195,0.9632321664381376,0.001674325905163421,0.42966666666666664,0.011015141094572214
fixed,banking77_oos,50,euclidean,2,3,0.8226468254218305,0.018295806046362995,0.8506666666666667,0.017387735140993316,0.8853194805194805,0.008780974085037885,0.9550342267379497,0.002898147291268444,0.47333333333333333,0.0336204302966713
fixed,banking77_oos,50,euclidean,3,3,0.835806286761259,0.008982443581247907,0.8253333333333334,0.019857828011475263,0.8757107142857142,0.004038027502566792,0.9526319431622068,0.0025962704879958403,0.5293333333333333,0.044071910933533805
fixed,banking77_oos,50,euclidean,4,3,0.8453748750661075,0.0054524636688247745,0.8106666666666666,0.023437861108329218,0.8763515151515152,0.0035006998844441094,0.9554885692437911,0.0030400425541379293,0.5710000000000001,0.04856953777832355
fixed,banking77_oos,50,euclidean,5,3,0.8560198827767068,0.005932707078511926,0.7996666666666666,0.015502687938977938,0.8777674242424243,0.008638875973151694,0.9564361780380267,0.003299876189913534,0.5936666666666667,0.07550717405209477
fixed,banking77_oos,50,mahalanobis_diag,1,3,0.8482265965039684,0.014431358608591224,0.8883333333333333,0.017925772879665017,0.9113760822510822,0.0022606288914913553,0.9679501153977047,0.0008350392085220992,0.39033333333333337,0.018583146486355125
fixed,banking77_oos,50,mahalanobis_diag,2,3,0.8557166723785059,0.01371241780163042,0.8610000000000001,0.020663978319771844,0.9084559523809523,0.005703660727294294,0.9669932115736998,0.00299486034693658,0.39399999999999996,0.015394804318340642
