phase,dataset,kir,data_seed,distance,k_gate,oos_source,bucket,validation_q20,validation_q80,known_test_count,bucket_oos_count,oos_precision,oos_recall,oos_f1,id_recall,oos_rejection,auroc,aupr_oos,fpr95
tuned,clinc150,25,42,euclidean,2,combined,near,0.5033885012989787,0.7151275370403948,1140,805,0.7305825242718447,0.7478260869565218,0.7391037446286065,0.8052631578947368,0.7478260869565218,0.8563964258472267,0.8043704938536135,0.55
tuned,clinc150,25,42,euclidean,2,combined,medium,0.5033885012989787,0.7151275370403948,1140,2367,0.911377245508982,0.964512040557668,0.937192118226601,0.8052631578947368,0.964512040557668,0.9480929298319732,0.963210482226259,0.1675438596491228
tuned,clinc150,25,42,euclidean,2,combined,far,0.5033885012989787,0.7151275370403948,1140,1188,0.8425531914893617,1.0,0.9145496535796768,0.8052631578947368,1.0,0.9733667080158308,0.9543218786981064,0.0631578947368421
tuned,clinc150,25,42,euclidean,2,heldout_unknown,near,0.5033885012989787,0.7151275370403948,1140,761,0.7204030226700252,0.7516425755584757,0.7356913183279743,0.8052631578947368,0.7516425755584757,0.8573990824630564,0.7962144595473447,0.5394736842105263
tuned,clinc150,25,42,euclidean,2,heldout_unknown,medium,0.5033885012989787,0.7151275370403948,1140,2002,0.8966480446927374,0.962037962037962,0.9281927710843374,0.8052631578947368,0.962037962037962,0.9457511786459156,0.954732005301512,0.1736842105263158
tuned,clinc150,25,42,euclidean,2,heldout_unknown,far,0.5033885012989787,0.7151275370403948,1140,597,0.7289377289377289,1.0,0.8432203389830508,0.8052631578947368,1.0,0.9716770989450176,0.91095214610304,0.0684210526315789
tuned,clinc150,25,42,euclidean,2,native_oos,near,0.5033885012989787,0.7151275370403948,1140,44,0.119047619047619,0.6818181818181818,0.2027027027027027,0.8052631578947368,0.6818181818181818,0.839055023923445,0.3390920310344417,0.55
tuned,clinc150,25,42,euclidean,2,native_oos,medium,0.5033885012989787,0.7151275370403948,1140,365,0.616580310880829,0.978082191780822,0.7563559322033898,0.8052631578947368,0.978082191780822,0.9609372746935834,0.8484408747288942,0.1245614035087719
tuned,clinc150,25,42,euclidean,2,native_oos,far,0.5033885012989787,0.7151275370403948,1140,591,0.7269372693726938,1.0,0.8418803418803419,0.8052631578947368,1.0,0.975073470478226,0.915407986971839,0.0596491228070175
tuned,clinc150,25,42,mahalanobis_diag,2,combined,near,0.5033885012989787,0.7151275370403948,1140,805,0.7259615384615384,0.7503105590062111,0.7379352474037875,0.8,0.7503105590062111,0.8453775743707094,0.7425092374159619,0.512280701754386
