phase,dataset,distance,reference_k,target_k,metric,better_direction,paired_cells,pair_count,mean_delta,std_delta,ci95_low,ci95_high,win_rate,tie_rate
fixed,clinc150,euclidean,1,2,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.00582971437350092,0.005095549630905288,0.0025183416344305544,0.008664993951259888,0.8888888888888888,0.0
fixed,clinc150,euclidean,1,2,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.028092476561774826,0.011447334588577586,-0.03436287942077418,-0.020771484846375244,0.0,0.0
fixed,clinc150,euclidean,1,2,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.038513157894736846,0.019575409799057166,-0.05129047619047621,-0.027358747563352843,1.0,0.0
fixed,clinc150,euclidean,1,3,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.002507545868028766,0.007974008558944711,-0.002732315407027609,0.007237733771349048,0.6666666666666666,0.0
fixed,clinc150,euclidean,1,3,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.04610326742782886,0.014260638494201327,-0.05259333635013461,-0.03646038475819182,0.0,0.0
fixed,clinc150,euclidean,1,3,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.029940244128840623,0.018543789763645777,-0.04200191972988025,-0.018882034368328224,1.0,0.0
fixed,clinc150,euclidean,1,4,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.005742216413618027,0.013445046483027816,-0.014231356803766804,0.001888203255864566,0.4444444444444444,0.0
fixed,clinc150,euclidean,1,4,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.09306177480738886,0.010338626245521705,-0.0983360809430985,-0.08627274436090228,0.0,0.0
fixed,clinc150,euclidean,1,4,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.013672096908939014,0.02246162933622313,-0.027878775642810733,3.233778891668317e-06,0.7777777777777778,0.0
fixed,clinc150,euclidean,1,5,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.010986045876767263,0.016982779399370186,-0.021674342241560278,-0.0010158613282555714,0.4444444444444444,0.0
fixed,clinc150,euclidean,1,5,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.12087250533741765,0.010396277284715474,-0.12681575466443892,-0.11447322240787157,0.0,0.0
fixed,clinc150,euclidean,1,5,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.013334215167548506,0.025308792423650396,-0.028394710735171268,0.0013912681008075647,0.6666666666666666,0.0
fixed,clinc150,mahalanobis_diag,1,2,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.0017354199666409498,0.007607076576689457,-0.0064103907229915505,0.002828547819591883,0.5555555555555556,0.0
fixed,clinc150,mahalanobis_diag,1,2,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.03383560753736192,0.012127091497229885,-0.0402407407407407,-0.025671726190476227,0.0,0.0
fixed,clinc150,mahalanobis_diag,1,2,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.0235408428478604,0.019483024522825274,-0.036019808781212304,-0.011791423001949342,0.8888888888888888,0.0
fixed,clinc150,mahalanobis_diag,1,3,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.010592853951959672,0.014167648354394966,-0.019182224000286484,-0.002284287008867574,0.2222222222222222,0.0
