dataset,kir,data_seed,distance,k_gate,random_repeat_count,kmeans_test_oos_f1,random_test_oos_f1_mean,random_test_oos_f1_std,delta_semantic_kmeans_minus_random,random_test_id_recall_mean,kmeans_test_id_recall,random_test_auroc_mean,random_test_fpr95_mean,random_minimum_cluster_ratio_mean
banking77_oos,50,13,euclidean,2,5,0.8322440087145969,0.786893591795824,0.005031458675389063,0.04535041691877295,0.921,0.864,0.9026577922077921,0.44699999999999995,0.06201550387596899
banking77_oos,50,13,euclidean,4,5,0.8459900638750887,0.7859309087736236,0.005431558752609596,0.06005915510146509,0.9084000000000001,0.828,0.8952346753246753,0.46020000000000005,0.020618556701030927
banking77_oos,50,13,mahalanobis_diag,2,5,0.8494430470715055,0.8344306857248656,0.003523441031659924,0.015012361346639969,0.907,0.878,0.9128396103896103,0.409,0.06201550387596899
banking77_oos,50,13,mahalanobis_diag,4,5,0.8882861501949483,0.841622163293892,0.006633235022983451,0.04666398690105633,0.9036,0.801,0.9145445454545454,0.39859999999999995,0.020618556701030927
banking77_oos,50,42,euclidean,2,5,0.8015492438214681,0.806796727557358,0.0066439819505208445,-0.005247483735889902,0.9008,0.831,0.901229935064935,0.4098,0.07801418439716312
banking77_oos,50,42,mahalanobis_diag,2,5,0.8462633451957295,0.859784823006738,0.003689157876480589,-0.013521477811008431,0.8757999999999999,0.838,0.9139250649350649,0.37039999999999995,0.07801418439716312
banking77_oos,50,42,mahalanobis_diag,5,5,0.9048397645519948,0.8711395166692844,0.006056431221703446,0.03370024788271042,0.8703999999999998,0.731,0.9164326623376624,0.36819999999999997,0.041666666666666664
banking77_oos,50,87,euclidean,2,5,0.8341472237294266,0.7902566283615915,0.00830869838655473,0.04389059536783513,0.8949999999999999,0.857,0.8956047402597402,0.42400000000000004,0.06201550387596899
banking77_oos,50,87,mahalanobis_diag,2,5,0.8714436248682824,0.8515182461078954,0.0030051195121607098,0.019925378760387025,0.8799999999999999,0.867,0.9107961688311688,0.38039999999999996,0.06201550387596899
clinc150,50,13,euclidean,2,5,0.871441150572351,0.8626564349922743,0.0020497467421010133,0.008784715580076763,0.7705777777777777,0.7355555555555555,0.9092551658119656,0.37839999999999996,0.1
clinc150,50,13,mahalanobis_diag,2,5,0.8714347140604844,0.872008117746556,0.0025792163249615065,-0.0005734036860715053,0.7292444444444446,0.6946666666666667,0.904193723076923,0.35715555555555556,0.1
clinc150,50,42,euclidean,2,5,0.8841064417623964,0.8771530704366656,0.003417233660114956,0.006953371325730817,0.7767999999999999,0.7391111111111112,0.9091211487179487,0.33048888888888894,0.13
clinc150,50,42,mahalanobis_diag,2,5,0.8783745382210856,0.8825741009196719,0.0020810224202507275,-0.0041995626985863455,0.7264888888888889,0.6902222222222222,0.9065887179487179,0.3038222222222222,0.13
clinc150,50,87,euclidean,2,5,0.8969132207338381,0.8899866242622476,0.001736424755742901,0.0069265964715904405,0.7883555555555557,0.7608888888888888,0.9279603965811966,0.28631111111111107,0.1
clinc150,50,87,mahalanobis_diag,2,5,0.8922419928825622,0.8897679218108905,0.002265262010413961,0.0024740710716717462,0.739911111111111,0.7151111111111111,0.9156502153846153,0.27226666666666666,0.1
stackoverflow,50,13,euclidean,2,5,0.6292180238432007,0.7272877992413409,0.005653319747898703,-0.09806977539814021,0.8791054739652872,0.8671562082777036,0.8916026980529818,0.2652870493991989,0.18530884808013356
stackoverflow,50,13,mahalanobis_diag,2,5,0.735515425131678,0.764295041780996,0.0037832711924373616,-0.02877961664931805,0.8354472630173566,0.8775033377837116,0.8832265331731554,0.27610146862483315,0.18530884808013356
stackoverflow,50,42,euclidean,2,5,0.7304412309974045,0.8351464478099683,0.0019341132481181104,-0.10470521681256373,0.8652856665552957,0.8573337788172403,0.9166414883532603,0.24376879385232209,0.2888146911519199
stackoverflow,50,42,mahalanobis_diag,2,5,0.7940709370037057,0.8441751320463713,0.0013909020370926144,-0.05010419504266561,0.8365519545606415,0.8596725693284331,0.9158120365604496,0.24951553625125295,0.2888146911519199
stackoverflow,50,87,euclidean,2,5,0.5842836408874145,0.731562831738715,0.002740708392529959,-0.14727919085130048,0.8692050768203072,0.8603874415497662,0.8797458289966672,0.29124916499666004,0.18530884808013356
stackoverflow,50,87,mahalanobis_diag,2,5,0.6543630892678034,0.7575845565430013,0.002257251391408782,-0.10322146727519788,0.829258517034068,0.8804275217100869,0.8677116805930508,0.30527722110888444,0.18530884808013356
