dataset,kir,data_seed,distance,selected_k,validation_oos_f1,validation_id_recall,validation_fpr95,guard_violation
banking77_oos,25,13,euclidean,1,0.8598745144905886,0.8864864864864865,0.36486486486486486,False
banking77_oos,25,13,mahalanobis_diag,1,0.8992826398852224,0.8594594594594595,0.33783783783783783,False
banking77_oos,25,42,euclidean,5,0.8797412525727727,0.8850267379679144,0.3689839572192513,False
banking77_oos,25,42,mahalanobis_diag,5,0.9057576625608708,0.8716577540106952,0.28342245989304815,False
banking77_oos,25,87,euclidean,1,0.8686217008797655,0.850415512465374,0.3462603878116344,False
banking77_oos,25,87,mahalanobis_diag,4,0.9067269643866591,0.8365650969529086,0.3296398891966759,False
banking77_oos,50,13,euclidean,4,0.714828897338403,0.9085133418043202,0.6175349428208387,False
banking77_oos,50,13,mahalanobis_diag,4,0.7742971887550201,0.9021601016518425,0.4866581956797967,False
banking77_oos,50,42,euclidean,1,0.7480977172607128,0.8985313751668892,0.4152202937249666,False
banking77_oos,50,42,mahalanobis_diag,5,0.8050075872534143,0.8825100133511349,0.4379172229639519,False
banking77_oos,50,87,euclidean,2,0.7297734627831716,0.888,0.5173333333333333,False
banking77_oos,50,87,mahalanobis_diag,1,0.7968036529680366,0.8733333333333333,0.36666666666666664,False
banking77_oos,75,13,euclidean,1,0.6805633802816902,0.9157351676698194,0.4995700773860705,False
banking77_oos,75,13,mahalanobis_diag,1,0.7379565907887772,0.8976784178847808,0.470335339638865,False
banking77_oos,75,42,euclidean,1,0.7350608143839239,0.9075043630017452,0.4650959860383944,False
banking77_oos,75,42,mahalanobis_diag,1,0.7792860734037205,0.8917975567190227,0.42670157068062825,False
banking77_oos,75,87,euclidean,1,0.6908893709327549,0.8963414634146342,0.47909407665505227,False
banking77_oos,75,87,mahalanobis_diag,1,0.7421188630490956,0.8876306620209059,0.45993031358885017,False
clinc150,25,13,euclidean,1,0.9362975630611372,0.8052631578947368,0.23026315789473684,False
clinc150,25,13,mahalanobis_diag,1,0.9399870939987094,0.8368421052631579,0.20394736842105263,False
clinc150,25,42,euclidean,2,0.9355116079105761,0.8210526315789474,0.21973684210526315,False
clinc150,25,42,mahalanobis_diag,2,0.9364063166880068,0.8,0.21973684210526315,False
clinc150,25,87,euclidean,2,0.9247498912570683,0.8263157894736842,0.2578947368421053,False
clinc150,25,87,mahalanobis_diag,2,0.924080922340657,0.825,0.2631578947368421,False
clinc150,50,13,euclidean,1,0.8487290762554246,0.8286666666666667,0.36333333333333334,False
clinc150,50,13,mahalanobis_diag,1,0.8503793626707132,0.804,0.3313333333333333,False
clinc150,50,42,euclidean,1,0.842720837180671,0.8133333333333334,0.42,False
clinc150,50,42,mahalanobis_diag,1,0.8440366972477065,0.8066666666666666,0.3913333333333333,False
clinc150,50,87,euclidean,2,0.8664475649835673,0.802,0.282,False
clinc150,50,87,mahalanobis_diag,1,0.8598187311178248,0.8086666666666666,0.26666666666666666,False
clinc150,75,13,euclidean,4,0.6984667802385008,0.8723214285714286,0.4,False
clinc150,75,13,mahalanobis_diag,1,0.7006496751624188,0.8035714285714286,0.44375,False
clinc150,75,42,euclidean,2,0.739413680781759,0.865625,0.3513392857142857,False
clinc150,75,42,mahalanobis_diag,1,0.732994923857868,0.8267857142857142,0.35625,False
clinc150,75,87,euclidean,2,0.7100656455142232,0.8575892857142857,0.4799107142857143,False
clinc150,75,87,mahalanobis_diag,1,0.6878850102669405,0.8133928571428571,0.5741071428571428,False
stackoverflow,25,13,euclidean,1,0.9596293845135672,0.852,0.128,False
stackoverflow,25,13,mahalanobis_diag,1,0.9603436880370125,0.85,0.108,False
stackoverflow,25,42,euclidean,1,0.909853249475891,0.876,0.256,False
stackoverflow,25,42,mahalanobis_diag,1,0.9197130167406902,0.834,0.252,False
stackoverflow,25,87,euclidean,1,0.9388306860425819,0.856,0.184,False
stackoverflow,25,87,mahalanobis_diag,1,0.9379635873229939,0.846,0.172,False
stackoverflow,50,13,euclidean,1,0.7526403557531962,0.8777555110220441,0.23947895791583165,False
stackoverflow,50,13,mahalanobis_diag,2,0.7949659150498165,0.8507014028056112,0.29158316633266534,False
stackoverflow,50,42,euclidean,1,0.8487654320987654,0.8807615230460922,0.22645290581162325,False
stackoverflow,50,42,mahalanobis_diag,1,0.8527363184079602,0.8466933867735471,0.23446893787575152,False
stackoverflow,50,87,euclidean,1,0.7359017308766053,0.8677354709418837,0.2755511022044088,False
stackoverflow,50,87,mahalanobis_diag,1,0.7458885941644562,0.8176352705410822,0.29759519038076154,False
stackoverflow,75,13,euclidean,1,0.5606694560669456,0.8744993324432577,0.24699599465954605,False
stackoverflow,75,13,mahalanobis_diag,3,0.6123959296947271,0.8331108144192256,0.3758344459279039,False
stackoverflow,75,42,euclidean,1,0.6817733990147783,0.8871829105473965,0.27236315086782376,False
stackoverflow,75,42,mahalanobis_diag,2,0.6593001841620626,0.8477970627503337,0.34579439252336447,False
stackoverflow,75,87,euclidean,1,0.658753709198813,0.8811748998664887,0.4232309746328438,False
stackoverflow,75,87,mahalanobis_diag,1,0.6526891522333638,0.8404539385847797,0.4259012016021362,False
