dataset,kir,variant,n_seeds,mean_oos_f1,std_oos_f1,mean_oos_precision,std_oos_precision,mean_oos_recall,std_oos_recall,mean_f1_all,std_f1_all,mean_f1_u,std_f1_u,mean_f1_k,std_f1_k,mean_accuracy,std_accuracy,mean_id_recall,std_id_recall,mean_auroc,std_auroc,mean_aupr_oos,std_aupr_oos,mean_fpr95,std_fpr95,mean_false_accept_rate,std_false_accept_rate,mean_false_reject_rate,std_false_reject_rate,mean_effective_cluster_count,std_effective_cluster_count,mean_minimum_cluster_size,std_minimum_cluster_size,mean_scoring_seconds,std_scoring_seconds,mean_samples_per_second,std_samples_per_second,mean_selected_balls,std_selected_balls,mean_filtered_balls,std_filtered_balls,mean_mean_balls_per_intent,std_mean_balls_per_intent,mean_mean_ball_radius,std_mean_ball_radius,mean_delta_vs_reference_oos_f1,std_delta_vs_reference_oos_f1,mean_delta_vs_single_oos_f1,std_delta_vs_single_oos_f1,mean_delta_vs_reference_false_accept_rate,std_delta_vs_reference_false_accept_rate,mean_delta_vs_single_false_accept_rate,std_delta_vs_single_false_accept_rate
banking77,0.25,default_mahalanobis_mean,5,0.900614314790511,0.003997525867502805,0.8270793947871808,0.005776933275117776,0.9885344827586205,0.00514179153739539,0.5313369825711074,0.03204082315112256,0.900614314790511,0.003997525867502805,0.5119013335069283,0.03354069965159743,0.8353896103896105,0.007157599897743068,0.3689473684210526,0.025810947021556244,0.8891362295825772,0.013347129856345565,0.9493217374739572,0.008310553810432948,0.3605263157894737,0.018677723113918934,0.01146551724137931,0.005141791537395397,0.6310526315789474,0.025810947021556244,43.4,5.683308895353129,10.0,0.0,0.24055135479429737,0.045870486480999804,13294.58544519253,3235.892372458921,43.4,5.683308895353129,204.8,25.946097972527586,2.2842105263157895,0.2991215208080595,0.5036967729902322,0.010605832278528023,-0.0023776577252561104,0.0016441346328226905,0.04889060544195276,0.025923804712954444,-0.00353448275862069,0.002502228495465516,-0.20689655172413796,0.042241379310344836
banking77,0.25,default_mean_std,5,0.9142495277743048,0.005409869261180829,0.8910781368935344,0.00898786642240874,0.938706896551724,0.005094601488652536,0.7131081311027104,0.03297227106321498,0.9142495277743048,0.005409869261180829,0.7025217418042055,0.03443107620871578,0.8659740259740261,0.009725096422229285,0.6494736842105263,0.032425602038975744,0.8800010208711434,0.021561495798966122,0.9427130423824843,0.01419285605176378,0.38526315789473686,0.03055352689199999,0.06129310344827586,0.005094601488652547,0.3505263157894737,0.03242560203897573,43.4,5.683308895353129,10.0,0.0,0.17352796618361027,0.048669328953595936,18825.914175763188,4856.0045465224875,43.4,5.683308895353129,204.8,25.946097972527586,2.2842105263157895,0.2991215208080595,0.5036967729902322,0.010605832278528023,0.011257555258537555,0.004951237211473962,0.06252581842574642,0.024759276134487217,0.04629310344827586,0.010923982006462973,-0.1570689655172414,0.040973903051482595
banking77,0.25,get_085,5,0.9011922345853065,0.005637537925087151,0.8298182264651984,0.005493244636182592,0.9860344827586207,0.008693656714123265,0.5199842020145683,0.032154693884589663,0.9011922345853065,0.005637537925087151,0.49992062135295046,0.03358927837794962,0.8366883116883116,0.00946026122359316,0.3826315789473684,0.022587932208160244,0.8226969147005445,0.032881823194979745,0.9087265987556867,0.02152790519569412,0.45394736842105265,0.07068006610885669,0.01396551724137931,0.008693656714123246,0.6173684210526316,0.022587932208160244,33.0,8.336666000266533,10.8,1.7888543819998317,0.14706208978313953,0.06147009755030075,24257.592778636375,10133.572683828286,33.0,8.336666000266533,125.8,21.568495543268657,1.9142027863777091,0.44926297907744694,0.5288978546517626,0.014441936851338162,-0.0017997379304606875,0.004516799409146838,0.04946852523674818,0.025495934278664624,-0.0010344827586206901,0.0076476741780058186,-0.20439655172413795,0.04410622345748196
banking77,0.25,get_090,5,0.9074913697628281,0.005170451404126662,0.845843532978791,0.006219097714915319,0.9788793103448276,0.008069674666745302,0.6046279573492428,0.026705590772930925,0.9074913697628281,0.005170451404126662,0.5886877777485278,0.027888805108923633,0.8493506493506493,0.00836629787449685,0.4552631578947368,0.02601805254379631,0.8714644963702358,0.024333649663786993,0.9371773073068965,0.01303884633789442,0.3863157894736842,0.05252126597390228,0.021120689655172414,0.008069674666745283,0.5447368421052632,0.02601805254379631,42.0,2.345207879911715,10.0,0.0,0.1435834188014269,0.026177300218952978,22025.487495472054,3968.9579210435977,42.0,2.345207879911715,145.8,22.038602496528675,2.2105263157894735,0.12343199367956394,0.5236327232155082,0.01037393722162239,0.004499397247060921,0.0018971861049500562,0.055767660414269796,0.025487188583303476,0.006120689655172413,0.00423862750653087,-0.19724137931034483,0.038560846878790314
banking77,0.25,get_095,5,0.9050548386532208,0.0044327387925030114,0.838700176836163,0.005058715993550493,0.982844827586207,0.007130983208646464,0.5793147829789076,0.024088964686307873,0.9050548386532208,0.0044327387925030114,0.5621705695223648,0.02517369769695202,0.8443506493506494,0.007218460573261528,0.42289473684210527,0.021572527928335982,0.8588805580762251,0.023736891315010084,0.9286205357213833,0.013520223463230655,0.4044736842105263,0.044723295162520244,0.017155172413793104,0.00713098320864645,0.5771052631578948,0.021572527928335982,39.0,3.24037034920393,10.0,0.0,0.21457236022688447,0.08324475040087322,16010.862013912138,5536.500634739185,39.0,3.24037034920393,183.0,29.690065678607045,2.0526315789473686,0.17054580785283852,0.5119584821670287,0.009731586809461894,0.002062866137453634,0.0007913830750986067,0.05333112930466251,0.025312611764595733,0.002155172413793103,0.001998624675753383,-0.20120689655172413,0.04026586547823178
banking77,0.25,min_get_10,5,0.903279147355966,0.004509057225884401,0.8337931136800154,0.005274247153613143,0.9854310344827587,0.006756388178075727,0.5584837971435785,0.028629895311731136,0.903279147355966,0.004509057225884401,0.5403366734481898,0.0299498405373806,0.8405194805194804,0.007549661299101578,0.4002631578947368,0.02251115451420311,0.8727403584392015,0.016778062904966584,0.9370984565862905,0.011863456075941,0.3905263157894737,0.02481580342690907,0.014568965517241381,0.006756388178075758,0.5997368421052631,0.02251115451420311,42.4,5.128352561983234,10.0,0.0,0.16014410461066292,0.03694855826518759,19948.840857912648,3942.263707073481,42.4,5.128352561983234,154.8,19.791412279066897,2.2315789473684213,0.26991329273595976,0.5076078771367152,0.005656942172800846,0.0002871748401988228,0.001688110972010989,0.051555438007407695,0.025312769984527854,-0.000431034482758621,0.0019033967384327246,-0.2037931034482759,0.041952743642909185
banking77,0.25,min_get_20,5,0.9024879945931599,0.004271876031629017,0.8339318532901517,0.005262455367762977,0.9833620689655171,0.006832950261393164,0.558377055085644,0.028144749343973936,0.9024879945931599,0.004271876031629017,0.540265953006301,0.02945149469255822,0.8395454545454545,0.007333638708331263,0.40210526315789474,0.023046983206117203,0.8665349364791288,0.01667705248255896,0.9326893686506181,0.011363949359114767,0.40631578947368424,0.030652529460500802,0.01663793103448276,0.006832950261393171,0.5978947368421053,0.023046983206117203,42.0,4.183300132670378,10.0,0.0,0.1398696457850747,0.02020441929882353,22391.599060404344,3220.7343926853764,42.0,4.183300132670378,120.6,11.970797801316335,2.2105263157894735,0.22017369119317787,0.5167301359330889,0.007989917939650948,-0.0005039779226073237,0.0007189486441689192,0.05076428524460155,0.025473636248107716,0.0016379310344827585,0.0017078976513930123,-0.20172413793103447,0.04105363034865254
banking77,0.25,min_select_20,5,0.8975176467592719,0.003984214360947152,0.8242149556601441,0.0061822629275226585,0.9851724137931035,0.005186761709134932,0.5073017592017333,0.039529590169065536,0.8975176467592719,0.003984214360947152,0.4867640809092311,0.04142709205239271,0.8303246753246754,0.007196522135613297,0.358421052631579,0.02804515057749071,0.8326871597096188,0.03070956914127238,0.9152627385477468,0.018549156676905248,0.44421052631578944,0.040763998836081256,0.01482758620689655,0.005186761709134939,0.641578947368421,0.02804515057749071,25.6,2.8809720581775866,20.4,0.5477225575051661,0.1285041667986661,0.01717023955793941,24322.00005824872,3327.6959175931624,25.6,2.8809720581775866,222.6,29.74558790812513,1.4377364981080152,0.14516857086858634,0.5246903550041109,0.00712488164495813,-0.005474325756495313,0.002308984959325414,0.04579393741071356,0.02534648977938127,-0.00017241379310344861,0.0019179823673523273,-0.20353448275862068,0.04156231979657501
banking77,0.25,min_select_5,5,0.9060941856743903,0.004319490662640376,0.8396739706322084,0.00627922890538063,0.9839655172413793,0.005873783933140731,0.5852686239064446,0.027211606055050512,0.9060941856743903,0.004319490662640376,0.5683830680239211,0.02845135391131327,0.8459740259740259,0.007405871911902767,0.42631578947368426,0.02707778372007456,0.89036694646098,0.009024063495457344,0.9481480744809462,0.005552528435519084,0.3676315789473684,0.026798209722317827,0.01603448275862069,0.005873783933140745,0.5736842105263158,0.02707778372007456,75.0,9.137833441248533,5.0,0.0,0.20969293280504644,0.028493892171216624,14926.052572086406,2203.2395108144538,75.0,9.137833441248533,173.2,22.58760722166029,3.9473684210526314,0.4809386021709753,0.4833546060595128,0.012544318881421724,0.0031022131586229797,0.0030339216695971474,0.05437047632583185,0.025977536822533044,0.0010344827586206897,0.0011645910419057154,-0.20232758620689656,0.04016908377496127
banking77,0.25,select_085,5,0.9029919725157672,0.004345545482740988,0.8336117780827899,0.00526471222680481,0.985,0.006410687049164862,0.5587572321670984,0.029774536226248087,0.9029919725157672,0.004345545482740988,0.5406396142540106,0.031148861337724744,0.8401948051948052,0.007490084523308217,0.39973684210526317,0.02262622335652818,0.8690423094373866,0.02554765002981928,0.9361930928934459,0.01572097021701174,0.39473684210526316,0.028932412404336874,0.015,0.0064106870491648996,0.6002631578947368,0.02262622335652818,43.4,5.683308895353129,10.0,0.0,0.16992819220758976,0.036662526686793914,18800.863494718084,3957.51323314005,43.4,5.683308895353129,204.8,25.946097972527586,2.2842105263157895,0.2991215208080595,0.5036967729902322,0.010605832278528023,0.0,0.0,0.05126826316720887,0.025027078596756066,0.0,0.0,-0.20336206896551726,0.04031082784879188
