dataset,kir,variant,reference,metric,n_pairs,mean_delta,median_delta,std_delta,ci95_low,ci95_high,wins,ties,losses,paired_t_p,wilcoxon_p,cohen_dz
clinc150,0.25,get_085,reference,oos_f1,5,-0.0032619223743073577,-0.003160341945072531,0.0016744269817501058,-0.004566198338290706,-0.00195764641032401,0,0,5,0.012099574277726568,0.0625,-1.9480827828622342
clinc150,0.25,get_085,reference,f1_all,5,-0.050721321747084235,-0.046811201533863755,0.01709480901446852,-0.06598200516092056,-0.040581269407083086,0,0,5,0.002678145437739213,0.0625,-2.9670598661941923
clinc150,0.25,get_085,reference,id_recall,5,-0.021403508771929848,-0.01754385964912286,0.011379867531810342,-0.03175438596491231,-0.014736842105263204,0,0,5,0.01363377171397167,0.0625,-1.8808223129223822
clinc150,0.25,get_085,reference,false_accept_rate,5,0.0019298245614035093,0.001535087719298246,0.0021841929119278476,0.0004824561403508775,0.003728070175438597,4,0,1,0.11939340407967448,0.125,0.883541261792749
clinc150,0.25,get_085,reference,false_reject_rate,5,0.021403508771929848,0.01754385964912286,0.011379867531810342,0.014736842105263204,0.03175438596491231,5,0,0,0.01363377171397167,0.0625,1.8808223129223822
clinc150,0.25,get_085,reference,effective_cluster_count,5,-16.4,-19.0,9.235799911215054,-23.6,-9.4,0,0,5,0.016530624411673845,0.0625,-1.7756989278303268
clinc150,0.25,get_090,reference,oos_f1,5,0.003623567350481216,0.0029826897036089317,0.0013380680367326557,0.002699295038088456,0.0047957512780342215,5,0,0,0.0037538204408828213,0.0625,2.7080591203190068
clinc150,0.25,get_090,reference,f1_all,5,0.04077923248203741,0.035011895775036495,0.014954469199520076,0.030485913713294586,0.05249236030566222,5,0,0,0.0036594750501923257,0.0625,2.7268926725494285
clinc150,0.25,get_090,reference,id_recall,5,0.04684210526315791,0.04385964912280704,0.010610047097690206,0.04017543859649124,0.05596491228070175,5,0,0,0.0005907383181725465,0.0625,4.414881935194743
clinc150,0.25,get_090,reference,false_accept_rate,5,0.002850877192982456,0.0024122807017543857,0.0010402229145290722,0.0020614035087719294,0.003684210526315789,5,0,0,0.0035924402802519277,0.0625,2.7406406388125952
