dataset,kir,variant,reference,metric,n_pairs,mean_delta,median_delta,std_delta,ci95_low,ci95_high,wins,ties,losses,paired_t_p,wilcoxon_p,cohen_dz
clinc150,0.25,get_085,single,oos_f1,5,-0.021498069465136792,-0.020317799977204842,0.005301575209304517,-0.026208071837261503,-0.017664486228234556,0,0,5,0.0008199990194948826,0.0625,-4.055034327798775
clinc150,0.25,get_085,single,f1_all,5,-0.31270765348872714,-0.31860937022136887,0.022235776377477406,-0.32890884915454466,-0.2963767420887647,0,0,5,6.094585690994187e-06,0.0625,-14.06326670048132
clinc150,0.25,get_085,single,id_recall,5,-0.4298245614035087,-0.4342105263157895,0.021180169241490587,-0.44438596491228066,-0.4117543859649123,0,0,5,1.410455187557999e-06,0.0625,-20.293726480783263
clinc150,0.25,get_085,single,false_accept_rate,5,-0.0518421052631579,-0.05701754385964912,0.012649726547141306,-0.06114035087719298,-0.04140350877192983,0,0,5,0.0007872128827097515,0.0625,-4.098278731161475
clinc150,0.25,get_085,single,false_reject_rate,5,0.4298245614035087,0.4342105263157895,0.0211801692414906,0.4117543859649123,0.44438596491228066,5,0,0,1.4104551875580042e-06,0.0625,20.293726480783253
clinc150,0.25,get_085,single,effective_cluster_count,5,12.4,18.0,9.6591925128346,4.6,19.6,4,1,0,0.04544319167006907,0.125,1.2837512021345021
clinc150,0.25,get_090,single,oos_f1,5,-0.014612579740348219,-0.01337512062776991,0.006209595548039341,-0.020128567848185862,-0.010271572175926868,0,0,5,0.006246113492304975,0.0625,-2.353225685521836
clinc150,0.25,get_090,single,f1_all,5,-0.22120709925960552,-0.2125639213466073,0.021326615379673196,-0.23768437485628965,-0.20472982366292142,0,0,5,2.0480451122923865e-05,0.0625,-10.372349072813599
clinc150,0.25,get_090,single,id_recall,5,-0.36157894736842106,-0.369298245614035,0.018141148307831763,-0.37491228070175436,-0.3466666666666666,0,0,5,1.5156592362630932e-06,0.0625,-19.931425576424115
clinc150,0.25,get_090,single,false_accept_rate,5,-0.05092105263157894,-0.0543859649122807,0.012518645681108446,-0.06017543859649123,-0.040307017543859645,0,0,5,0.0008102877053333208,0.0625,-4.067616731770158
clinc150,0.25,get_090,single,false_reject_rate,5,0.36157894736842106,0.36929824561403507,0.01814114830783177,0.3466666666666666,0.3749122807017544,5,0,0,1.5156592362630932e-06,0.0625,19.931425576424108
