dataset,kir,k,planned_seeds,complete_seeds,missing_or_invalid_seeds,mean_oos_f1,std_oos_f1,mean_oos_precision,std_oos_precision,mean_oos_recall,std_oos_recall,mean_f1_all,std_f1_all,mean_f1_u,std_f1_u,mean_f1_k,std_f1_k,mean_accuracy,std_accuracy,mean_id_recall,std_id_recall,mean_auroc,std_auroc,mean_aupr_oos,std_aupr_oos,mean_fpr95,std_fpr95,mean_false_accept_rate,std_false_accept_rate,mean_false_reject_rate,std_false_reject_rate,mean_effective_cluster_count,std_effective_cluster_count,mean_minimum_cluster_size,std_minimum_cluster_size,mean_scoring_seconds,std_scoring_seconds,mean_samples_per_second,std_samples_per_second,mean_selected_balls,std_selected_balls,mean_total_balls,std_total_balls,mean_filtered_balls,std_filtered_balls,mean_mean_balls_per_intent,std_mean_balls_per_intent,mean_min_balls_per_intent,std_min_balls_per_intent,mean_median_balls_per_intent,std_median_balls_per_intent,mean_max_balls_per_intent,std_max_balls_per_intent,mean_mean_ball_radius,std_mean_ball_radius,mean_mean_ball_samples,std_mean_ball_samples,mean_mean_ball_purity,std_mean_ball_purity,mean_max_tree_depth,std_max_tree_depth,mean_delta_vs_adaptive_oos_f1,std_delta_vs_adaptive_oos_f1,mean_delta_vs_single_oos_f1,std_delta_vs_single_oos_f1,mean_delta_vs_adaptive_f1_all,std_delta_vs_adaptive_f1_all,mean_delta_vs_single_f1_all,std_delta_vs_single_f1_all,mean_delta_vs_adaptive_id_recall,std_delta_vs_adaptive_id_recall,mean_delta_vs_single_id_recall,std_delta_vs_single_id_recall,mean_delta_vs_adaptive_false_accept_rate,std_delta_vs_adaptive_false_accept_rate,mean_delta_vs_single_false_accept_rate,std_delta_vs_single_false_accept_rate,mean_delta_vs_adaptive_false_reject_rate,std_delta_vs_adaptive_false_reject_rate,mean_delta_vs_single_false_reject_rate,std_delta_vs_single_false_reject_rate,mean_delta_vs_adaptive_effective_cluster_count,std_delta_vs_adaptive_effective_cluster_count,mean_delta_vs_single_effective_cluster_count,std_delta_vs_single_effective_cluster_count
clinc150,0.25,1,5,5,0,0.9307209765471663,0.0019000657396125793,0.8809969711803486,0.0016817713934519324,0.9864035087719298,0.004099762959614038,0.6088922477836756,0.00928177694777403,0.9307209765471663,0.0019000657396125793,0.6004230707109521,0.009491722083290743,0.8821052631578947,0.003191825508536897,0.4670175438596491,0.009212614633765728,0.9151109572176054,0.011481964896698048,0.9699924261031398,0.005317341438756231,0.29333333333333333,0.03838959699292457,0.013596491228070176,0.0040997629596140174,0.5329824561403509,0.009212614633765728,38.0,0.0,100.0,0.0,0.17430567659903318,0.004321518674535634,32717.22850443357,809.5577926622675,38.0,0.0,38.0,0.0,0.0,0.0,nan,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.683475341564055,0.009039622815655993,100.0,0.0,nan,0.0,nan,0.0,0.006884872503328721,0.0026222812881939923,-0.011351274587500714,0.00624844738104308,0.08648865131232222,0.025920759355048093,-0.17549768042932073,0.015083683015135047,0.09596491228070177,0.018665875197572436,-0.31245614035087715,0.008867896109543966,0.007017543859649122,0.002192982456140351,-0.046754385964912284,0.011602514559606411,-0.09596491228070177,0.018665875197572436,0.31245614035087715,0.008867896109543966,-28.8,6.180614856144977,0.0,0.0
clinc150,0.25,2,5,5,0,0.9263775447547195,0.003487826147523175,0.8718430195348539,0.0027384160662997908,0.988201754385965,0.005792546366957986,0.5666949810733997,0.018075093608092018,0.9263775447547195,0.003487826147523175,0.557229650450207,0.018476536073602393,0.8740350877192983,0.005817317414592696,0.4189473684210526,0.01319585168501179,0.9017829332102186,0.01318910854625666,0.9630424548868696,0.0054608759198262755,0.31526315789473686,0.052156481413157534,0.011798245614035089,0.005792546366957968,0.5810526315789474,0.01319585168501179,76.0,0.0,14.8,1.7888543819998317,0.7934919922146946,0.07461581538068325,7234.870472479085,684.9787275994466,76.0,0.0,76.0,0.0,0.0,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,0.002541440710881826,0.004491254537752983,-0.01569470637994761,0.005305791523702376,0.04429138460204633,0.03602910415703774,-0.21769494713959664,0.012383817368635227,0.047894736842105254,0.030136398654343092,-0.3605263157894737,0.009447657556376308,0.005219298245614035,0.005127547524247778,-0.04855263157894737,0.009325462896462704,-0.047894736842105254,0.030136398654343092,0.3605263157894737,0.009447657556376292,9.2,6.180614856144977,38.0,0.0
clinc150,0.25,3,5,5,0,0.9238921595307609,0.002793505391442707,0.8672438666850454,0.00260998314960432,0.9884649122807018,0.0041655123054679544,0.5423051207343048,0.015451400212751366,0.9238921595307609,0.002793505391442707,0.5322633565554507,0.015795720051503044,0.8692982456140351,0.004583280869337942,0.39473684210526316,0.012877121277108064,0.8814661819021238,0.01860422989177209,0.9538868129443957,0.007227370384930651,0.35175438596491226,0.053061112753812686,0.011535087719298245,0.004165512305467988,0.6052631578947368,0.012877121277108064,114.0,0.0,5.8,2.16794833886788,0.7362869261996821,0.029813576521962846,7752.267363352381,330.9658509609515,114.0,0.0,114.0,0.0,0.0,0.0,nan,0.0,3.0,0.0,3.0,0.0,3.0,0.0,0.5856070318104777,0.009840673687525309,33.333333333333336,0.0,nan,0.0,nan,0.0,5.605548692324547e-05,0.004726692295693994,-0.01818009160390619,0.0065606640885134985,0.019901524262951487,0.043362249875598974,-0.2420848074786915,0.020247680646663317,0.023684210526315818,0.035529023072067775,-0.38473684210526315,0.01695956845389052,0.004956140350877193,0.003578662484361655,-0.048815789473684215,0.01079985415641982,-0.023684210526315818,0.035529023072067775,0.38473684210526315,0.0169595684538905,47.2,6.180614856144977,76.0,0.0
clinc150,0.25,4,5,5,0,0.9219236302767415,0.0036161385549096144,0.8626788132459987,0.0043813102313408,0.9899122807017544,0.00337249046035738,0.5177380157839936,0.025934244617982452,0.9219236302767415,0.0036161385549096144,0.5071015522447107,0.026526626548515755,0.8654736842105264,0.006351507189844053,0.3696491228070175,0.02198764307828125,0.8806444290550939,0.01938742152902908,0.9548727806430968,0.008768182569701468,0.3494736842105263,0.05380847903563191,0.010087719298245614,0.00337249046035739,0.6303508771929824,0.02198764307828125,152.0,0.0,4.2,0.4472135954999579,0.9020190133946017,0.02996386430138852,6324.66185922099,207.20293016699944,152.0,0.0,152.0,0.0,0.0,0.0,nan,0.0,4.0,0.0,4.0,0.0,4.0,0.0,0.5619898518349461,0.00986106265572661,25.0,0.0,nan,0.0,nan,0.0,-0.0019124737670961566,0.004767173697953175,-0.02014862085792559,0.006157245401030409,-0.004665580687359694,0.04424765251303059,-0.26665191242900266,0.020964734983927542,-0.001403508771929829,0.039349707845685256,-0.4098245614035088,0.01877684801943851,0.003508771929824561,0.00293401056146045,-0.05026315789473684,0.011447074339168016,0.001403508771929829,0.039349707845685256,0.4098245614035088,0.018776848019438498,85.2,6.180614856144977,114.0,0.0
clinc150,0.5,1,5,5,0,0.8422681506004659,0.005389362811591764,0.739158465727386,0.007254789098407691,0.9788405797101449,0.003019227051594159,0.6062957231234762,0.019178485084142778,0.8422681506004659,0.005389362811591764,0.6031494240904497,0.01936318846130911,0.7745964912280702,0.00884130461426595,0.4702222222222222,0.019020456823582808,0.8993657198067633,0.005936855850834355,0.914521804019877,0.008586925983197427,0.356,0.0307775772155519,0.021159420289855076,0.0030192270515941536,0.5297777777777778,0.019020456823582808,75.0,0.0,100.0,0.0,0.3427394008031115,0.011717412405856359,16646.027976251382,560.1582133733714,75.0,0.0,75.0,0.0,0.0,0.0,nan,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6805488492822984,0.005014996904312831,100.0,0.0,nan,0.0,nan,0.0,0.02907304896586469,0.0027064285681199403,-0.04716515508217334,0.004226309683168579,0.15675771922457424,0.0075833173822686395,-0.19639766827113517,0.015296759192960217,0.1544888888888889,0.011024551725160536,-0.3173333333333333,0.008663817195385755,0.012115942028985508,0.0034987320294507618,-0.06701449275362319,0.005902662100254021,-0.1544888888888889,0.011024551725160536,0.3173333333333333,0.008663817195385755,-60.2,9.418067742376882,0.0,0.0
clinc150,0.5,2,5,5,0,0.8332324302971947,0.0029511509584679596,0.7230146475330326,0.004949626123499233,0.9831304347826088,0.002691129133550188,0.5640931010016157,0.015710568448621374,0.8332324302971947,0.0029511509584679596,0.5605045766110079,0.015884074269044195,0.7591578947368421,0.005465975228213606,0.4224,0.015060700228011457,0.8898238711755233,0.0059101137872556294,0.9015743601911357,0.0042776143146253075,0.3552888888888889,0.024393077342193266,0.016869565217391306,0.002691129133550182,0.5776,0.015060700228011457,150.0,0.0,11.8,2.6832815729997477,2.165729843999725,0.25782722186973134,2660.7150303291032,303.490853042862,150.0,0.0,150.0,0.0,0.0,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,0.020037328662593445,0.001419676539934767,-0.05620087538544458,0.004091489067312793,0.1145550971027137,0.006811153120374371,-0.2386002903929957,0.008452285443109532,0.10666666666666666,0.0054523751761712475,-0.36515555555555557,0.006700654104794436,0.00782608695652174,0.0022823211229019745,-0.07130434782608695,0.005457440690945717,-0.10666666666666666,0.0054523751761712475,0.36515555555555557,0.006700654104794436,14.8,9.418067742376882,75.0,0.0
clinc150,0.5,3,5,5,0,0.8267848640735547,0.0032372300963360496,0.7126536357925002,0.00453052546440254,0.984463768115942,0.002581175288219509,0.533221730993965,0.014202246049007704,0.8267848640735547,0.0032372300963360496,0.5293075558862371,0.014351375702314286,0.747859649122807,0.0057886761811164235,0.3912888888888889,0.013482865211852683,0.8738081288244766,0.007330997749083997,0.8850165401418388,0.005109022642305761,0.38666666666666666,0.019858760544665687,0.015536231884057972,0.0025811752882194997,0.6087111111111112,0.013482865211852683,225.0,0.0,3.0,1.4142135623730951,1.4510073503945022,0.030285599014830654,3929.700271384586,83.54717054620292,225.0,0.0,225.0,0.0,0.0,0.0,nan,0.0,3.0,0.0,3.0,0.0,3.0,0.0,0.5848194263791032,0.004060202699096282,33.333333333333336,0.0,nan,0.0,nan,0.0,0.013589762438953356,0.003835918053734081,-0.06264844160908467,0.006311505913944403,0.08368372709506301,0.01910226686976641,-0.2694716604006464,0.010241334167364143,0.07555555555555556,0.015418443341068167,-0.39626666666666666,0.01753331925080408,0.006492753623188406,0.002498476746609849,-0.07263768115942029,0.006299264984144947,-0.07555555555555556,0.015418443341068167,0.39626666666666666,0.01753331925080408,89.8,9.418067742376882,150.0,0.0
clinc150,0.5,4,5,5,0,0.8215142916086078,0.0025901612528783625,0.703995048952076,0.0035455181470468106,0.9861449275362318,0.002419899300259927,0.505957091575546,0.014081692670788907,0.8215142916086078,0.0025901612528783625,0.5017496622417719,0.014241235750093527,0.7384912280701754,0.004859680790320519,0.3641777777777778,0.010825666802945461,0.8698157037037036,0.004302738847522143,0.8854472100812432,0.005776710626130693,0.3907555555555556,0.010552163197569873,0.013855072463768114,0.002419899300259919,0.6358222222222223,0.010825666802945461,300.0,0.0,3.8,0.4472135954999579,1.828260819998104,0.0513937165132905,3119.7115716878866,88.69772876073588,300.0,0.0,300.0,0.0,0.0,0.0,nan,0.0,4.0,0.0,4.0,0.0,4.0,0.0,0.5618852555528062,0.002296262321161152,25.0,0.0,nan,0.0,nan,0.0,0.008319189974006602,0.0028309910152767665,-0.06791901407403142,0.005941622341600787,0.05641908767664404,0.009890731979535975,-0.29673629981906535,0.008417575117851645,0.04844444444444447,0.00827908267119873,-0.42337777777777774,0.012210499428618632,0.00481159420289855,0.002988460618848001,-0.07431884057971014,0.005784769492039806,-0.04844444444444447,0.00827908267119873,0.42337777777777774,0.012210499428618632,164.8,9.418067742376882,225.0,0.0
clinc150,0.75,1,5,5,0,0.7132198491249164,0.0052200179295889245,0.5618330666767559,0.005673043729046736,0.9763247863247863,0.005097844601178324,0.603985097869929,0.01175205784811584,0.7132198491249164,0.0052200179295889245,0.6030097875908667,0.011813550196316453,0.6710877192982456,0.007477677872099037,0.46964285714285714,0.01145350083624634,0.8860596255596256,0.008300933257395308,0.8083530777110137,0.014701696224045399,0.37976190476190474,0.02200067156519836,0.023675213675213674,0.005097844601178341,0.5303571428571429,0.01145350083624634,112.0,0.0,100.0,0.0,0.5400534499902279,0.019181064039042597,10565.25740740186,378.347851274577,112.0,0.0,112.0,0.0,0.0,0.0,nan,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6805917366447439,0.0025673915868491305,100.0,0.0,nan,0.0,nan,0.0,0.053904426074207354,0.0069508796113822964,-0.1042458320962237,0.0063833205407062546,0.18601418689131255,0.015195346869347042,-0.21342448265662864,0.00524064548755846,0.17767857142857144,0.011252597961553321,-0.32107142857142856,0.004735791495456194,0.015384615384615385,0.007596747365226999,-0.07735042735042735,0.009464630166816285,-0.17767857142857144,0.011252597961553321,0.32107142857142856,0.004735791495456183,-95.4,4.722287581247038,0.0,0.0
clinc150,0.75,2,5,5,0,0.7004044722488025,0.003855913011152748,0.5445837185570749,0.005072597116512663,0.9811965811965813,0.0028507829196851415,0.5692900146575266,0.012163796573414327,0.7004044722488025,0.003855913011152748,0.5681193498576044,0.012238582286421598,0.6508771929824562,0.0068105434890462216,0.428452380952381,0.012483336398644523,0.8802616758241758,0.008341803981055898,0.7930407784196932,0.01021653833672867,0.3676190476190476,0.015901604958287477,0.018803418803418803,0.0028507829196851137,0.571547619047619,0.012483336398644523,224.0,0.0,11.0,2.23606797749979,4.3651511230040345,0.2394505322210999,1308.8729165085833,70.10988820261692,224.0,0.0,224.0,0.0,0.0,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,0.0410890491980934,0.005247483787596703,-0.11706120897233767,0.0060579762983325475,0.15131910367891008,0.015979702768706708,-0.24811956586903108,0.00569126341384144,0.13648809523809521,0.012333428134403086,-0.3622619047619048,0.006339355577526923,0.010512820512820514,0.003290875779175805,-0.08222222222222222,0.008448146183351499,-0.13648809523809521,0.012333428134403086,0.3622619047619048,0.006339355577526934,16.6,4.722287581247038,112.0,0.0
