dataset,kir_seed,seed,gate,oos_f1,known_macro_f1,overall_accuracy,id_recall,oos_false_accept_rate,known_false_reject_rate,router_error_rate,expert_error_rate,delta_vs_frozen_k1_oos_f1,delta_vs_frozen_k1_known_macro_f1,delta_vs_frozen_k1_overall_accuracy,delta_vs_frozen_k1_id_recall,delta_vs_frozen_k1_oos_false_accept_rate,delta_vs_frozen_k1_known_false_reject_rate,delta_vs_frozen_k1_router_error_rate,delta_vs_frozen_k1_expert_error_rate
banking77_oos,kir50_seed13,13,best_controlled_baseline,0.8024132730015083,0.8554845256603681,0.7215686274509804,0.904,0.3090909090909091,0.096,0.0,0.09734513274336283,-0.030490665165587738,0.011596687293974894,-0.030637254901960786,-0.0050000000000000044,0.04383116883116883,0.0050000000000000044,0.0,-0.015966198389750483
banking77_oos,kir50_seed13,13,ce_recon_selected_k,0.8924515698062793,0.7871469263037622,0.825735294117647,0.764,0.13246753246753246,0.236,0.0,0.08769633507853403,0.059547631639183196,-0.0567409120626311,0.07352941176470584,-0.14500000000000002,-0.1327922077922078,0.145,0.0,-0.025614996054579287
banking77_oos,kir50_seed13,13,frozen_k1,0.8329039381670961,0.8438878383663933,0.7522058823529412,0.909,0.26525974025974025,0.091,0.0,0.11331133113311331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
banking77_oos,kir50_seed13,13,frozen_selected_k,0.8882861501949483,0.7955614128352735,0.8178921568627451,0.801,0.14935064935064934,0.199,0.0,0.10486891385767791,0.05538221202785221,-0.048326425531119765,0.06568627450980391,-0.10799999999999998,-0.1159090909090909,0.10800000000000001,0.0,-0.008442417275435404
banking77_oos,kir50_seed42,42,best_controlled_baseline,0.8977135980746089,0.8453990499475623,0.8348039215686275,0.874,0.15227272727272728,0.126,0.0,0.09038901601830664,0.03615326397117902,0.02174720058512314,0.050980392156862786,-0.0030000000000000027,-0.06071428571428569,0.0030000000000000027,0.0,-0.02705682206607192
banking77_oos,kir50_seed42,42,ce_recon_selected_k,0.9025641025641026,0.7769303489357037,0.8372549019607843,0.763,0.11428571428571428,0.237,0.0,0.0982961992136304,0.04100376846067266,-0.04672150042673551,0.05343137254901964,-0.11399999999999999,-0.09870129870129869,0.11399999999999999,0.0,-0.01914963887074815
banking77_oos,kir50_seed42,42,frozen_k1,0.8615603341034299,0.8236518493624392,0.7838235294117647,0.877,0.21298701298701297,0.123,0.0,0.11744583808437856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
banking77_oos,kir50_seed42,42,frozen_selected_k,0.9048397645519948,0.7589868816561121,0.8399509803921569,0.731,0.10162337662337663,0.269,0.0,0.09712722298221614,0.04327943044856486,-0.06466496770632713,0.05612745098039218,-0.14600000000000002,-0.11136363636363635,0.14600000000000002,0.0,-0.020318615102162416
banking77_oos,kir50_seed87,87,best_controlled_baseline,0.824995418728239,0.8193971914961261,0.740686274509804,0.874,0.26915584415584415,0.126,0.0,0.11784897025171624,-0.025220098513140332,0.013220622067606547,-0.025490196078431393,-0.0050000000000000044,0.03766233766233765,0.0050000000000000044,0.0,-0.018669801079341783
banking77_oos,kir50_seed87,87,ce_recon_selected_k,0.889500860585198,0.8121788133162192,0.8181372549019608,0.854,0.16103896103896104,0.146,0.0,0.117096018735363,0.03928534334381861,0.006002243887699654,0.05196078431372542,-0.025000000000000022,-0.07045454545454546,0.024999999999999994,0.0,-0.019422752595695023
banking77_oos,kir50_seed87,87,frozen_k1,0.8502155172413793,0.8061765694285196,0.7661764705882353,0.879,0.2314935064935065,0.121,0.0,0.13651877133105803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
