dataset,gate,seed_count,oos_f1_mean,oos_f1_std,delta_vs_frozen_k1_oos_f1_mean,delta_vs_frozen_k1_oos_f1_std,known_macro_f1_mean,known_macro_f1_std,delta_vs_frozen_k1_known_macro_f1_mean,delta_vs_frozen_k1_known_macro_f1_std,overall_accuracy_mean,overall_accuracy_std,delta_vs_frozen_k1_overall_accuracy_mean,delta_vs_frozen_k1_overall_accuracy_std,id_recall_mean,id_recall_std,delta_vs_frozen_k1_id_recall_mean,delta_vs_frozen_k1_id_recall_std,oos_false_accept_rate_mean,oos_false_accept_rate_std,delta_vs_frozen_k1_oos_false_accept_rate_mean,delta_vs_frozen_k1_oos_false_accept_rate_std,known_false_reject_rate_mean,known_false_reject_rate_std,delta_vs_frozen_k1_known_false_reject_rate_mean,delta_vs_frozen_k1_known_false_reject_rate_std,router_error_rate_mean,router_error_rate_std,delta_vs_frozen_k1_router_error_rate_mean,delta_vs_frozen_k1_router_error_rate_std,expert_error_rate_mean,expert_error_rate_std,delta_vs_frozen_k1_expert_error_rate_mean,delta_vs_frozen_k1_expert_error_rate_std
banking77_oos,best_controlled_baseline,3,0.8417074299347854,0.04979966343947981,-0.006519166569183017,0.03704925052380938,0.8400935890346856,0.01861947524486029,0.015521503315568194,0.005452409642200451,0.765686274509804,0.06061607013389692,-0.0017156862745097978,0.04570864869110928,0.884,0.017320508075688787,-0.0043333333333333375,0.0011547005383792525,0.2435064935064935,0.08149480001043066,0.006926406926406929,0.058659705890686774,0.116,0.017320508075688773,0.0043333333333333375,0.0011547005383792525,0.0,0.0,0.0,0.0,0.10186103967112857,0.014276110575377997,-0.02056427384505473,0.005782927777299873
banking77_oos,ce_recon_selected_k,3,0.8948388443185266,0.006851013242395122,0.04661224781455816,0.011235273127002166,0.792085362851895,0.01813572929195485,-0.03248672286722232,0.03370678824478085,0.8270424836601307,0.009625625467543418,0.05964052287581697,0.012050584357838092,0.7936666666666666,0.052252591642265284,-0.09466666666666668,0.06229232162420448,0.13593073593073593,0.02356823824903238,-0.10064935064935066,0.031214455244731293,0.2063333333333333,0.0522525916422653,0.09466666666666666,0.06229232162420448,0.0,0.0,0.0,0.0,0.10102951767584248,0.014889211602442429,-0.02139579584034082,0.00365648541807034
banking77_oos,frozen_k1,3,0.8482265965039685,0.014431358608591224,0.0,0.0,0.8245720857191173,0.018872468769089892,0.0,0.0,0.7674019607843138,0.0158444081949941,0.0,0.0,0.8883333333333333,0.017925772879665017,0.0,0.0,0.23658008658008658,0.026504989659781538,0.0,0.0,0.11166666666666666,0.017925772879665004,0.0,0.0,0.0,0.0,0.0,0.0,0.1224253135161833,0.012379123628805687,0.0,0.0
banking77_oos,frozen_selected_k,3,0.8811138106627742,0.028009533008181528,0.03288721415880569,0.02911693616839427,0.7869082879733017,0.024756293854734848,-0.03766379774581563,0.03362526186635633,0.8080065359477124,0.03786771315856064,0.040604575163398694,0.03548790526315521,0.8036666666666666,0.07403602726600972,-0.08466666666666667,0.07574518686578927,0.1608225108225108,0.06569067941758013,-0.07575757575757575,0.06564733812390888,0.19633333333333333,0.07403602726600972,0.08466666666666668,0.07574518686578927,0.0,0.0,0.0,0.0,0.1128383027236507,0.020869999748505154,-0.009587010792532607,0.010207551158676177
clinc150,best_controlled_baseline,3,0.9084405348127204,0.010726592267062287,0.028197302517173894,0.0038000991900533883,0.8518215805942567,0.019254451256788423,0.06683877492192174,0.015825390729741384,0.8676969696969697,0.012652159301329772,0.0370909090909091,0.004442469717407522,0.849037037037037,0.03351456903271411,0.1122962962962963,0.028770126252921666,0.08092307692307693,0.0032563093059256552,0.010358974358974366,0.015323983085141026,0.15096296296296297,0.03351456903271411,-0.11229629629629631,0.02877012625292168,0.028434708218959708,0.0008461562997583602,0.0012685729094150955,0.0021071131058343954,0.03802331715701434,0.003819699855289738,-0.002234926124730118,0.0025329969145103733
clinc150,ce_recon_selected_k,3,0.8999654215865933,0.007479036050075132,0.019722189291046816,0.006271780526502693,0.7967710382811434,0.00873135960508218,0.011788232608808421,0.00518025816631944,0.8578787878787879,0.008777004766557689,0.027272727272727264,0.007090909090909092,0.733037037037037,0.013335802240554475,-0.0037037037037037277,0.007727882284885906,0.03066666666666667,0.009237604307034013,-0.03989743589743589,0.015977301453490203,0.26696296296296296,0.013335802240554447,0.0037037037037036904,0.007727882284885907,0.021408818793560217,0.0014364541058984014,-0.005757316515984393,0.0032267776448377883,0.02850195936660711,0.0026780085135430748,-0.011756283915137349,0.003645808337347219
clinc150,frozen_k1,3,0.8802432322955465,0.010028835864058797,0.0,0.0,0.784982805672335,0.0035819681568184016,0.0,0.0,0.8306060606060606,0.011565599223535722,0.0,0.0,0.7367407407407407,0.008991994610662786,0.0,0.0,0.07056410256410256,0.015410235078273557,0.0,0.0,0.26325925925925925,0.008991994610662836,0.0,0.0,0.027166135309544613,0.0024040550671338683,0.0,0.0,0.04025824328174446,0.005665752266337573,0.0,0.0
clinc150,frozen_selected_k,3,0.8802432322955465,0.010028835864058797,0.0,0.0,0.784982805672335,0.0035819681568184016,0.0,0.0,0.8306060606060606,0.011565599223535722,0.0,0.0,0.7367407407407407,0.008991994610662786,0.0,0.0,0.07056410256410256,0.015410235078273557,0.0,0.0,0.26325925925925925,0.008991994610662836,0.0,0.0,0.027166135309544613,0.0024040550671338683,0.0,0.0,0.04025824328174446,0.005665752266337573,0.0,0.0
stackoverflow,best_controlled_baseline,3,0.8324249870125221,0.047341598060422894,0.04220541551163411,0.0433771623857579,0.8562130901194254,0.016073379369458938,0.016434376690745583,0.0024594224989481963,0.8072342793544797,0.03180917538296612,0.03995548135781857,0.035240932616617406,0.854946562422881,0.0049395548656985646,0.022709008847963823,0.0016583553949549904,0.18159257966286352,0.07766605525515764,-0.053655265026605864,0.06983302631992908,0.14505343757711903,0.004939554865698578,-0.02270900884796383,0.0016583553949550322,0.0,0.0,0.0,0.0,0.06884029164463817,0.018937394006902607,-0.006167038979929348,0.003000251368105372
stackoverflow,ce_recon_selected_k,3,0.8761692420587259,0.02781408299092187,0.08594967055783793,0.025224992857698154,0.8667514582211053,0.008784788159950848,0.026972744792425545,0.0070665751582452505,0.8484696716750139,0.032159471432964055,0.08119087367835276,0.020297599227362947,0.8615020620485535,0.04553946726723784,0.029264508473636302,0.042612216553236375,0.11063129523102429,0.07969953685264236,-0.1246165494584451,0.05637276158094738,0.13849793795144652,0.04553946726723786,-0.029264508473636337,0.042612216553236396,0.0,0.0,0.0,0.0,0.06152288716005894,0.03316022025446519,-0.01348444346450859,0.016704731534636356
stackoverflow,frozen_k1,3,0.7902195715008881,0.04629012460496893,0.0,0.0,0.8397787134286798,0.01465864911288515,0.0,0.0,0.7672787979966611,0.03787994313986711,0.0,0.0,0.8322375535749171,0.0032941275542504238,0.0,0.0,0.23524784468946938,0.07721924532082375,0.0,0.0,0.16776244642508284,0.003294127554250401,0.0,0.0,0.0,0.0,0.0,0.0,0.07500733062456753,0.017014615349757834,0.0,0.0
stackoverflow,frozen_selected_k,3,0.779979358406988,0.056516813414368004,-0.010240213093900071,0.01773656935896701,0.8411193380107915,0.012815361758384965,0.0013406245821117786,0.002322029890093395,0.7590428491930996,0.047855081403356155,-0.008235948803561488,0.014265081776304605,0.8461449857066483,0.027183519468082326,0.013907432131731179,0.02408837905497434,0.2586279382098434,0.10258307728991026,0.023380093520374068,0.04049550986299978,0.15385501429335166,0.027183519468082347,-0.013907432131731198,0.024088379054974372,0.0,0.0,0.0,0.0,0.08153306290290317,0.027474765210017644,0.006525732278335643,0.01130289986266954
