run_id,protocol_version,dataset,kir,seed,representation,k_gate,distance,boundary,status,oos_precision,oos_recall,oos_f1,id_recall,auroc,aupr_oos,fpr95,false_accept_rate,false_reject_rate,effective_cluster_count,minimum_cluster_size,scoring_seconds,samples_per_second,peak_rss_kib,run_relative_path,manifest_sha256
protocol_v2_textoir_v1__clinc150__kir_0.25__seed_42__repr_frozen_minilm__k_1__dist_euclidean__boundary_mean_std,protocol_v2_textoir_v1,clinc150,0.25,42,frozen_minilm,1,euclidean,mean_std,complete,0.940891045434495,0.9355263157894737,0.938201011656037,0.7649122807017543,0.9347076023391813,0.9797215843157088,0.27631578947368424,0.06447368421052632,0.23508771929824562,38,100,0.4716320079751313,12085.693726496518,1775496,artifacts/s2c/runs/protocol_v2_textoir_v1/e1_gate_smoke/protocol_v2_textoir_v1__clinc150__kir_0.25__seed_42__repr_frozen_minilm__k_1__dist_euclidean__boundary_mean_std,3f488c3e8973ae4bf338236ad87129eb4eee7a5d7f68a601f48c047f71c79a67
protocol_v2_textoir_v1__clinc150__kir_0.25__seed_42__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std,protocol_v2_textoir_v1,clinc150,0.25,42,frozen_minilm,1,mahalanobis_diag,mean_std,complete,0.9338630019325747,0.9537280701754386,0.9436910057502441,0.7298245614035088,0.9305178516466606,0.9748044838736667,0.25701754385964914,0.0462719298245614,0.27017543859649124,38,100,0.6587864040629938,8652.273278327948,1775496,artifacts/s2c/runs/protocol_v2_textoir_v1/e1_gate_smoke/protocol_v2_textoir_v1__clinc150__kir_0.25__seed_42__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std,aeee683f558c3dbbf2dcb2358e5fbdb7b09a495656fe7ae01e662992d3c4b3f6
protocol_v2_textoir_v1__clinc150__kir_0.25__seed_42__repr_frozen_minilm__k_2__dist_euclidean__boundary_mean_std,protocol_v2_textoir_v1,clinc150,0.25,42,frozen_minilm,2,euclidean,mean_std,complete,0.9351374570446735,0.9548245614035088,0.9448784722222222,0.7350877192982457,0.9282196445060018,0.9715037696387245,0.24561403508771928,0.04517543859649123,0.2649122807017544,76,13,0.6399264370556921,8907.273820762519,1775496,artifacts/s2c/runs/protocol_v2_textoir_v1/e1_gate_smoke/protocol_v2_textoir_v1__clinc150__kir_0.25__seed_42__repr_frozen_minilm__k_2__dist_euclidean__boundary_mean_std,587c59926ff08f1b954c6e7ce658bacfdfcc88b69c3cbee8502664745d36c561
protocol_v2_textoir_v1__clinc150__kir_0.25__seed_42__repr_frozen_minilm__k_2__dist_mahalanobis_diag__boundary_mean_std,protocol_v2_textoir_v1,clinc150,0.25,42,frozen_minilm,2,mahalanobis_diag,mean_std,complete,0.9275089042530903,0.9708333333333333,0.9486767384549448,0.6964912280701754,0.932384002770083,0.9765530786992966,0.22982456140350876,0.029166666666666667,0.30350877192982456,76,13,1.292716985102743,4409.317790117048,1775496,artifacts/s2c/runs/protocol_v2_textoir_v1/e1_gate_smoke/protocol_v2_textoir_v1__clinc150__kir_0.25__seed_42__repr_frozen_minilm__k_2__dist_mahalanobis_diag__boundary_mean_std,8077d1f2cd73959f072c8ebc474d255c6412c53a9aefa08824a45feb3ffbfea3
protocol_v2_textoir_v1__clinc150__kir_0.50__seed_42__repr_frozen_minilm__k_1__dist_euclidean__boundary_mean_std,protocol_v2_textoir_v1,clinc150,0.50,42,frozen_minilm,1,euclidean,mean_std,complete,0.8558558558558559,0.908695652173913,0.8814846056516238,0.7653333333333333,0.9238795491143317,0.9423475771316242,0.3497777777777778,0.09130434782608696,0.23466666666666666,75,100,0.6024889190448448,9460.754911536778,1781804,artifacts/s2c/runs/protocol_v2_textoir_v1/e1_gate_smoke/protocol_v2_textoir_v1__clinc150__kir_0.50__seed_42__repr_frozen_minilm__k_1__dist_euclidean__boundary_mean_std,790aaf635f43c37404df3594dc6c40dd3d94a53870a3753ebac0612085a05d98
protocol_v2_textoir_v1__clinc150__kir_0.50__seed_42__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std,protocol_v2_textoir_v1,clinc150,0.50,42,frozen_minilm,1,mahalanobis_diag,mean_std,complete,0.8413197172034564,0.931304347826087,0.8840280643829963,0.7306666666666667,0.9236139130434784,0.9379760800808493,0.3377777777777778,0.06869565217391305,0.2693333333333333,75,100,1.210475652012974,4708.892731977815,1785388,artifacts/s2c/runs/protocol_v2_textoir_v1/e1_gate_smoke/protocol_v2_textoir_v1__clinc150__kir_0.50__seed_42__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std,c130d9402ed52e1a2010b64942ccbc571a59e59743e293fe43823e41cd478bde
protocol_v2_textoir_v1__clinc150__kir_0.50__seed_42__repr_frozen_minilm__k_2__dist_euclidean__boundary_mean_std,protocol_v2_textoir_v1,clinc150,0.50,42,frozen_minilm,2,euclidean,mean_std,complete,0.8434265010351967,0.9446376811594203,0.8911676237353021,0.731111111111111,0.928633687600644,0.9379846386927297,0.2831111111111111,0.05536231884057971,0.2688888888888889,150,13,1.2230853049550205,4660.345420640648,1785480,artifacts/s2c/runs/protocol_v2_textoir_v1/e1_gate_smoke/protocol_v2_textoir_v1__clinc150__kir_0.50__seed_42__repr_frozen_minilm__k_2__dist_euclidean__boundary_mean_std,30d8457b81da8201cf14100404db5ecc78f33cb1a845edd63808cdc76130ba87
protocol_v2_textoir_v1__clinc150__kir_0.50__seed_42__repr_frozen_minilm__k_2__dist_mahalanobis_diag__boundary_mean_std,protocol_v2_textoir_v1,clinc150,0.50,42,frozen_minilm,2,mahalanobis_diag,mean_std,complete,0.8256972111553785,0.9611594202898551,0.8882935976426467,0.6888888888888889,0.9310133333333332,0.9431765906893477,0.25466666666666665,0.03884057971014493,0.3111111111111111,150,13,2.4978471209760755,2281.9651179342914,1785480,artifacts/s2c/runs/protocol_v2_textoir_v1/e1_gate_smoke/protocol_v2_textoir_v1__clinc150__kir_0.50__seed_42__repr_frozen_minilm__k_2__dist_mahalanobis_diag__boundary_mean_std,a98654e9f7b5e9bac8253929f36b8ec2210ec10da869ed41bd2fbc847d2c3e52
protocol_v2_textoir_v1__clinc150__kir_0.75__seed_42__repr_frozen_minilm__k_1__dist_euclidean__boundary_mean_std,protocol_v2_textoir_v1,clinc150,0.75,42,frozen_minilm,1,euclidean,mean_std,complete,0.7387451258419,0.8905982905982905,0.8075954272427824,0.7806547619047619,0.9182760989010988,0.8695971883494188,0.3431547619047619,0.1094017094017094,0.2193452380952381,112,100,0.8958566619548947,6362.625006953387,1819240,artifacts/s2c/runs/protocol_v2_textoir_v1/e1_gate_smoke/protocol_v2_textoir_v1__clinc150__kir_0.75__seed_42__repr_frozen_minilm__k_1__dist_euclidean__boundary_mean_std,250ed2aa3965926b0b42d27766834733f670f2b16353ac14af1382326735f3d5
protocol_v2_textoir_v1__clinc150__kir_0.75__seed_42__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std,protocol_v2_textoir_v1,clinc150,0.75,42,frozen_minilm,1,mahalanobis_diag,mean_std,complete,0.7156084656084656,0.9247863247863248,0.8068605518269948,0.7440476190476191,0.9132769892144892,0.8521280358513693,0.3282738095238095,0.07521367521367521,0.25595238095238093,112,100,1.8318201859947294,3111.659126577831,1819240,artifacts/s2c/runs/protocol_v2_textoir_v1/e1_gate_smoke/protocol_v2_textoir_v1__clinc150__kir_0.75__seed_42__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std,8aa49817d264a3b4fcad513cef79e8b71b93bea11d78fd2cd241dc58393b1f97
