dataset,kir,data_seed,representation,k_name,k_gate,threshold,validation_near_q20_similarity,validation_far_q80_similarity,group_type,group,oos_count,false_accept_count,false_accept_rate,representation_collision_count,representation_collision_rate,boundary_overcoverage_count,boundary_overcoverage_rate,correct_rejection_count,correct_rejection_rate,mean_nearest_known_similarity,mean_gate_score
clinc150,50,13,ce_recon,k1,1,1.0,0.5023985632033926,0.8396253073433817,bucket,all,3250,101,0.03107692307692308,863,0.26553846153846156,1,0.0003076923076923077,3149,0.9689230769230769,0.6387900374256404,2.3853089509668544
clinc150,50,13,ce_recon,k1,1,1.0,0.5023985632033926,0.8396253073433817,bucket,near,551,101,0.18330308529945555,412,0.7477313974591652,1,0.0018148820326678765,450,0.8166969147005445,0.9139593564688114,1.3406395145276864
clinc150,50,13,ce_recon,k1,1,1.0,0.5023985632033926,0.8396253073433817,bucket,medium,1863,0,0.0,401,0.21524422973698337,0,0.0,1863,1.0,0.6547895004358357,2.47619042243359
clinc150,50,13,ce_recon,k1,1,1.0,0.5023985632033926,0.8396253073433817,bucket,far,836,0,0.0,50,0.05980861244019139,0,0.0,836,1.0,0.42177413505628514,2.8713145468226595
clinc150,50,13,ce_recon,k2,2,1.0,0.5023985632033926,0.8396253073433817,bucket,all,3250,86,0.02646153846153846,863,0.26553846153846156,7,0.0021538461538461538,3164,0.9735384615384616,0.6387900374256404,2.1760034413115537
clinc150,50,13,ce_recon,k2,2,1.0,0.5023985632033926,0.8396253073433817,bucket,near,551,83,0.15063520871143377,412,0.7477313974591652,6,0.010889292196007259,468,0.8493647912885662,0.9139593564688114,1.3343006450055965
clinc150,50,13,ce_recon,k2,2,1.0,0.5023985632033926,0.8396253073433817,bucket,medium,1863,3,0.001610305958132045,401,0.21524422973698337,1,0.0005367686527106817,1860,0.998389694041868,0.6547895004358357,2.235278315385164
clinc150,50,13,ce_recon,k2,2,1.0,0.5023985632033926,0.8396253073433817,bucket,far,836,0,0.0,50,0.05980861244019139,0,0.0,836,1.0,0.42177413505628514,2.5986698891171116
clinc150,50,13,ce_recon,frozen_selected_k,1,1.0,0.5023985632033926,0.8396253073433817,bucket,all,3250,101,0.03107692307692308,863,0.26553846153846156,1,0.0003076923076923077,3149,0.9689230769230769,0.6387900374256404,2.3853089509668544
clinc150,50,13,ce_recon,frozen_selected_k,1,1.0,0.5023985632033926,0.8396253073433817,bucket,near,551,101,0.18330308529945555,412,0.7477313974591652,1,0.0018148820326678765,450,0.8166969147005445,0.9139593564688114,1.3406395145276864
clinc150,50,13,ce_recon,frozen_selected_k,1,1.0,0.5023985632033926,0.8396253073433817,bucket,medium,1863,0,0.0,401,0.21524422973698337,0,0.0,1863,1.0,0.6547895004358357,2.47619042243359
clinc150,50,13,ce_recon,frozen_selected_k,1,1.0,0.5023985632033926,0.8396253073433817,bucket,far,836,0,0.0,50,0.05980861244019139,0,0.0,836,1.0,0.42177413505628514,2.8713145468226595
clinc150,50,42,ce_recon,k1,1,1.0,0.49211090175484,0.8385388988266331,bucket,all,3250,129,0.03969230769230769,668,0.20553846153846153,1,0.0003076923076923077,3121,0.9603076923076923,0.6455989103661883,2.3664831724807356
clinc150,50,42,ce_recon,k1,1,1.0,0.49211090175484,0.8385388988266331,bucket,near,556,129,0.23201438848920863,397,0.7140287769784173,1,0.0017985611510791368,427,0.7679856115107914,0.909190767820681,1.3079669907500124
