dataset,kir,data_seed,representation,k_name,k_gate,threshold,validation_near_q20_similarity,validation_far_q80_similarity,group_type,group,oos_count,false_accept_count,false_accept_rate,representation_collision_count,representation_collision_rate,boundary_overcoverage_count,boundary_overcoverage_rate,correct_rejection_count,correct_rejection_rate,mean_nearest_known_similarity,mean_gate_score
clinc150,50,13,ce_recon,k1,1,1.0,0.5023985632033926,0.8396253073433817,similarity_bin,0,462,0,0.0,24,0.05194805194805195,0,0.0,462,1.0,0.3823309877550228,2.8804708020913283
clinc150,50,13,ce_recon,k1,1,1.0,0.5023985632033926,0.8396253073433817,similarity_bin,1,374,0,0.0,26,0.06951871657754011,0,0.0,374,1.0,0.47049802289902104,2.8600038785495974
clinc150,50,13,ce_recon,k1,1,1.0,0.5023985632033926,0.8396253073433817,similarity_bin,2,486,0,0.0,61,0.12551440329218108,0,0.0,486,1.0,0.5394060926948967,2.766979263379014
clinc150,50,13,ce_recon,k1,1,1.0,0.5023985632033926,0.8396253073433817,similarity_bin,3,280,0,0.0,32,0.11428571428571428,0,0.0,280,1.0,0.596250388210164,2.717049094642525
clinc150,50,13,ce_recon,k1,1,1.0,0.5023985632033926,0.8396253073433817,similarity_bin,4,308,0,0.0,45,0.1461038961038961,0,0.0,308,1.0,0.6454012720355995,2.555138232003098
clinc150,50,13,ce_recon,k1,1,1.0,0.5023985632033926,0.8396253073433817,similarity_bin,5,268,0,0.0,61,0.22761194029850745,0,0.0,268,1.0,0.6954160613580747,2.4347849192399473
clinc150,50,13,ce_recon,k1,1,1.0,0.5023985632033926,0.8396253073433817,similarity_bin,6,223,0,0.0,61,0.273542600896861,0,0.0,223,1.0,0.7457812623632849,2.1910070021361956
clinc150,50,13,ce_recon,k1,1,1.0,0.5023985632033926,0.8396253073433817,similarity_bin,7,298,0,0.0,141,0.47315436241610737,0,0.0,298,1.0,0.8030437980719977,1.944689910073957
clinc150,50,13,ce_recon,k1,1,1.0,0.5023985632033926,0.8396253073433817,similarity_bin,8,302,0,0.0,188,0.6225165562913907,0,0.0,302,1.0,0.8810763926294404,1.583415448563578
clinc150,50,13,ce_recon,k1,1,1.0,0.5023985632033926,0.8396253073433817,similarity_bin,9,249,101,0.40562248995983935,224,0.8995983935742972,1,0.004016064257028112,148,0.5943775100401606,0.9538415053824264,1.0461883816809425
clinc150,50,13,ce_recon,k2,2,1.0,0.5023985632033926,0.8396253073433817,similarity_bin,0,462,0,0.0,24,0.05194805194805195,0,0.0,462,1.0,0.3823309877550228,2.618297049043639
clinc150,50,13,ce_recon,k2,2,1.0,0.5023985632033926,0.8396253073433817,similarity_bin,1,374,0,0.0,26,0.06951871657754011,0,0.0,374,1.0,0.47049802289902104,2.574424573913755
clinc150,50,13,ce_recon,k2,2,1.0,0.5023985632033926,0.8396253073433817,similarity_bin,2,486,0,0.0,61,0.12551440329218108,0,0.0,486,1.0,0.5394060926948967,2.471840965548621
clinc150,50,13,ce_recon,k2,2,1.0,0.5023985632033926,0.8396253073433817,similarity_bin,3,280,0,0.0,32,0.11428571428571428,0,0.0,280,1.0,0.596250388210164,2.388758591719827
clinc150,50,13,ce_recon,k2,2,1.0,0.5023985632033926,0.8396253073433817,similarity_bin,4,308,0,0.0,45,0.1461038961038961,0,0.0,308,1.0,0.6454012720355995,2.288452796965343
clinc150,50,13,ce_recon,k2,2,1.0,0.5023985632033926,0.8396253073433817,similarity_bin,5,268,0,0.0,61,0.22761194029850745,0,0.0,268,1.0,0.6954160613580747,2.2310543730128525
clinc150,50,13,ce_recon,k2,2,1.0,0.5023985632033926,0.8396253073433817,similarity_bin,6,223,0,0.0,61,0.273542600896861,0,0.0,223,1.0,0.7457812623632849,2.0143382629755746
clinc150,50,13,ce_recon,k2,2,1.0,0.5023985632033926,0.8396253073433817,similarity_bin,7,298,3,0.010067114093959731,141,0.47315436241610737,1,0.003355704697986577,295,0.9899328859060402,0.8030437980719977,1.8194393306981722
clinc150,50,13,ce_recon,k2,2,1.0,0.5023985632033926,0.8396253073433817,similarity_bin,8,302,5,0.016556291390728478,188,0.6225165562913907,3,0.009933774834437087,297,0.9834437086092715,0.8810763926294404,1.5234562899254684
clinc150,50,13,ce_recon,k2,2,1.0,0.5023985632033926,0.8396253073433817,similarity_bin,9,249,78,0.3132530120481928,224,0.8995983935742972,3,0.012048192771084338,171,0.6867469879518072,0.9538415053824264,1.1048829551831014
clinc150,50,13,ce_recon,frozen_selected_k,1,1.0,0.5023985632033926,0.8396253073433817,similarity_bin,0,462,0,0.0,24,0.05194805194805195,0,0.0,462,1.0,0.3823309877550228,2.8804708020913283
clinc150,50,13,ce_recon,frozen_selected_k,1,1.0,0.5023985632033926,0.8396253073433817,similarity_bin,1,374,0,0.0,26,0.06951871657754011,0,0.0,374,1.0,0.47049802289902104,2.8600038785495974
clinc150,50,13,ce_recon,frozen_selected_k,1,1.0,0.5023985632033926,0.8396253073433817,similarity_bin,2,486,0,0.0,61,0.12551440329218108,0,0.0,486,1.0,0.5394060926948967,2.766979263379014
clinc150,50,13,ce_recon,frozen_selected_k,1,1.0,0.5023985632033926,0.8396253073433817,similarity_bin,3,280,0,0.0,32,0.11428571428571428,0,0.0,280,1.0,0.596250388210164,2.717049094642525
clinc150,50,13,ce_recon,frozen_selected_k,1,1.0,0.5023985632033926,0.8396253073433817,similarity_bin,4,308,0,0.0,45,0.1461038961038961,0,0.0,308,1.0,0.6454012720355995,2.555138232003098
clinc150,50,13,ce_recon,frozen_selected_k,1,1.0,0.5023985632033926,0.8396253073433817,similarity_bin,5,268,0,0.0,61,0.22761194029850745,0,0.0,268,1.0,0.6954160613580747,2.4347849192399473
clinc150,50,13,ce_recon,frozen_selected_k,1,1.0,0.5023985632033926,0.8396253073433817,similarity_bin,6,223,0,0.0,61,0.273542600896861,0,0.0,223,1.0,0.7457812623632849,2.1910070021361956
clinc150,50,13,ce_recon,frozen_selected_k,1,1.0,0.5023985632033926,0.8396253073433817,similarity_bin,7,298,0,0.0,141,0.47315436241610737,0,0.0,298,1.0,0.8030437980719977,1.944689910073957
clinc150,50,13,ce_recon,frozen_selected_k,1,1.0,0.5023985632033926,0.8396253073433817,similarity_bin,8,302,0,0.0,188,0.6225165562913907,0,0.0,302,1.0,0.8810763926294404,1.583415448563578
clinc150,50,13,ce_recon,frozen_selected_k,1,1.0,0.5023985632033926,0.8396253073433817,similarity_bin,9,249,101,0.40562248995983935,224,0.8995983935742972,1,0.004016064257028112,148,0.5943775100401606,0.9538415053824264,1.0461883816809425
clinc150,50,42,ce_recon,k1,1,1.0,0.49211090175484,0.8385388988266331,similarity_bin,0,369,0,0.0,18,0.04878048780487805,0,0.0,369,1.0,0.38153765822194763,3.0303436302026467
clinc150,50,42,ce_recon,k1,1,1.0,0.49211090175484,0.8385388988266331,similarity_bin,1,353,0,0.0,18,0.05099150141643059,0,0.0,353,1.0,0.4611775999687593,2.9347219071422592
clinc150,50,42,ce_recon,k1,1,1.0,0.49211090175484,0.8385388988266331,similarity_bin,2,363,0,0.0,21,0.05785123966942149,0,0.0,363,1.0,0.5206838737478489,2.844118094447886
clinc150,50,42,ce_recon,k1,1,1.0,0.49211090175484,0.8385388988266331,similarity_bin,3,285,0,0.0,10,0.03508771929824561,0,0.0,285,1.0,0.5721224208933117,2.7408436804674703
clinc150,50,42,ce_recon,k1,1,1.0,0.49211090175484,0.8385388988266331,similarity_bin,4,338,0,0.0,28,0.08284023668639054,0,0.0,338,1.0,0.6216719219545883,2.5867076057176854
clinc150,50,42,ce_recon,k1,1,1.0,0.49211090175484,0.8385388988266331,similarity_bin,5,361,0,0.0,23,0.06371191135734072,0,0.0,361,1.0,0.6806937770709764,2.358888010549246
clinc150,50,42,ce_recon,k1,1,1.0,0.49211090175484,0.8385388988266331,similarity_bin,6,321,0,0.0,59,0.1838006230529595,0,0.0,321,1.0,0.7397450714337539,2.135604042933772
clinc150,50,42,ce_recon,k1,1,1.0,0.49211090175484,0.8385388988266331,similarity_bin,7,304,0,0.0,94,0.3092105263157895,0,0.0,304,1.0,0.8017316970735914,1.9234772151282322
clinc150,50,42,ce_recon,k1,1,1.0,0.49211090175484,0.8385388988266331,similarity_bin,8,302,0,0.0,165,0.5463576158940397,0,0.0,302,1.0,0.8761967727165038,1.5637666783497854
clinc150,50,42,ce_recon,k1,1,1.0,0.49211090175484,0.8385388988266331,similarity_bin,9,254,129,0.5078740157480315,232,0.9133858267716536,1,0.003937007874015748,125,0.4921259842519685,0.9484198486138367,1.003827204706188
clinc150,50,42,ce_recon,k2,2,1.0,0.49211090175484,0.8385388988266331,similarity_bin,0,369,0,0.0,18,0.04878048780487805,0,0.0,369,1.0,0.38153765822194763,2.166335688239399
clinc150,50,42,ce_recon,k2,2,1.0,0.49211090175484,0.8385388988266331,similarity_bin,1,353,0,0.0,18,0.05099150141643059,0,0.0,353,1.0,0.4611775999687593,2.160676522589041
clinc150,50,42,ce_recon,k2,2,1.0,0.49211090175484,0.8385388988266331,similarity_bin,2,363,0,0.0,21,0.05785123966942149,0,0.0,363,1.0,0.5206838737478489,2.119887349839662
clinc150,50,42,ce_recon,k2,2,1.0,0.49211090175484,0.8385388988266331,similarity_bin,3,285,0,0.0,10,0.03508771929824561,0,0.0,285,1.0,0.5721224208933117,2.131049102270515
clinc150,50,42,ce_recon,k2,2,1.0,0.49211090175484,0.8385388988266331,similarity_bin,4,338,0,0.0,28,0.08284023668639054,0,0.0,338,1.0,0.6216719219545883,2.0792097250326327
clinc150,50,42,ce_recon,k2,2,1.0,0.49211090175484,0.8385388988266331,similarity_bin,5,361,0,0.0,23,0.06371191135734072,0,0.0,361,1.0,0.6806937770709764,2.0133419026815704
clinc150,50,42,ce_recon,k2,2,1.0,0.49211090175484,0.8385388988266331,similarity_bin,6,321,4,0.012461059190031152,59,0.1838006230529595,3,0.009345794392523364,317,0.9875389408099688,0.7397450714337539,1.8715437712375664
clinc150,50,42,ce_recon,k2,2,1.0,0.49211090175484,0.8385388988266331,similarity_bin,7,304,9,0.029605263157894735,94,0.3092105263157895,3,0.009868421052631578,295,0.9703947368421053,0.8017316970735914,1.8186456075847552
clinc150,50,42,ce_recon,k2,2,1.0,0.49211090175484,0.8385388988266331,similarity_bin,8,302,6,0.019867549668874173,165,0.5463576158940397,1,0.0033112582781456954,296,0.9801324503311258,0.8761967727165038,1.5798844859704657
clinc150,50,42,ce_recon,k2,2,1.0,0.49211090175484,0.8385388988266331,similarity_bin,9,254,90,0.3543307086614173,232,0.9133858267716536,0,0.0,164,0.6456692913385826,0.9484198486138367,1.1053068931459546
clinc150,50,42,ce_recon,frozen_selected_k,1,1.0,0.49211090175484,0.8385388988266331,similarity_bin,0,369,0,0.0,18,0.04878048780487805,0,0.0,369,1.0,0.38153765822194763,3.0303436302026467
clinc150,50,42,ce_recon,frozen_selected_k,1,1.0,0.49211090175484,0.8385388988266331,similarity_bin,1,353,0,0.0,18,0.05099150141643059,0,0.0,353,1.0,0.4611775999687593,2.9347219071422592
clinc150,50,42,ce_recon,frozen_selected_k,1,1.0,0.49211090175484,0.8385388988266331,similarity_bin,2,363,0,0.0,21,0.05785123966942149,0,0.0,363,1.0,0.5206838737478489,2.844118094447886
clinc150,50,42,ce_recon,frozen_selected_k,1,1.0,0.49211090175484,0.8385388988266331,similarity_bin,3,285,0,0.0,10,0.03508771929824561,0,0.0,285,1.0,0.5721224208933117,2.7408436804674703
clinc150,50,42,ce_recon,frozen_selected_k,1,1.0,0.49211090175484,0.8385388988266331,similarity_bin,4,338,0,0.0,28,0.08284023668639054,0,0.0,338,1.0,0.6216719219545883,2.5867076057176854
clinc150,50,42,ce_recon,frozen_selected_k,1,1.0,0.49211090175484,0.8385388988266331,similarity_bin,5,361,0,0.0,23,0.06371191135734072,0,0.0,361,1.0,0.6806937770709764,2.358888010549246
clinc150,50,42,ce_recon,frozen_selected_k,1,1.0,0.49211090175484,0.8385388988266331,similarity_bin,6,321,0,0.0,59,0.1838006230529595,0,0.0,321,1.0,0.7397450714337539,2.135604042933772
clinc150,50,42,ce_recon,frozen_selected_k,1,1.0,0.49211090175484,0.8385388988266331,similarity_bin,7,304,0,0.0,94,0.3092105263157895,0,0.0,304,1.0,0.8017316970735914,1.9234772151282322
clinc150,50,42,ce_recon,frozen_selected_k,1,1.0,0.49211090175484,0.8385388988266331,similarity_bin,8,302,0,0.0,165,0.5463576158940397,0,0.0,302,1.0,0.8761967727165038,1.5637666783497854
clinc150,50,42,ce_recon,frozen_selected_k,1,1.0,0.49211090175484,0.8385388988266331,similarity_bin,9,254,129,0.5078740157480315,232,0.9133858267716536,1,0.003937007874015748,125,0.4921259842519685,0.9484198486138367,1.003827204706188
clinc150,50,87,ce_recon,k1,1,1.0,0.4987189012863967,0.8417227715162399,similarity_bin,0,451,0,0.0,20,0.04434589800443459,0,0.0,451,1.0,0.38176874823949447,3.244563880213459
clinc150,50,87,ce_recon,k1,1,1.0,0.4987189012863967,0.8417227715162399,similarity_bin,1,367,0,0.0,12,0.0326975476839237,0,0.0,367,1.0,0.470502160180664,3.0598529622682324
clinc150,50,87,ce_recon,k1,1,1.0,0.4987189012863967,0.8417227715162399,similarity_bin,2,353,0,0.0,11,0.031161473087818695,0,0.0,353,1.0,0.5262097497529941,2.9288226677771947
clinc150,50,87,ce_recon,k1,1,1.0,0.4987189012863967,0.8417227715162399,similarity_bin,3,377,0,0.0,31,0.08222811671087533,0,0.0,377,1.0,0.5856179536889595,2.802840509040113
clinc150,50,87,ce_recon,k1,1,1.0,0.4987189012863967,0.8417227715162399,similarity_bin,4,307,0,0.0,40,0.13029315960912052,0,0.0,307,1.0,0.6400303991403127,2.6262281610017206
