dataset,kir,data_seed,representation,k_variant,k_gate,selected_k,oos_precision,oos_recall,oos_f1,id_recall,oos_rejection,auroc,aupr_oos,fpr95,near_oos_f1,medium_oos_f1,far_oos_f1,threshold,checkpoint_epoch,status
clinc150,50,13,ce_recon,k1,1,1,0.8330687830687831,0.9689230769230769,0.8958748221906117,0.7195555555555555,0.9689230769230769,0.9491175384615385,0.9589380951579406,0.23377777777777778,0.5514705882352942,0.8551755795271976,0.7260095527572731,1.0,5,complete
clinc150,50,13,ce_recon,k2,2,1,0.8250325945241199,0.9735384615384616,0.8931545518701483,0.7017777777777777,0.9735384615384616,0.9463511794871795,0.952824578959691,0.21688888888888888,0.5538461538461539,0.8466090122894857,0.7136150234741784,1.0,5,complete
clinc150,50,13,ce_recon,frozen_selected_k,1,1,0.8330687830687831,0.9689230769230769,0.8958748221906117,0.7195555555555555,0.9689230769230769,0.9491175384615385,0.9589380951579406,0.23377777777777778,0.5514705882352942,0.8551755795271976,0.7260095527572731,1.0,5,complete
clinc150,50,87,ce_recon,k1,1,1,0.8478144989339019,0.9787692307692307,0.9085975435589831,0.7462222222222222,0.9787692307692307,0.9571101538461538,0.9628677430058757,0.15866666666666668,0.5604395604395604,0.8725730863646507,0.7412777526053467,1.0,5,complete
clinc150,50,87,ce_recon,k2,2,1,0.8376520359598096,0.9747692307692307,0.9010238907849829,0.7271111111111112,0.9747692307692307,0.9438583247863246,0.9480240333986416,0.184,0.5326160053799597,0.864028299801017,0.7271111111111112,1.0,5,complete
clinc150,50,87,ce_recon,frozen_selected_k,1,1,0.8478144989339019,0.9787692307692307,0.9085975435589831,0.7462222222222222,0.9787692307692307,0.9571101538461538,0.9628677430058757,0.15866666666666668,0.5604395604395604,0.8725730863646507,0.7412777526053467,1.0,5,complete
banking77_oos,50,13,ce_recon,k1,1,4,0.9419057739992915,0.8633116883116884,0.900897848551584,0.836,0.8633116883116884,0.9151999999999999,0.9668046052443056,0.398,0.2430167597765363,0.9404659188955996,0.9195289499509323,1.0,5,complete
banking77_oos,50,13,ce_recon,k2,2,4,0.932695713779667,0.8548701298701299,0.8920887684228358,0.81,0.8548701298701299,0.9042090909090909,0.9639502476037514,0.461,0.3906633906633907,0.9034341062518345,0.906886517943744,1.0,5,complete
banking77_oos,50,13,ce_recon,frozen_selected_k,4,4,0.9188445667125172,0.8675324675324675,0.8924515698062793,0.764,0.8675324675324675,0.9022652597402596,0.9630772090531987,0.46,0.4810400866738895,0.8836395450568679,0.8870967741935484,1.0,5,complete
banking77_oos,50,87,ce_recon,k1,1,1,0.9465201465201465,0.8389610389610389,0.889500860585198,0.854,0.8389610389610389,0.9143655844155845,0.9687916211597836,0.401,0.12298682284040996,0.9446559297218156,0.9271457085828343,1.0,4,complete
