dataset,kir,seed,distance,metric,ce_recon,ce_recon_geometry,geometry_minus_ce_recon
banking77,0.25,100,mahalanobis_diag,oos_f1,0.8930590097219082,0.8874773139745916,-0.005581695747316595
banking77,0.25,100,mahalanobis_diag,near_oos_f1,0.5236907730673317,0.5006289308176101,-0.02306184224972163
banking77,0.25,100,mahalanobis_diag,id_recall,0.8315789473684211,0.8263157894736842,-0.0052631578947368585
banking77,0.25,100,mahalanobis_diag,false_accept_rate,0.1487068965517241,0.1568965517241379,0.008189655172413823
banking77,0.25,100,mahalanobis_diag,false_reject_rate,0.1684210526315789,0.1736842105263158,0.005263157894736914
banking77,0.25,100,mahalanobis_diag,auroc,0.9112085980036296,0.9077971869328494,-0.003411411070780246
banking77,0.25,100,mahalanobis_diag,aupr_oos,0.9605403106243624,0.958423687404116,-0.0021166232202464164
banking77,0.25,123,mahalanobis_diag,oos_f1,0.8619888475836431,0.8663573085846867,0.0043684610010436
banking77,0.25,123,mahalanobis_diag,near_oos_f1,0.3686382393397524,0.3418079096045198,-0.02683032973523264
banking77,0.25,123,mahalanobis_diag,id_recall,0.8302631578947368,0.8381578947368421,0.007894736842105288
banking77,0.25,123,mahalanobis_diag,false_accept_rate,0.2004310344827586,0.1952586206896551,-0.005172413793103486
banking77,0.25,123,mahalanobis_diag,false_reject_rate,0.1697368421052631,0.1618421052631579,-0.007894736842105204
banking77,0.25,123,mahalanobis_diag,auroc,0.8896319192377495,0.8908773820326679,0.0012454627949183283
banking77,0.25,123,mahalanobis_diag,aupr_oos,0.951992526366088,0.9511624437315364,-0.0008300826345516432
banking77,0.25,13,mahalanobis_diag,oos_f1,0.8885350318471338,0.8808598216327465,-0.007675210214387329
banking77,0.25,13,mahalanobis_diag,near_oos_f1,0.5251256281407035,0.4884910485933504,-0.03663457954735311
banking77,0.25,13,mahalanobis_diag,id_recall,0.8381578947368421,0.8328947368421052,-0.0052631578947368585
banking77,0.25,13,mahalanobis_diag,false_accept_rate,0.1581896551724138,0.1698275862068965,0.011637931034482712
banking77,0.25,13,mahalanobis_diag,false_reject_rate,0.1618421052631579,0.1671052631578947,0.005263157894736803
banking77,0.25,13,mahalanobis_diag,auroc,0.9116430353901998,0.9064660843920146,-0.005176950998185159
banking77,0.25,13,mahalanobis_diag,aupr_oos,0.9638548533726778,0.960301425565599,-0.0035534278070787906
banking77,0.25,42,mahalanobis_diag,oos_f1,0.871264367816092,0.8768631047924788,0.005598736976386798
banking77,0.25,42,mahalanobis_diag,near_oos_f1,0.4236842105263158,0.4080536912751678,-0.015630519251148
banking77,0.25,42,mahalanobis_diag,id_recall,0.8223684210526316,0.8302631578947368,0.007894736842105177
banking77,0.25,42,mahalanobis_diag,false_accept_rate,0.1831896551724137,0.1758620689655172,-0.007327586206896497
banking77,0.25,42,mahalanobis_diag,false_reject_rate,0.1776315789473684,0.1697368421052631,-0.007894736842105288
banking77,0.25,42,mahalanobis_diag,auroc,0.8968449410163339,0.8977705308529945,0.0009255898366605786
banking77,0.25,42,mahalanobis_diag,aupr_oos,0.9539832981497188,0.9540355764174632,5.227826774434341e-05
banking77,0.25,87,mahalanobis_diag,oos_f1,0.8888387824126268,0.889790398918188,0.0009516165055611925
banking77,0.25,87,mahalanobis_diag,near_oos_f1,0.4685138539042821,0.4495530012771392,-0.018960852627142866
banking77,0.25,87,mahalanobis_diag,id_recall,0.8105263157894737,0.8118421052631579,0.0013157894736842701
banking77,0.25,87,mahalanobis_diag,false_accept_rate,0.1504310344827586,0.1491379310344827,-0.0012931034482759063
