dataset,kir,data_seed,representation,k_variant,k_gate,selected_k,oos_precision,oos_recall,oos_f1,id_recall,oos_rejection,auroc,aupr_oos,fpr95,near_oos_f1,medium_oos_f1,far_oos_f1,threshold,checkpoint_epoch,status
clinc150,50,42,ce,k1,1,1,0.8392664509169363,0.9575384615384616,0.8945099166427134,0.7351111111111112,0.9575384615384616,0.9425554871794872,0.9516398135186954,0.2377777777777777,0.511318242343542,0.8686067019400353,0.7178030303030303,1.0,4.0,complete
clinc150,50,42,ce,k2,2,1,0.8278024562320355,0.9747692307692308,0.8952946163628657,0.7071111111111111,0.9747692307692308,0.9417615042735044,0.9492243278238444,0.196,0.5428747686613201,0.8567079799956512,0.6970114942528736,1.0,4.0,complete
clinc150,50,42,ce,frozen_selected_k,1,1,0.8392664509169363,0.9575384615384616,0.8945099166427134,0.7351111111111112,0.9575384615384616,0.9425554871794872,0.9516398135186954,0.2377777777777777,0.511318242343542,0.8686067019400353,0.7178030303030303,1.0,4.0,complete
clinc150,50,42,supcon,k1,1,1,0.8467370701326834,0.962153846153846,0.900763358778626,0.7484444444444445,0.962153846153846,0.9506302905982906,0.9591665443772284,0.2111111111111111,0.5354012137559002,0.8715970961887477,0.7408424908424909,1.0,3.0,complete
clinc150,50,42,supcon,k2,2,1,0.8330246096851018,0.9686153846153848,0.8957177407881634,0.7195555555555555,0.9686153846153848,0.9485750427350428,0.9586246836997272,0.212,0.536554354736173,0.8579100469903782,0.7194308581591818,1.0,3.0,complete
clinc150,50,42,supcon,frozen_selected_k,1,1,0.8467370701326834,0.962153846153846,0.900763358778626,0.7484444444444445,0.962153846153846,0.9506302905982906,0.9591665443772284,0.2111111111111111,0.5354012137559002,0.8715970961887477,0.7408424908424909,1.0,3.0,complete
clinc150,50,42,frozen,k1,1,1,0.83397365532382,0.935076923076923,0.8816362053959965,0.7311111111111112,0.935076923076923,0.9029470085470086,0.9027013186660016,0.312,0.4736481861738535,0.8489341983317887,0.7400085947571982,1.0,,complete
clinc150,50,42,frozen,k2,2,1,0.8159978880675819,0.951076923076923,0.8783745382210856,0.6902222222222222,0.951076923076923,0.8995213675213675,0.9030929535819954,0.30266666666666664,0.48271527341294784,0.8349163274536409,0.711864406779661,1.0,,complete
clinc150,50,42,frozen,frozen_selected_k,1,1,0.83397365532382,0.935076923076923,0.8816362053959965,0.7311111111111112,0.935076923076923,0.9029470085470086,0.9027013186660016,0.312,0.4736481861738535,0.8489341983317887,0.7400085947571982,1.0,,complete
clinc150,50,13,ce,k1,1,1,0.8360567907848915,0.9603076923076924,0.8938851496491479,0.728,0.9603076923076924,0.9476983247863248,0.9579336734569364,0.2404444444444444,0.544560540872772,0.8518877057115198,0.75,1.0,3.0,complete
clinc150,50,13,ce,k2,2,1,0.8340915172598341,0.959076923076923,0.8922284242164019,0.7244444444444444,0.959076923076923,0.9399919316239318,0.946790107479894,0.2475555555555555,0.5472273004265692,0.847457627118644,0.747557003257329,1.0,3.0,complete
clinc150,50,13,ce,frozen_selected_k,1,1,0.8360567907848915,0.9603076923076924,0.8938851496491479,0.728,0.9603076923076924,0.9476983247863248,0.9579336734569364,0.2404444444444444,0.544560540872772,0.8518877057115198,0.75,1.0,3.0,complete
