dataset,kir,data_seed,representation,k_gate,oos_f1,id_recall,oos_precision,oos_recall,auroc,aupr_oos,fpr95,near_oos_f1,medium_oos_f1,far_oos_f1,validation_oos_f1,validation_id_recall,radius_lambda,margin_gamma,guard_violation,status,selected_k
clinc150,50,42,frozen,1,0.8738452218688475,0.792,0.8604235013420817,0.8876923076923077,0.9026529914529915,0.9028644863964483,0.3217777777777778,0.46362098138747887,0.8543396226415094,0.8122641509433962,0.8440366972477065,0.8066666666666666,1.5,0.98,False,complete,1
clinc150,50,42,frozen,2,0.874365677379671,0.8177777777777778,0.8739624961573932,0.8747692307692307,0.9013189743589743,0.9038425513673883,0.2982222222222222,0.5004074979625102,0.8451059535822402,0.8076923076923077,0.8313971742543171,0.826,1.75,,False,complete,1
clinc150,50,42,frozen,3,0.8572753981753518,0.8022222222222222,0.8616723655579732,0.8529230769230769,0.8856670085470085,0.88709695824624,0.3,0.482922954725973,0.8185053380782918,0.7929759704251387,0.815600624024961,0.8013333333333333,2.0,,False,complete,1
clinc150,50,42,frozen,4,0.8425584255842559,0.7715555555555556,0.842040565457898,0.8430769230769231,0.860547829059829,0.8560910479643524,0.34044444444444444,0.4874446085672083,0.791108865875221,0.7607030193780983,0.8075612023551286,0.784,2.5,,True,complete,1
clinc150,50,42,frozen,5,0.8473491773308958,0.7631111111111111,0.8391671695835848,0.8556923076923076,0.8650469743589744,0.8584112425777006,0.3204444444444444,0.4717948717948718,0.8014906832298136,0.7553571428571428,0.8050508161379735,0.7733333333333333,2.5,,True,complete,1
clinc150,50,42,ce,1,0.9021543985637342,0.8137777777777778,0.8779848573092603,0.9276923076923077,0.9414101880341881,0.9510752281958004,0.24622222222222223,0.46742671009771986,0.9038770360174352,0.7834625322997416,0.8745476477683958,0.8226666666666667,1.75,0.98,False,complete,2
clinc150,50,42,ce,2,0.9100955794504182,0.8226666666666667,0.8842135809634358,0.9375384615384615,0.9415362735042734,0.9481213683665425,0.20222222222222222,0.5311004784688995,0.9045086705202312,0.791644908616188,0.8876844323998796,0.8353333333333334,2.0,,False,complete,2
clinc150,50,42,ce,3,0.9043426354275481,0.8128888888888889,0.8780063749637786,0.9323076923076923,0.9387048205128204,0.9453478059715407,0.22311111111111112,0.5043616177636796,0.8994246260069045,0.7826535880227156,0.877508235998802,0.8173333333333334,2.25,,False,complete,2
clinc150,50,42,ce,4,0.9086885971382209,0.8004444444444444,0.8727684896571266,0.9476923076923077,0.9422341196581197,0.9481900367971903,0.204,0.5365486058779201,0.8966932725199543,0.771501272264631,0.8810365135453475,0.8,2.25,,False,complete,2
clinc150,50,42,ce,5,0.9052383755150089,0.7911111111111111,0.8674562887760857,0.9464615384615385,0.9407950769230768,0.9471451935559094,0.22266666666666668,0.5281899109792285,0.8914129940935939,0.7633434038267876,0.8787968150987909,0.7993333333333333,2.5,,True,complete,2
clinc150,50,42,supcon,1,0.9109568367038937,0.8408888888888889,0.893957345971564,0.9286153846153846,0.9506666666666668,0.9592572994910618,0.21333333333333335,0.5181434599156118,0.9098301841664673,0.8188259109311741,0.8747320061255742,0.842,1.5,,False,complete,2
clinc150,50,42,supcon,2,0.9081404032860344,0.82,0.8824383164005806,0.9353846153846154,0.9486219487179487,0.9588960030374187,0.21822222222222223,0.5317460317460317,0.8981525343439128,0.7998022738507168,0.8747742323901264,0.8206666666666667,1.5,,False,complete,2
clinc150,50,42,supcon,3,0.9097451274362819,0.8284444444444444,0.8871345029239766,0.9335384615384615,0.9458311111111111,0.9548350963217589,0.19955555555555557,0.5434083601286174,0.899856938483548,0.8073852295409182,0.8733756421879721,0.824,1.75,,False,complete,2
clinc150,50,42,supcon,4,0.9078570351379882,0.8351111111111111,0.8902691511387164,0.9261538461538461,0.9444464957264956,0.9528508747129061,0.21288888888888888,0.5488599348534202,0.8970163618864293,0.8134741075917546,0.8699360341151386,0.83,2.0,,False,complete,2
clinc150,50,42,supcon,5,0.9037393001952245,0.8222222222222222,0.8826635376943385,0.9258461538461539,0.937248547008547,0.9405119649926735,0.22133333333333333,0.5568627450980392,0.885741718674988,0.8017839444995044,0.873792270531401,0.8233333333333334,2.25,,False,complete,2
banking77_oos,50,42,frozen,1,0.8615603341034299,0.877,0.9517078916372202,0.787012987012987,0.9132051948051949,0.968195046791366,0.375,0.13114754098360656,0.8686440677966102,0.9494035376388318,0.8001525553012967,0.8851802403204272,1.0,,False,complete,5
banking77_oos,50,42,frozen,2,0.7586206896551724,0.912,0.9565217391304348,0.6285714285714286,0.9028227272727273,0.963971460558021,0.367,0.19256756756756757,0.642702468601126,0.9558638083228247,0.694033008887008,0.9252336448598131,1.5,,False,complete,5
banking77_oos,50,42,frozen,3,0.8296053827968721,0.862,0.9429516329061596,0.7405844155844156,0.8994987012987012,0.9630540145301527,0.401,0.3451202263083451,0.7773156899810965,0.9335534461411473,0.7817614964925955,0.8985313751668892,1.5,,False,complete,5
banking77_oos,50,42,frozen,4,0.826749954069447,0.887,0.9521794329242488,0.7305194805194806,0.9002925324675325,0.9634318864962337,0.431,0.31070889894419307,0.7772657450076805,0.9450457951706911,0.7712724434035909,0.8838451268357811,2.0,,False,complete,5
banking77_oos,50,42,frozen,5,0.8500268769037806,0.871,0.9484206317473011,0.7701298701298701,0.9064055194805195,0.965298758208587,0.414,0.3728813559322034,0.8128460686600222,0.9405450041288191,0.8050075872534143,0.8825100133511349,2.0,,False,complete,5
banking77_oos,50,42,ce,1,0.9228232189973615,0.814,0.9376675603217158,0.9084415584415585,0.9326905844155844,0.9723960024359994,0.275,0.5100529100529101,0.9425909227532311,0.9140480591497228,0.9061224489795918,0.8384512683578104,1.0,,False,complete,1
banking77_oos,50,42,ce,2,0.8745233968804159,0.833,0.937918215613383,0.8191558441558442,0.9048259740259739,0.9577755636830039,0.369,0.4794672586015538,0.8668186258547704,0.9155722326454033,0.8461538461538461,0.842456608811749,1.25,,False,complete,1
banking77_oos,50,42,ce,3,0.8717327332525532,0.821,0.9336299592139414,0.8175324675324676,0.8961808441558442,0.9542659327585856,0.423,0.47316538882803943,0.8623376623376623,0.9094304388422035,0.8468146027201146,0.8344459279038718,1.25,,False,complete,1
banking77_oos,50,42,ce,4,0.8890029074739183,0.832,0.9392844235634261,0.8438311688311688,0.9128000000000001,0.9647900152076512,0.41,0.46875,0.8942521435376309,0.9176800748362957,0.8603827072997874,0.8384512683578104,1.5,,False,complete,1
banking77_oos,50,42,ce,5,0.8969037087444709,0.838,0.9421015010721944,0.8558441558441559,0.912312012987013,0.9622139672747327,0.409,0.47191011235955055,0.9077746301542335,0.9217798594847775,0.8688293370944993,0.8437917222963952,1.75,,False,complete,1
banking77_oos,50,42,supcon,1,0.8984962406015038,0.857,0.9484126984126984,0.8535714285714285,0.9283298701298701,0.9744934945813912,0.318,0.25348189415041783,0.9327534292405487,0.9411764705882353,0.8594982078853046,0.8611481975967957,1.0,,False,complete,1
banking77_oos,50,42,supcon,2,0.8078285181733458,0.882,0.9483588621444201,0.7035714285714286,0.901640909090909,0.9639997179576747,0.388,0.3968042609853529,0.7230581537210248,0.944374738603095,0.7450357426528992,0.8758344459279038,1.5,,False,complete,1
banking77_oos,50,42,supcon,3,0.8320262629947109,0.878,0.9492301290054099,0.7405844155844156,0.9041022727272727,0.9646314314537239,0.401,0.40105540897097625,0.7798449612403101,0.9401423189619087,0.7875766871165644,0.8744993324432577,1.75,,False,complete,1
banking77_oos,50,42,supcon,4,0.8405219282348677,0.881,0.9511894995898277,0.7529220779220779,0.9055292207792207,0.9666673434113091,0.436,0.3941411451398136,0.7957071674971253,0.9457429048414023,0.790519877675841,0.8731642189586115,1.75,,False,complete,1
banking77_oos,50,42,supcon,5,0.8525238009700018,0.886,0.9541616405307599,0.7704545454545455,0.9129801948051948,0.969333797180353,0.411,0.3503448275862069,0.8326500186358554,0.9459572685379137,0.8018223234624146,0.8785046728971962,2.0,,False,complete,1
stackoverflow,50,42,frozen,1,0.8435800230756552,0.8292682926829268,0.8335504885993485,0.8538538538538538,0.9133612953637457,0.8881461000338005,0.2509188105579686,0.40509915014164305,0.8392116182572614,0.7193849533223503,0.8527363184079602,0.8466933867735471,1.0,,False,complete,1
stackoverflow,50,42,frozen,2,0.7940709370037057,0.8596725693284331,0.8426966292134831,0.7507507507507507,0.902501900497223,0.8674287348600297,0.28399599064483794,0.40030911901081917,0.7752424415288077,0.7404803749267721,0.7938199254128929,0.8677354709418837,1.0,,False,complete,1
stackoverflow,50,42,frozen,3,0.7650787900742619,0.8623454727697962,0.8367670364500792,0.7047047047047047,0.8878271299476334,0.8643218506091822,0.3742064817908453,0.3448831587429492,0.7454545454545455,0.7402597402597403,0.7699784017278618,0.8607214428857716,0.75,,False,complete,1
stackoverflow,50,42,frozen,4,0.7717797969000535,0.8496491814233211,0.8279816513761468,0.7227227227227228,0.8831827706980842,0.8557849299977317,0.36485131974607415,0.35774865073245954,0.7481311098332375,0.7284234752589183,0.7689804772234273,0.8647294589178357,0.75,,False,complete,1
stackoverflow,50,42,frozen,5,0.7770211279902217,0.8312729702639492,0.815018315018315,0.7424090757424091,0.8825430843472941,0.8501938023675891,0.357166722352155,0.3942652329749104,0.7464195450716091,0.6973610331274565,0.7749469214437368,0.845691382765531,0.75,,False,complete,1
stackoverflow,50,42,ce,1,0.9060996430234363,0.8239224858002004,0.847069065583285,0.973973973973974,0.9380775139768347,0.9093328595592505,0.1533578349482125,0.6202134337727558,0.8719941705125092,0.7050923335198657,0.9115002366303834,0.8496993987975952,1.0,,False,complete,1
stackoverflow,50,42,ce,2,0.9012424338961452,0.8489809555629803,0.8622371228284059,0.943943943943944,0.9316095246599758,0.8912259871336881,0.1553625125292349,0.6319305277221109,0.8688648376541657,0.735981308411215,0.8997578692493947,0.8637274549098196,0.5,,False,complete,1
stackoverflow,50,42,ce,3,0.8819364399802404,0.8670230537921818,0.8706111833550065,0.8935602268935602,0.9302656036145288,0.8997016122135604,0.18476445038422987,0.5190839694656488,0.8756729043834914,0.7599517490952955,0.8858858858858859,0.8867735470941884,0.5,,False,complete,1
stackoverflow,50,42,ce,4,0.8741721854304636,0.8653524891413298,0.8675649030561945,0.8808808808808809,0.928148328749732,0.8999388281459509,0.20013364517206816,0.49884526558891457,0.8681771369721936,0.7576668671076368,0.875249500998004,0.872745490981964,0.5,,False,complete,1
stackoverflow,50,42,ce,5,0.8810109962251764,0.8623454727697962,0.8669250645994832,0.8955622288955623,0.9264559135368803,0.9026407877366118,0.24791179418643502,0.5124716553287982,0.874553799082101,0.7535885167464115,0.875,0.874749498997996,0.5,,False,complete,1
stackoverflow,50,42,supcon,1,0.9147407870081199,0.84029401937855,0.8597006163780452,0.9773106439773106,0.9464592111880228,0.931349951725411,0.136986301369863,0.6454545454545455,0.8891979601298099,0.6826029216467463,0.9200945626477541,0.8577154308617234,1.0,,False,complete,1
stackoverflow,50,42,supcon,2,0.871438263229308,0.8897427330437688,0.8861676440151777,0.8571905238571905,0.9337096312260585,0.928808676465181,0.2716338122285332,0.5033444816053512,0.8765617191404298,0.7569955817378498,0.868448098663926,0.8987975951903807,0.5,,False,complete,1
stackoverflow,50,42,supcon,3,0.8368548666435747,0.8793852322084865,0.8700036010082823,0.8061394728061395,0.9129219429921066,0.91535901519912,0.4300033411293017,0.43183742591024554,0.8390219052470708,0.740100791936645,0.8448365334717177,0.8867735470941884,0.5,,False,complete,1
stackoverflow,50,42,supcon,4,0.8393375448181662,0.8656866020715002,0.8594405594405594,0.8201534868201534,0.9088672144691746,0.9117084647557365,0.44136318075509523,0.4540367705835332,0.8341708542713567,0.7188811188811188,0.8406537282941777,0.8647294589178357,0.5,,False,complete,1
stackoverflow,50,42,supcon,5,0.8050134288272157,0.8864016037420648,0.8686244204018547,0.7500834167500834,0.8844134255650015,0.8980884560931292,0.6047444036084196,0.32871652816251157,0.8159412690089145,0.7514619883040936,0.8106382978723404,0.8817635270541082,0.75,,False,complete,1
