scope,relationship,x,y,n,spearman_rho,p_value_nominal
all,collision_vs_near_f1,near_collision_rate,k1_near_oos_f1,36,-0.3203981065534716,0.056765954858035914
all,collision_vs_k2_gain,near_collision_rate,k2_minus_k1_near_f1,36,-0.05706606017369991,0.7409601299948527
all,invalid_cluster_vs_k2_gain,invalid_cluster_ratio_k2,k2_minus_k1_near_f1,18,-0.2051623855477291,0.41410952946733426
all,condition_vs_k2_gain,covariance_condition_k2,k2_minus_k1_near_f1,18,0.4674922600619195,0.05043751945104438
all,id_recall_tradeoff_vs_k2_gain,k2_minus_k1_id_recall,k2_minus_k1_near_f1,36,-0.707896262486521,1.373096416861021e-06
banking77_oos,collision_vs_near_f1,near_collision_rate,k1_near_oos_f1,12,-0.3380365512979194,0.28251685272908317
banking77_oos,collision_vs_k2_gain,near_collision_rate,k2_minus_k1_near_f1,12,0.19014556010507966,0.553900040754205
banking77_oos,invalid_cluster_vs_k2_gain,invalid_cluster_ratio_k2,k2_minus_k1_near_f1,6,,
banking77_oos,condition_vs_k2_gain,covariance_condition_k2,k2_minus_k1_near_f1,6,0.7142857142857143,0.1107871720116617
banking77_oos,id_recall_tradeoff_vs_k2_gain,k2_minus_k1_id_recall,k2_minus_k1_near_f1,12,-0.09106844088398502,0.7783460719179525
clinc150,collision_vs_near_f1,near_collision_rate,k1_near_oos_f1,12,0.0,1.0
clinc150,collision_vs_k2_gain,near_collision_rate,k2_minus_k1_near_f1,12,0.1398601398601399,0.6646331617926677
clinc150,invalid_cluster_vs_k2_gain,invalid_cluster_ratio_k2,k2_minus_k1_near_f1,6,-0.5246313898711126,0.2852521874184511
clinc150,condition_vs_k2_gain,covariance_condition_k2,k2_minus_k1_near_f1,6,0.6,0.20799999999999982
clinc150,id_recall_tradeoff_vs_k2_gain,k2_minus_k1_id_recall,k2_minus_k1_near_f1,12,-0.5874125874125874,0.044609296463363105
stackoverflow,collision_vs_near_f1,near_collision_rate,k1_near_oos_f1,12,-0.029004551352481492,0.9287016154017113
stackoverflow,collision_vs_k2_gain,near_collision_rate,k2_minus_k1_near_f1,12,-0.543835337859028,0.06758713970187614
stackoverflow,invalid_cluster_vs_k2_gain,invalid_cluster_ratio_k2,k2_minus_k1_near_f1,6,,
stackoverflow,condition_vs_k2_gain,covariance_condition_k2,k2_minus_k1_near_f1,6,0.7714285714285715,0.07239650145772594
stackoverflow,id_recall_tradeoff_vs_k2_gain,k2_minus_k1_id_recall,k2_minus_k1_near_f1,12,-0.6503496503496504,0.022034190932365288
