dataset,kir,data_seed,label_ratio,representation,k_variant,requested_k,effective_cluster_count,train_known_count,minimum_cluster_size,minimum_cluster_ratio,invalid_cluster_ratio,covariance_condition_median,oos_f1,id_recall,auroc,aupr_oos,fpr95,near_oos_f1,medium_oos_f1,far_oos_f1,status
clinc150,50,42,0.1,frozen,k1,1,75,750,10,0.013333333333333334,0.0,4309.488436573697,0.7902950499878079,0.23955555555555555,0.8775100170940171,0.8878417069664839,0.4026666666666667,0.36484490398818314,0.6876027022092386,0.5024716487350974,complete
clinc150,50,42,0.1,frozen,k2,2,150,750,1,0.0013333333333333333,0.06,4151.4552784092175,0.7564670240037288,0.07288888888888889,0.8009487863247863,0.8153874895095179,0.5004444444444445,0.3231865284974093,0.6435406698564593,0.45306764551651807,complete
clinc150,50,42,0.1,frozen,frozen_selected_k,1,75,750,10,0.013333333333333334,0.0,4309.488436573697,0.7902950499878079,0.23955555555555555,0.8775100170940171,0.8878417069664839,0.4026666666666667,0.36484490398818314,0.6876027022092386,0.5024716487350974,complete
clinc150,50,42,1.0,ce_recon,k1,1,75,7500,100,0.013333333333333334,0.0,546.2398509104208,0.895423899010185,0.7333333333333333,0.941894564102564,0.9503278824369604,0.22977777777777778,0.5394819962097284,0.8679577464788732,0.7064579256360078,complete
clinc150,50,42,1.0,ce_recon,k2,2,150,7500,1,0.00013333333333333334,0.013333333333333334,483.6505365468108,0.8928368391131325,0.7133333333333334,0.9345772307692308,0.9396257249752206,0.23022222222222222,0.5538832028898254,0.8562062937062938,0.691239827668741,complete
clinc150,50,42,1.0,ce_recon,frozen_selected_k,1,75,7500,100,0.013333333333333334,0.0,546.2398509104208,0.895423899010185,0.7333333333333333,0.941894564102564,0.9503278824369604,0.22977777777777778,0.5394819962097284,0.8679577464788732,0.7064579256360078,complete
clinc150,50,87,0.1,frozen,k1,1,75,750,10,0.013333333333333334,0.0,4428.966384733492,0.801980198019802,0.29333333333333333,0.8702338461538461,0.8678942948455198,0.3622222222222222,0.3902439024390244,0.693050193050193,0.5399305555555556,complete
clinc150,50,87,0.1,frozen,k2,2,150,750,1,0.0013333333333333333,0.03333333333333333,4456.615270310723,0.7648305084745762,0.11244444444444444,0.7513151452991453,0.7696918436152917,0.5644444444444444,0.3427631578947368,0.6425630928942188,0.48304426611441886,complete
clinc150,50,87,0.1,frozen,frozen_selected_k,1,75,750,10,0.013333333333333334,0.0,4428.966384733492,0.801980198019802,0.29333333333333333,0.8702338461538461,0.8678942948455198,0.3622222222222222,0.3902439024390244,0.693050193050193,0.5399305555555556,complete
clinc150,50,87,0.1,ce_recon,k1,1,75,750,10,0.013333333333333334,0.0,696.191976037273,0.8503025519600105,0.5022222222222222,0.9447350427350427,0.9476027616138573,0.192,0.4459591041869523,0.7794407246947617,0.5867158671586716,complete
clinc150,50,87,0.1,ce_recon,k2,2,150,750,1,0.0013333333333333333,0.18,369.6841170295318,0.7970017203244041,0.2688888888888889,0.9417851623931623,0.9433772548490856,0.22177777777777777,0.3621621621621622,0.7064072818133142,0.49149922720247297,complete
clinc150,50,87,0.1,ce_recon,frozen_selected_k,1,75,750,10,0.013333333333333334,0.0,696.191976037273,0.8503025519600105,0.5022222222222222,0.9447350427350427,0.9476027616138573,0.192,0.4459591041869523,0.7794407246947617,0.5867158671586716,complete
clinc150,50,87,0.2,frozen,k1,1,75,1500,20,0.013333333333333334,0.0,3902.5393461177373,0.8559935639581657,0.5484444444444444,0.9037713504273505,0.9061088100269568,0.30133333333333334,0.448559670781893,0.7801295896328294,0.6515775034293553,complete
clinc150,50,87,0.2,frozen,k2,2,150,1500,2,0.0013333333333333333,0.0,3783.954357401525,0.8095059412132583,0.3293333333333333,0.8816201025641025,0.8904245841445396,0.3422222222222222,0.38563937071399756,0.7055609756097561,0.557348195951892,complete
clinc150,50,87,0.2,frozen,frozen_selected_k,1,75,1500,20,0.013333333333333334,0.0,3902.5393461177373,0.8559935639581657,0.5484444444444444,0.9037713504273505,0.9061088100269568,0.30133333333333334,0.448559670781893,0.7801295896328294,0.6515775034293553,complete
clinc150,50,87,0.2,ce_recon,k1,1,75,1500,20,0.013333333333333334,0.0,640.6297419828644,0.888673765730881,0.6586666666666666,0.9508650940170941,0.9548476074320744,0.16533333333333333,0.5245126993502658,0.8353344768439108,0.6813278008298755,complete
clinc150,50,87,0.2,ce_recon,k2,2,150,1500,1,0.0006666666666666666,0.17333333333333334,403.5165284564242,0.8549133712471896,0.5204444444444445,0.9491777094017093,0.9533036334028129,0.17244444444444446,0.45773603559070686,0.7831155778894472,0.6034546122748989,complete
clinc150,50,87,0.2,ce_recon,frozen_selected_k,1,75,1500,20,0.013333333333333334,0.0,640.6297419828644,0.888673765730881,0.6586666666666666,0.9508650940170941,0.9548476074320744,0.16533333333333333,0.5245126993502658,0.8353344768439108,0.6813278008298755,complete
clinc150,50,87,0.4,frozen,k1,1,75,3000,40,0.013333333333333334,0.0,3525.276361707906,0.8775538960123996,0.6742222222222222,0.9074784273504275,0.9075438646844993,0.30177777777777776,0.483343428225318,0.8217939566975969,0.7294204503506829,complete
clinc150,50,87,0.4,frozen,k2,2,150,3000,2,0.0006666666666666666,0.0,3183.059706763508,0.8573340471092077,0.5471111111111111,0.9060135384615384,0.9024449249760268,0.2848888888888889,0.4719324391455539,0.7729897823189693,0.6597662771285476,complete
clinc150,50,87,0.4,frozen,frozen_selected_k,1,75,3000,40,0.013333333333333334,0.0,3525.276361707906,0.8775538960123996,0.6742222222222222,0.9074784273504275,0.9075438646844993,0.30177777777777776,0.483343428225318,0.8217939566975969,0.7294204503506829,complete
clinc150,50,87,0.4,ce_recon,k1,1,75,3000,40,0.013333333333333334,0.0,641.547856041629,0.9013845719129697,0.7164444444444444,0.954812170940171,0.9606563468250053,0.17333333333333334,0.5383597883597884,0.8610627177700348,0.7164444444444444,complete
clinc150,50,87,0.4,ce_recon,k2,2,150,3000,1,0.0003333333333333333,0.08,471.88354696130176,0.8835862068965518,0.6457777777777778,0.9488396581196582,0.954898410717465,0.18622222222222223,0.498812351543943,0.8322458429804251,0.6691573266915732,complete
